Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Усть-Абаканская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342					
1	"Число избирателей, внесенных в списки"	27832	519	1302	2081	1636	1750	1043	1140	336	313	328	1056	1178	1146	1329	632	760	1047	606	1435	860	225	760	182	1073	106	1576	130	838	121	946	731	438	209					
2	"Число бюллетеней, полученных участковыми комиссиями"	27821	530	1340	2200	1620	1720	1060	1120	340	360	330	1040	1180	1130	1220	640	750	1030	610	1440	850	225	800	184	1100	105	1570	134	800	123	900	730	420	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13116	268	568	1104	710	986	596	443	174	172	177	564	501	558	661	350	333	429	287	510	423	78	292	89	412	67	728	71	423	56	380	319	266	121					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1302	35	32	28	42	82	21	15	10	6	9	10	2	41	11	27	31	52	24	261	67	58	54	20	75	0	70	26	67	10	83	23	8	2					
6	Число погашенных бюллетеней	13403	227	740	1068	868	652	443	662	156	182	144	466	677	531	548	263	386	549	299	669	360	89	454	75	613	38	772	37	310	57	437	388	146	97					
7	Число бюллетеней в переносных ящиках для голосования	1302	35	32	28	42	82	21	15	10	6	9	10	2	41	11	27	31	52	24	261	67	58	54	20	75	0	70	26	67	10	83	23	8	2					
8	Число бюллетеней в стационарных ящиках для голосования	13113	268	568	1104	710	986	595	443	174	172	177	564	501	558	661	350	332	428	287	510	423	78	292	89	412	67	728	71	423	56	380	319	266	121					
9	Число недействительных бюллетеней	203	0	7	0	9	15	0	8	5	0	1	11	6	0	7	20	2	8	1	17	7	2	9	0	17	2	10	0	3	4	19	6	5	2					
10	Число действительных бюллетеней	14212	303	593	1132	743	1053	616	450	179	178	185	563	497	599	665	357	361	472	310	754	483	134	337	109	470	65	788	97	487	62	444	336	269	121					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	214	3	7	12	10	11	7	7	3	3	3	8	9	9	9	4	5	8	7	10	6	3	7	3	10	3	10	3	7	3	7	7	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	60	0	4	3	6	4	2	0	1	1	0	3	1	6	2	1	0	0	2	0	3	1	2	0	5	0	1	0	3	0	1	1	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	0	1	2	3	2	1	0	2	0	0	3	0	2	0	0	0	0	2	2	5	1	0	0	2	0	3	0	0	0	3	0	1	0					
14	Число погашенных открепительных удостоверений	154	3	3	9	4	7	5	7	2	2	3	5	8	3	7	3	5	8	5	10	3	2	5	3	5	3	9	3	4	3	6	6	3	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	117	0	0	6	7	6	4	3	2	0	1	6	6	7	2	4	1	8	8	6	4	0	1	6	3	0	10	0	1	0	9	4	1	1					
		0.81%	0.0%	0.0%	0.53%	0.93%	0.56%	0.64%	0.65%	1.08%	0.0%	0.53%	1.04%	1.19%	1.16%	0.29%	1.06%	0.27%	1.66%	2.57%	0.77%	0.81%	0.0%	0.28%	5.50%	0.61%	0.0%	1.25%	0.0%	0.20%	0.0%	1.94%	1.16%	0.36%	0.81%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	250	4	11	24	18	19	15	8	0	2	2	17	4	10	17	11	9	9	4	11	2	1	6	2	0	0	5	0	24	0	3	4	7	1					
		1.73%	1.32%	1.83%	2.12%	2.39%	1.77%	2.43%	1.74%	0.0%	1.12%	1.07%	2.96%	0.79%	1.66%	2.52%	2.91%	2.47%	1.87%	1.28%	1.42%	0.40%	0.73%	1.73%	1.83%	0.0%	0.0%	0.62%	0.0%	4.89%	0.0%	0.64%	1.16%	2.55%	0.81%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	387	9	18	34	22	24	19	23	4	3	3	20	12	14	18	11	3	12	4	15	12	7	6	5	21	1	15	2	18	2	11	10	7	2					
		2.68%	2.97%	3.0%	3.00%	2.92%	2.24%	3.08%	5.02%	2.17%	1.68%	1.61%	3.48%	2.38%	2.33%	2.67%	2.91%	0.82%	2.5%	1.28%	1.94%	2.44%	5.14%	1.73%	4.58%	4.31%	1.49%	1.87%	2.06%	3.67%	3.03%	2.37%	2.92%	2.55%	1.62%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	442	10	21	48	33	41	27	15	3	11	5	20	20	24	34	20	7	9	9	13	2	0	1	1	6	0	22	4	12	5	5	5	5	4					
		3.06%	3.30%	3.5%	4.24%	4.38%	3.83%	4.38%	3.27%	1.63%	6.17%	2.68%	3.48%	3.97%	4.00%	5.05%	5.30%	1.92%	1.87%	2.89%	1.68%	0.40%	0.0%	0.28%	0.91%	1.23%	0.0%	2.75%	4.12%	2.44%	7.57%	1.07%	1.46%	1.82%	3.25%					
22	"5. ""За Русь Святую"""	83	4	1	5	6	8	4	7	2	0	1	0	0	2	2	0	1	3	14	4	0	1	0	1	1	0	10	0	0	2	1	3	0	0					
		0.57%	1.32%	0.16%	0.44%	0.79%	0.74%	0.64%	1.52%	1.08%	0.0%	0.53%	0.0%	0.0%	0.33%	0.29%	0.0%	0.27%	0.62%	4.50%	0.51%	0.0%	0.73%	0.0%	0.91%	0.20%	0.0%	1.25%	0.0%	0.0%	3.03%	0.21%	0.87%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	54	1	5	2	1	2	0	1	1	0	0	3	3	0	2	1	1	2	1	4	6	0	0	2	3	0	3	0	5	0	3	1	0	1					
		0.37%	0.33%	0.83%	0.17%	0.13%	0.18%	0.0%	0.21%	0.54%	0.0%	0.0%	0.52%	0.59%	0.0%	0.29%	0.26%	0.27%	0.41%	0.32%	0.51%	1.22%	0.0%	0.0%	1.83%	0.61%	0.0%	0.37%	0.0%	1.02%	0.0%	0.64%	0.29%	0.0%	0.81%					
24	"7. ""Новый курс - Автомобильная Россия"""	77	0	3	9	3	6	2	4	0	2	0	9	2	6	2	1	0	4	3	3	1	0	1	0	4	0	4	0	1	0	5	1	1	0					
		0.53%	0.0%	0.5%	0.79%	0.39%	0.56%	0.32%	0.87%	0.0%	1.12%	0.0%	1.56%	0.39%	1.00%	0.29%	0.26%	0.0%	0.83%	0.96%	0.38%	0.20%	0.0%	0.28%	0.0%	0.82%	0.0%	0.50%	0.0%	0.20%	0.0%	1.07%	0.29%	0.36%	0.0%					
25	"8. ""Народно-республиканская партия России"""	17	1	1	0	0	0	0	0	0	1	1	1	0	2	1	0	0	1	1	2	0	0	3	0	1	0	0	0	0	0	0	0	0	1					
		0.11%	0.33%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.53%	0.17%	0.0%	0.33%	0.14%	0.0%	0.0%	0.20%	0.32%	0.25%	0.0%	0.0%	0.86%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%					
26	"9. ""Российская экологическая партия ""Зеленые"""	70	0	1	2	8	6	5	6	1	0	0	2	2	6	1	2	1	2	1	5	2	1	2	1	0	0	6	1	1	0	2	2	0	1					
		0.48%	0.0%	0.16%	0.17%	1.06%	0.56%	0.81%	1.31%	0.54%	0.0%	0.0%	0.34%	0.39%	1.00%	0.14%	0.53%	0.27%	0.41%	0.32%	0.64%	0.40%	0.73%	0.57%	0.91%	0.0%	0.0%	0.75%	1.03%	0.20%	0.0%	0.43%	0.58%	0.0%	0.81%					
27	"10. ""Аграрная партия России"""	770	13	35	59	20	51	34	25	6	7	14	24	18	44	29	10	10	32	12	45	79	7	22	3	37	3	12	3	15	3	54	29	12	3					
