Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
"Наименование Избирательной комиссии:    Владивосток, Советская"																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №1853					
1	"Число избирателей, внесенных в списки избирателей"	84306	576	2338	1998	1923	2150	1633	2552	2179	1370	2340	511	1004	1699	2072	1167	2122	1251	847	641	555	1627	1093	2919	1911	2496	2115	1967	2347	2448	2103	2461	2288	2210	992	2611	1381	2015	2063	2757	1818	2501	1514	2054	2092	607	1424	1211	211	142					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	65300	500	1800	1700	1500	1700	1300	2000	1650	1000	2000	400	900	1300	1600	900	1500	900	650	400	550	1200	800	2300	1500	2000	1500	1500	1800	1900	1600	1900	1800	1700	800	2000	1000	1600	1600	2000	1400	1800	1200	1600	1600	500	1100	1000	200	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	41500	298	1113	972	885	939	732	1196	814	613	1012	232	541	768	980	541	930	547	380	318	413	869	502	1338	919	1182	1079	897	1176	1262	1110	1225	1161	1222	517	1425	806	1069	1149	1611	956	1344	859	1121	1040	62	693	526	90	66					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1514	7	30	9	23	21	25	10	42	14	26	17	0	4	23	12	13	19	17	62	122	17	12	24	36	9	13	13	25	9	18	14	22	4	8	24	19	27	32	34	11	46	2	31	27	411	6	20	83	21					
6	Число погашенных избирательных бюллетеней	22286	195	657	719	592	740	543	794	794	373	962	151	359	528	597	347	557	334	253	20	15	314	286	938	545	809	408	590	599	629	472	661	617	474	275	551	175	504	419	355	433	410	339	448	533	27	401	454	27	63					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1513	7	30	9	23	21	25	10	42	14	26	17	0	4	23	12	13	19	17	62	122	17	12	24	36	9	13	13	25	9	18	14	22	4	8	24	19	27	32	34	11	45	2	31	27	411	6	20	83	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41438	298	1113	972	884	933	732	1196	814	611	1009	232	541	768	980	541	930	546	379	318	413	869	502	1338	914	1182	1071	897	1176	1259	1110	1225	1156	1222	517	1425	803	1065	1149	1602	956	1340	856	1121	1038	62	693	524	90	66					
9	Число недействительных избирательных бюллетеней	1089	5	33	40	26	36	28	39	15	8	11	1	9	14	30	17	11	12	16	14	49	10	11	26	18	48	22	17	39	47	5	24	30	29	15	37	21	23	50	40	20	22	23	25	31	7	12	17	4	2					
10	Число действительных избирательных бюллетеней	41862	300	1110	941	881	918	729	1167	841	617	1024	248	532	758	973	536	932	553	380	366	486	876	503	1336	932	1143	1062	893	1162	1221	1123	1215	1148	1197	510	1412	801	1069	1131	1596	947	1363	835	1127	1034	466	687	527	169	85					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2250	20	40	40	40	60	20	40	40	40	40	20	40	40	50	40	40	40	20	40	60	60	40	60	60	60	40	40	70	70	70	60	60	60	40	70	60	70	70	60	60	60	40	70	40	10	40	20	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	740	4	17	20	11	20	14	27	18	10	21	4	33	8	18	4	13	6	7	2	17	13	3	39	31	24	5	29	11	13	19	22	11	24	7	23	10	18	15	37	11	27	21	16	12	0	14	10	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1000	4	17	11	17	21	0	18	21	17	13	11	20	21	9	9	115	31	19	77	16	25	14	36	21	14	11	17	39	29	27	13	13	12	25	12	10	17	18	19	23	12	11	16	20	36	15	6	2	20					
14	Число погашенных неиспользованных открепительных удостоверений	1510	16	23	20	29	40	6	13	22	30	19	16	7	32	32	36	27	34	13	38	43	47	37	21	29	36	35	11	59	57	51	38	49	36	33	47	50	52	55	23	49	33	19	54	28	10	26	10	9	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
18	1.Политическая партия «Аграрная партия России»	985	10	33	18	15	11	23	20	23	16	28	8	8	20	19	9	27	13	6	10	7	20	10	36	20	34	25	17	20	38	24	37	42	29	14	36	20	28	25	40	19	19	6	28	28	12	18	12	0	4					
		2.29%	3.28%	2.89%	1.83%	1.65%	1.15%	3.04%	1.66%	2.69%	2.56%	2.71%	3.21%	1.48%	2.59%	1.89%	1.63%	2.86%	2.30%	1.52%	2.63%	1.31%	2.26%	1.95%	2.64%	2.11%	2.85%	2.31%	1.87%	1.67%	2.99%	2.13%	2.99%	3.57%	2.37%	2.67%	2.48%	2.43%	2.56%	2.12%	2.44%	1.96%	1.37%	0.70%	2.43%	2.63%	2.54%	2.58%	2.21%	0.00%	4.60%					
19	2.Всероссийская политическая партия «Гражданская Сила»	719	4	12	13	9	10	6	15	18	19	21	10	6	16	7	3	17	11	2	1	5	14	16	24	36	21	25	24	21	22	17	29	31	24	11	19	11	17	19	26	14	18	15	14	18	3	13	9	2	1					
		1.67%	1.31%	1.05%	1.33%	0.99%	1.05%	0.79%	1.24%	2.10%	3.04%	2.03%	4.02%	1.11%	2.07%	0.70%	0.54%	1.80%	1.95%	0.51%	0.26%	0.93%	1.58%	3.11%	1.76%	3.79%	1.76%	2.31%	2.64%	1.75%	1.74%	1.51%	2.34%	2.63%	1.96%	2.10%	1.31%	1.34%	1.56%	1.61%	1.59%	1.45%	1.30%	1.75%	1.22%	1.69%	0.63%	1.86%	1.65%	1.16%	1.15%					
20	3.Политическая партия «Демократическая партия России»	88	1	1	3	1	1	1	2	1	1	1	0	1	3	2	7	1	0	2	0	2	2	2	1	2	3	5	0	3	5	2	1	0	8	1	2	2	3	2	1	1	3	1	2	2	0	1	2	0	0					
		0.20%	0.33%	0.09%	0.31%	0.11%	0.10%	0.13%	0.17%	0.12%	0.16%	0.10%	0.00%	0.18%	0.39%	0.20%	1.27%	0.11%	0.00%	0.51%	0.00%	0.37%	0.23%	0.39%	0.07%	0.21%	0.25%	0.46%	0.00%	0.25%	0.39%	0.18%	0.08%	0.00%	0.65%	0.19%	0.14%	0.24%	0.27%	0.17%	0.06%	0.10%	0.22%	0.12%	0.17%	0.19%	0.00%	0.14%	0.37%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5506	37	126	112	103	76	78	109	86	81	77	31	26	52	70	70	132	53	43	58	37	89	54	177	142	168	145	149	207	166	167	222	203	214	69	248	107	151	195	210	142	139	77	163	178	63	90	89	8	17					
		12.82%	12.13%	11.02%	11.42%	11.36%	7.97%	10.30%	9.04%	10.05%	12.96%	7.44%	12.45%	4.81%	6.74%	6.98%	12.66%	13.99%	9.38%	10.86%	15.26%	6.92%	10.05%	10.51%	12.99%	14.95%	14.11%	13.38%	16.37%	17.24%	13.09%	14.80%	17.92%	17.23%	17.46%	13.14%	17.12%	13.02%	13.83%	16.51%	12.84%	14.68%	10.04%	8.97%	14.15%	16.71%	13.32%	12.88%	16.36%	4.62%	19.54%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	558	1	22	20	11	14	10	7	5	6	7	6	5	14	12	4	14	7	8	5	2	15	6	24	18	16	13	18	16	18	17	17	6	16	11	20	16	16	20	18	10	14	8	19	8	3	6	8	0	1					
