Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Ленинск-Кузнецкая																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18413	771	257	677	287	996	391	118	560	211	547	124	807	271	240	129	1054	1097	539	145	172	875	211	150	519	155	544	115	266	583	308	227	912	101	1112	441	1109	179	452	153	379	100	129									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18689	770	250	670	287	1000	370	118	575	217	565	124	865	275	245	134	1070	1135	565	147	176	893	220	153	530	160	550	110	250	550	300	240	930	106	1140	445	1110	179	455	160	410	100	140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14883	741	212	566	271	944	250	97	518	195	461	68	717	219	216	94	484	959	317	128	120	839	195	148	511	155	371	40	108	430	224	175	754	101	910	393	910	167	353	135	179	90	118									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2064	25	38	84	16	51	104	21	33	15	81	56	87	51	24	23	86	67	81	16	21	36	16	2	7	0	94	41	30	49	26	28	153	0	171	46	191	12	99	17	46	10	10									
6	Число погашенных избирательных бюллетеней	1742	4	0	20	0	5	16	0	24	7	23	0	61	5	5	17	500	109	167	3	35	18	9	3	12	5	85	29	112	71	50	37	23	5	59	6	9	0	3	8	185	0	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2064	25	38	84	16	51	104	21	33	15	81	56	87	51	24	23	86	67	81	16	21	36	16	2	7	0	94	41	30	49	26	28	153	0	171	46	191	12	99	17	46	10	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14883	741	212	566	271	944	250	97	518	195	461	68	717	219	216	94	484	959	317	128	120	839	195	148	511	155	371	40	108	430	224	175	754	101	910	393	910	167	353	135	179	90	118									
9	Число недействительных избирательных бюллетеней	144	1	1	2	0	1	3	0	1	2	3	0	0	1	1	2	17	34	0	1	0	2	0	1	2	1	0	3	8	12	5	11	5	2	5	1	12	2	0	0	2	0	0									
10	Число действительных избирательных бюллетеней	16803	765	249	648	287	994	351	118	550	208	539	124	804	269	239	115	553	992	398	143	141	873	211	149	516	154	465	78	130	467	245	192	902	99	1076	438	1089	177	452	152	223	100	128									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	693	15	5	10	2	20	5	4	20	10	20	2	60	10	9	5	31	44	26	8	6	23	12	3	8	5	20	5	5	15	12	12	62	4	50	9	61	5	10	5	35	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	508	15	0	10	0	20	0	4	20	10	20	2	60	5	9	5	28	37	26	5	6	23	12	3	8	5	20	5	5	15	12	12	14	4	23	2	0	0	10	5	35	3	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	118	0	3	2	3	3	1	5	6	4	3	2	3	4	4	1	5	4	6	11	3	8	3	0	0	0	3	2	2	0	0	0	0	0	5	3	1	0	10	1	2	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	185	0	5	0	2	0	5	0	0	0	0	0	0	5	0	0	3	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	48	0	27	7	61	5	0	0	0	7	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	46	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	5	5	6	0	3	0	0	0	0	1	3	1	1	9	3	0	0	0	1	0	0	2	0	0	0	0	0									
		0.27%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.27%	0.88%	0.49%	1.51%	0.00%	2.13%	0.00%	0.00%	0.00%	0.00%	0.65%	0.65%	1.23%	0.72%	1.88%	1.20%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	112	0	0	0	0	1	0	1	0	0	0	1	1	0	0	3	12	21	5	0	1	0	0	0	0	0	9	2	5	25	5	2	0	1	2	0	0	1	2	0	8	2	2									
		0.66%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.85%	0.00%	0.00%	0.00%	0.81%	0.12%	0.00%	0.00%	2.56%	2.11%	2.05%	1.26%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	1.94%	2.47%	3.62%	5.22%	2.00%	0.99%	0.00%	0.99%	0.19%	0.00%	0.00%	0.56%	0.44%	0.00%	3.56%	2.00%	1.56%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	53	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	8	9	9	0	2	0	0	0	0	0	4	3	2	0	5	0	1	0	1	1	0	0	0	0	3	0	2									
		0.31%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.71%	1.40%	0.88%	2.26%	0.00%	1.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%	3.70%	1.45%	0.00%	2.00%	0.00%	0.11%	0.00%	0.09%	0.23%	0.00%	0.00%	0.00%	0.00%	1.33%	0.00%	1.56%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13777	733	216	594	250	904	293	107	496	182	449	103	727	231	205	68	302	752	292	132	95	680	181	127	463	134	332	35	67	221	153	115	771	85	927	391	958	155	387	134	126	92	112									
		81.29%	95.69%	86.40%	91.38%	87.11%	90.85%	82.77%	90.68%	90.02%	86.67%	82.84%	83.06%	90.42%	85.56%	85.42%	58.12%	52.98%	73.29%	73.37%	91.67%	67.38%	77.71%	85.78%	84.67%	89.38%	86.45%	71.40%	43.21%	48.55%	46.14%	61.20%	56.65%	85.01%	84.16%	85.75%	89.07%	87.01%	86.59%	85.62%	88.16%	56.00%	92.00%	87.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	5	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.70%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.45%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.42%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1127	7	3	7	2	12	9	3	14	3	51	4	24	5	4	27	144	141	46	4	23	6	6	3	15	4	81	25	34	164	53	63	3	5	28	7	2	6	30	2	49	2	6									
		6.65%	0.91%	1.20%	1.08%	0.70%	1.21%	2.54%	2.54%	2.54%	1.43%	9.41%	3.23%	2.99%	1.85%	1.67%	23.08%	25.26%	13.74%	11.56%	2.78%	16.31%	0.69%	2.84%	2.00%	2.90%	2.58%	17.42%	30.86%	24.64%	34.24%	21.20%	31.03%	0.33%	4.95%	2.59%	1.59%	0.18%	3.35%	6.64%	1.32%	21.78%	2.00%	4.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.06%	0.13%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.48%	0.18%	0.81%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	9	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0									
		0.05%	0.13%	0.00%	0.15%	0.00%	0.10%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.89%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.72%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	14	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	4	0	0	0	1	0	0	0	0									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.74%	0.00%	0.00%	0.18%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.49%	0.11%	0.00%	0.37%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1186	20	26	40	32	69	42	7	37	20	28	12	45	30	27	8	51	48	32	6	15	24	24	16	33	10	29	10	15	33	20	10	90	8	89	35	57	8	31	14	26	4	5									
		6.99%	2.61%	10.40%	6.15%	11.15%	6.93%	11.86%	5.93%	6.72%	9.52%	5.17%	9.68%	5.60%	11.11%	11.25%	6.84%	8.95%	4.68%	8.04%	4.17%	10.64%	2.74%	11.37%	10.67%	6.37%	6.45%	6.24%	12.35%	10.87%	6.89%	8.00%	4.93%	9.92%	7.92%	8.23%	7.97%	5.18%	4.47%	6.86%	9.21%	11.56%	4.00%	3.91%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0									
