Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																									
Дата голосования: 02.12.2007																									
																									
Наименование Избирательной комиссии:    Климовская городская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758					
1	"Число избирателей, внесенных в списки избирателей"	48154	2293	2875	2992	2439	2683	3082	2812	2545	1221	2609	2554	2641	2829	2786	2793	3092	3027	2881					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	42000	2000	2500	2000	2000	2500	2500	2500	2500	1000	2500	2500	2500	2500	2500	2500	2500	2500	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27730	1221	1511	1819	1360	1603	2072	1539	1531	680	1427	1404	1510	1613	1694	1522	1825	1703	1696					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	869	33	61	29	26	36	99	36	35	274	15	19	38	24	33	45	25	25	16					
6	Число погашенных избирательных бюллетеней	13401	746	928	152	614	861	329	925	934	46	1058	1077	952	863	773	933	650	772	788					
7	Число избирательных бюллетеней в переносных ящиках для голосования	869	33	61	29	26	36	99	36	35	274	15	19	38	24	33	45	25	25	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27609	1221	1508	1819	1360	1603	2069	1539	1526	680	1381	1403	1452	1613	1694	1522	1825	1703	1691					
9	Число недействительных избирательных бюллетеней	377	12	17	21	34	14	19	27	13	11	21	23	17	18	26	21	32	27	24					
10	Число действительных избирательных бюллетеней	28101	1242	1552	1827	1352	1625	2149	1548	1548	943	1375	1399	1473	1619	1701	1546	1818	1701	1683					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1257	70	70	70	70	83	74	90	70	30	70	70	70	70	70	70	70	70	70					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1119	63	70	70	61	83	74	90	60	25	70	54	60	46	60	48	52	63	70					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1534	73	26	46	15	13	422	48	33	118	25	66	48	124	41	43	234	135	24					
14	Число погашенных неиспользованных открепительных удостоверений	138	7	0	0	9	0	0	0	10	5	0	16	10	24	10	22	18	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	5	3	4	3	1	4	2	3	1	1	1	2	0	0	2	3	0	6					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	1.Политическая партия «Аграрная партия России»	925	43	47	46	31	48	50	42	41	11	59	41	57	83	67	59	73	60	67					
		3.25%	3.43%	2.99%	2.49%	2.24%	2.93%	2.31%	2.67%	2.63%	1.15%	4.23%	2.88%	3.83%	5.07%	3.88%	3.77%	3.95%	3.47%	3.93%					
19	2.Всероссийская политическая партия «Гражданская Сила»	504	20	26	28	33	33	33	27	25	3	19	28	21	24	22	31	35	37	59					
