Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
"Наименование Избирательной комиссии:    Чита, Центральная"																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №8354	УИК №8355	УИК №8356	УИК №8357	УИК №8358	УИК №8359	УИК №8360	УИК №8361	УИК №8362	УИК №8363	УИК №8364	УИК №8365									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	102695	2729	2351	2713	2821	2817	2646	2479	2706	2638	2697	1963	2753	2781	2837	2619	2655	2839	2799	2395	2403	2742	1735	1681	1658	2045	2809	1483	2428	1592	2471	2678	2251	1914	1832	2368	1815	1569	2976	284	978	106	477	295	1328	914	1648	2121	1052	863	704	447	320	470									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	112069	2600	2200	2600	2700	2600	2500	2300	2600	2500	2500	1800	2600	2600	2600	2500	2500	2700	2600	2200	2400	2600	1600	1500	1500	2000	2700	1600	2300	1300	2400	2500	2100	1800	1600	2200	1700	1300	2900	290	930	500	2300	2800	2600	2600	1850	2450	1050	1600	2300	2100	1800	1699									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	159	83	119									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	44566	802	924	1006	1177	1070	1016	754	826	986	952	880	959	1119	835	891	859	1058	948	919	922	1127	692	678	609	817	1087	661	1018	635	1106	828	852	741	750	833	620	526	1878	136	806	106	441	289	1304	898	1218	1883	1041	575	632	288	237	351									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2029	9	26	21	13	10	15	10	8	9	10	4	69	78	7	48	72	7	26	31	11	7	5	7	10	3	24	42	25	138	20	112	5	16	20	17	23	79	18	0	0	0	36	6	24	16	430	238	6	146	72	0	0	0									
6	Число погашенных избирательных бюллетеней	64971	1789	1250	1573	1510	1520	1469	1536	1766	1505	1538	916	1572	1403	1758	1561	1569	1635	1626	1250	1467	1466	903	815	881	1180	1589	897	1257	527	1274	1560	1243	1043	830	1350	1057	695	1004	154	124	394	1823	2505	1272	1686	202	329	3	737	1596	1653	1480	1229									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2531	9	26	21	13	10	15	10	8	9	10	4	69	78	7	48	72	7	26	31	11	7	5	7	10	3	24	42	25	138	20	112	5	16	20	17	23	79	18	0	0	0	36	6	24	16	430	238	6	288	72	159	83	118									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	44500	802	924	1006	1177	1070	1016	754	826	986	952	880	952	1119	835	883	859	1058	921	919	922	1127	692	678	609	817	1087	661	1018	635	1086	828	852	741	750	833	620	526	1878	136	806	104	441	289	1302	898	1218	1883	1041	575	632	288	237	351									
9	Число недействительных избирательных бюллетеней	1174	26	34	18	26	15	17	19	22	15	14	7	23	34	12	21	23	24	31	15	18	14	18	11	13	14	30	17	22	20	23	13	11	18	20	20	18	9	41	1	9	2	13	1	13	23	105	188	33	18	15	1	1	5									
10	Число действительных избирательных бюллетеней	45857	785	916	1009	1164	1065	1014	745	812	980	948	877	998	1163	830	910	908	1041	916	935	915	1120	679	674	606	806	1081	686	1021	753	1083	927	846	739	750	830	625	596	1855	135	797	102	464	294	1313	891	1543	1933	1014	845	689	446	319	464									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2050	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	10	3	2	5	5	5	5	3	3	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	707	12	14	29	29	20	13	25	13	17	15	17	17	31	16	19	25	21	17	16	21	18	15	14	12	18	9	11	21	8	26	22	19	20	18	11	13	11	9	9	4	0	10	0	0	5	5	5	5	0	2	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1260	8	6	19	22	28	14	14	11	11	10	10	16	16	18	10	16	16	13	16	14	12	8	27	18	17	18	39	23	25	48	20	7	13	28	13	10	20	14	16	528	59	5	0	1	1	0	0	2	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	1343	38	36	21	21	30	37	25	37	33	35	33	33	19	34	31	25	29	33	34	29	32	35	36	38	32	41	39	29	42	24	28	31	30	32	39	37	39	41	41	46	0	0	3	2	0	0	0	0	3	1	3	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	364	6	4	5	4	4	4	3	4	3	7	10	6	4	3	4	5	1	2	6	2	2	2	0	4	4	7	11	6	3	208	0	4	3	0	4	2	5	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
