Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Иультинская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36					
1	"Число избирателей, внесенных в списки избирателей"	3002	1763	270	237	126	416	100	90					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3050	1752	283	247	140	412	114	102					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	146	0	0	38	0	108	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2446	1393	247	197	123	297	100	89					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	275	262	7	2	3	0	0	1					
6	Число погашенных избирательных бюллетеней	183	97	29	10	14	7	14	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	421	262	7	40	3	108	0	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2446	1393	247	197	123	297	100	89					
9	Число недействительных избирательных бюллетеней	25	12	2	2	1	7	0	1					
10	Число действительных избирательных бюллетеней	2842	1643	252	235	125	398	100	89					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	220	80	30	30	20	30	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	67	25	1	17	13	7	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	46	28	8	6	0	3	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	153	55	29	13	7	23	13	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	9	2	3	2	4	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	42	18	5	4	0	15	0	0					
		1.46%	1.09%	1.97%	1.69%	0.00%	3.70%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	18	13	2	0	0	3	0	0					
		0.63%	0.79%	0.79%	0.00%	0.00%	0.74%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	0	1	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	113	52	17	1	3	37	2	1					
		3.94%	3.14%	6.69%	0.42%	2.38%	9.14%	2.00%	1.11%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	12	11	1	0	0	0	0	0					
		0.42%	0.66%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	6	1	1	0	0	1	1	2					
		0.21%	0.06%	0.39%	0.00%	0.00%	0.25%	1.00%	2.22%					
24	7.Политическая партия «Либерально-демократическая партия России»	151	74	16	9	17	28	6	1					
		5.27%	4.47%	6.30%	3.80%	13.49%	6.91%	6.00%	1.11%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	92	44	14	9	4	17	3	1					
		3.21%	2.66%	5.51%	3.80%	3.17%	4.20%	3.00%	1.11%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	13	7	3	0	0	2	1	0					
		0.45%	0.42%	1.18%	0.00%	0.00%	0.49%	1.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2360	1407	179	212	101	291	87	83					
		82.32%	85.02%	70.47%	89.45%	80.16%	71.85%	87.00%	92.22%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	34	16	14	0	0	3	0	1					
		1.19%	0.97%	5.51%	0.00%	0.00%	0.74%	0.00%	1.11%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
