Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																
Дата голосования: 04.12.2011																
																
Наименование Избирательной комиссии:    Иультинская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38					
1	"Число избирателей, внесенных в список избирателей"	3590	1716	257	207	113	409	90	90	312	396					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3813	1828	229	220	126	441	117	101	336	415					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	407	104	0	20	0	131	0	0	78	74					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2634	1234	206	174	110	272	90	88	190	270					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	127	52	16	10	2	0	0	2	15	30					
6	Число погашенных избирательных бюллетеней	645	438	7	16	14	38	27	11	53	41					
7	Число избирательных бюллетеней в переносных ящиках для голосования	534	156	16	30	2	131	0	2	93	104					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2634	1234	206	174	110	272	90	88	190	270					
9	Число недействительных избирательных бюллетеней	44	18	4	6	2	4	0	0	0	10					
10	Число действительных избирательных бюллетеней	3124	1372	218	198	110	399	90	90	283	364					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	175	50	20	15	10	20	10	10	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	61	24	10	15	4	4	0	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	34	24	7	2	0	0	1	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	114	26	10	0	6	16	10	8	20	18					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	5	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	170	105	8	9	5	20	5	3	7	8					
		5.37%	7.55%	3.60%	4.41%	4.46%	4.96%	5.56%	3.33%	2.47%	2.14%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	211	81	47	12	8	19	7	4	12	21					
		6.66%	5.83%	21.17%	5.88%	7.14%	4.71%	7.78%	4.44%	4.24%	5.61%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	33	21	3	0	2	3	1	1	1	1					
		1.04%	1.51%	1.35%	0.00%	1.79%	0.74%	1.11%	1.11%	0.35%	0.27%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	238	131	56	8	5	17	2	2	9	8					
		7.51%	9.42%	25.23%	3.92%	4.46%	4.22%	2.22%	2.22%	3.18%	2.14%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	51	33	3	1	2	8	0	0	2	2					
		1.61%	2.37%	1.35%	0.49%	1.79%	1.99%	0.00%	0.00%	0.71%	0.53%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2408	996	101	168	88	328	75	80	252	320					
		76.01%	71.65%	45.50%	82.35%	78.57%	81.39%	83.33%	88.89%	89.05%	85.56%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	13	5	0	0	0	4	0	0	0	4					
		0.41%	0.36%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	1.07%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
