Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Назаровская																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16545	191	325	208	158	539	306	288	139	107	73	192	102	88	641	530	178	157	932	166	405	159	138	992	205	87	58	148	103	29	171	153	565	88	81	98	113	547	78	134	160	907	316	170	264	142	66	54	1319	197	191	229	333	189	193	252	145	242	82	170	126	171	457	498									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13320	150	260	170	125	430	240	230	110	85	60	155	80	70	520	425	135	120	750	135	320	130	105	820	175	70	45	120	80	25	140	125	460	70	65	80	95	440	60	110	130	730	250	135	207	110	55	43	1100	155	150	190	260	150	160	200	110	200	70	140	100	140	360	390									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7747	98	170	149	86	277	116	135	76	39	27	75	62	55	270	115	78	77	433	76	208	86	57	452	69	48	37	92	54	10	83	87	238	50	48	47	62	260	43	63	84	353	131	93	106	67	41	43	605	102	114	129	163	88	109	146	94	122	46	69	48	52	187	247									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	487	22	6	11	13	10	20	20	1	0	0	5	0	0	26	45	9	6	24	15	6	0	9	8	12	2	0	3	2	0	10	13	9	1	0	2	4	7	0	3	0	7	15	2	30	21	6	0	7	0	4	10	5	0	3	0	0	2	0	15	4	12	10	10									
6	Число погашенных избирательных бюллетеней	5086	30	84	10	26	143	104	75	33	46	33	75	18	15	224	265	48	37	293	44	106	44	39	360	94	20	8	25	24	15	47	25	213	19	17	31	29	173	17	44	46	370	104	40	71	22	8	0	488	53	32	51	92	62	48	54	16	76	24	56	48	76	163	133									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	487	22	6	11	13	10	20	20	1	0	0	5	0	0	26	45	9	6	24	15	6	0	9	8	12	2	0	3	2	0	10	13	9	1	0	2	4	7	0	3	0	7	15	2	30	21	6	0	7	0	4	10	5	0	3	0	0	2	0	15	4	12	10	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7747	98	170	149	86	277	116	135	76	39	27	75	62	55	270	115	78	77	433	76	208	86	57	452	69	48	37	92	54	10	83	87	238	50	48	47	62	260	43	63	84	353	131	93	106	67	41	43	605	102	114	129	163	88	109	146	94	122	46	69	48	52	187	247									
9	Число недействительных избирательных бюллетеней	232	2	4	4	5	3	1	8	3	0	2	2	3	1	12	3	5	2	13	0	11	4	1	12	0	3	2	4	1	0	3	4	5	3	5	2	0	6	1	0	0	7	6	4	3	1	5	1	12	5	1	6	8	4	4	4	5	4	0	3	0	1	4	4									
10	Число действительных избирательных бюллетеней	8002	118	172	156	94	284	135	147	74	39	25	78	59	54	284	157	82	81	444	91	203	82	65	448	81	47	35	91	55	10	90	96	242	48	43	47	66	261	42	66	84	353	140	91	133	87	42	42	600	97	117	133	160	84	108	142	89	120	46	81	52	63	193	253									
