Выборы Президента Российской Федерации																																																															
																																																															
"Наименование Избирательной комиссии:    Тольятти, Центральная"																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740					
1	"Число избирателей, внесенных в список"	119567	1877	2006	2450	2395	2163	1882	2272	2075	1977	2215	2236	2231	2414	2264	2126	2060	2045	2378	2246	2314	2147	2188	2237	2386	2342	2393	2248	2401	2350	2286	2254	2324	2376	2305	2216	2440	2611	2419	2416	1980	1770	2318	2433	2718	2782	2167	2801	2472	2556	2741	2866	1136	204	335	180	143					
2	Число полученных избирательных бюллетеней	107062	1687	1768	2177	2164	1948	1685	2047	1877	1784	2005	1996	2007	2177	2030	1913	1849	1840	2060	1972	2085	1933	1920	1998	2115	2122	2162	2023	2183	2114	2038	2035	2099	2113	2079	1973	2160	2364	2165	2200	1773	1581	2062	2176	2385	2514	1897	2494	2254	2295	2454	2519	999	185	312	150	145					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	64421	1151	1004	1346	1416	1221	1057	1376	1196	1213	1367	1291	1284	1522	1360	1200	1216	1171	1156	1308	1286	1213	1115	1048	1381	1312	1276	1326	1365	1178	1315	1279	1288	1192	1336	1105	1166	1357	1323	1212	984	764	987	1091	1420	1395	826	1379	1199	1095	1351	1685	687	132	219	150	129					
5	"Число избирательных бюллетеней, выданных вне помещения"	1791	35	72	34	30	36	35	65	50	59	17	16	23	17	18	18	18	15	9	36	51	62	70	42	53	60	24	34	40	30	37	35	24	28	24	42	28	35	41	45	17	16	37	41	15	23	36	36	30	45	12	12	59	4	0	0	0					
6	Число погашенных избирательных бюллетеней	40850	501	692	797	718	691	593	606	631	512	621	689	700	638	652	695	615	654	895	628	748	658	735	908	681	750	862	663	778	906	686	721	787	893	719	826	966	972	801	943	772	801	1038	1044	950	1096	1035	1079	1025	1155	1091	822	253	49	93	0	16					
7	Число избирательных бюллетеней в переносных ящиках	1791	35	72	34	30	36	35	65	50	59	17	16	23	17	18	18	18	15	9	36	51	62	70	42	53	60	24	34	40	30	37	35	24	28	24	42	28	35	41	45	17	16	37	41	15	23	36	36	30	45	12	12	59	4	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	64153	1144	1004	1312	1415	1220	1057	1374	1195	1213	1350	1291	1284	1522	1360	1198	1208	1168	1150	1308	1286	1137	1095	1048	1381	1312	1252	1324	1325	1178	1314	1278	1288	1192	1336	1105	1164	1348	1323	1212	983	763	987	1090	1420	1395	823	1378	1198	1094	1351	1685	685	132	219	150	129					
9	Число недействительных избирательных бюллетеней	542	9	6	7	8	13	10	8	20	10	7	9	7	9	7	2	8	9	5	6	10	10	9	10	6	8	10	14	12	16	14	23	0	16	6	17	40	12	13	12	15	11	11	10	20	9	5	11	9	4	2	6	1	3	5	1	1					
10	Число действительных избирательных бюллетеней	65402	1170	1070	1339	1437	1243	1082	1431	1225	1262	1360	1298	1300	1530	1371	1214	1218	1174	1154	1338	1327	1189	1156	1080	1428	1364	1266	1344	1353	1192	1337	1290	1312	1204	1354	1130	1152	1371	1351	1245	985	768	1013	1121	1415	1409	854	1403	1219	1135	1361	1691	743	133	214	149	128					
11	Число полученных открепительных  удостоверений	2300	35	35	45	45	40	35	45	40	35	45	40	45	47	46	40	40	40	45	40	45	40	40	45	45	46	47	45	47	46	45	45	46	46	45	40	48	50	46	48	38	35	46	48	52	55	41	55	50	50	55	55	22	5	5	0	0					
12	Число выданных открепительных удостоверений	805	13	14	17	18	16	13	23	14	14	23	16	17	24	15	16	16	11	23	7	9	14	8	11	19	22	14	22	18	17	20	17	13	10	24	13	14	18	19	18	15	8	18	15	8	13	6	27	7	16	10	24	7	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	755	11	14	17	13	24	16	14	5	16	12	15	16	14	14	16	14	6	0	6	16	9	41	7	25	14	15	10	9	15	13	11	8	7	13	14	24	10	22	12	9	10	9	15	20	13	13	19	13	15	8	12	15	20	8	13	5					
14	Число неиспользованных открепительных удостоверений	1495	22	21	28	27	24	22	22	26	21	22	24	28	23	31	24	24	29	22	33	36	26	32	34	26	24	33	23	29	29	25	28	33	36	21	27	34	32	27	30	23	27	28	33	44	42	35	28	43	34	45	31	15	5	4	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																															
18	. Глазьев Сергей Юрьевич	3521	63	58	71	89	64	54	97	87	78	83	82	85	104	84	62	83	62	50	72	62	85	63	81	74	84	59	65	71	66	72	63	68	61	64	49	50	75	53	71	40	41	53	45	51	65	49	67	72	51	59	94	35	7	12	8	8					
		5.34%	5.34%	5.39%	5.27%	6.16%	5.10%	4.95%	6.74%	6.99%	6.13%	6.07%	6.27%	6.50%	6.76%	6.10%	5.10%	6.77%	5.24%	4.31%	5.36%	4.64%	7.09%	5.41%	7.43%	5.16%	6.12%	4.62%	4.79%	5.20%	5.46%	5.33%	4.80%	5.18%	5.00%	4.71%	4.27%	4.19%	5.42%	3.89%	5.65%	4.00%	5.26%	5.18%	3.98%	3.55%	4.58%	5.70%	4.74%	5.86%	4.48%	4.33%	5.54%	4.70%	5.15%	5.48%	5.33%	6.20%					
19	. Малышкин Олег Александрович	1498	30	23	21	22	31	18	29	32	22	26	27	25	31	18	29	26	27	42	20	26	27	32	11	25	21	30	20	25	32	18	34	22	29	29	27	46	37	37	42	27	27	37	20	50	45	28	39	42	37	25	30	11	2	6	2	1					
		2.27%	2.54%	2.14%	1.56%	1.52%	2.47%	1.65%	2.02%	2.57%	1.73%	1.90%	2.07%	1.91%	2.01%	1.31%	2.38%	2.12%	2.28%	3.62%	1.49%	1.94%	2.25%	2.75%	1.01%	1.74%	1.53%	2.35%	1.47%	1.83%	2.65%	1.33%	2.59%	1.68%	2.38%	2.13%	2.35%	3.86%	2.68%	2.71%	3.34%	2.70%	3.47%	3.61%	1.77%	3.48%	3.17%	3.26%	2.76%	3.42%	3.25%	1.83%	1.77%	1.48%	1.47%	2.74%	1.33%	0.78%					
20	. Миронов Сергей Михайлович	736	27	18	13	17	9	21	23	9	13	7	11	8	19	19	15	7	17	10	17	10	11	5	10	13	22	12	19	11	17	22	14	9	18	19	7	19	19	18	12	11	9	16	15	14	16	12	8	18	8	9	14	7	2	5	2	3					
		1.12%	2.29%	1.67%	0.97%	1.18%	0.72%	1.92%	1.60%	0.72%	1.02%	0.51%	0.84%	0.61%	1.23%	1.38%	1.23%	0.57%	1.44%	0.86%	1.26%	0.75%	0.92%	0.43%	0.92%	0.91%	1.60%	0.94%	1.40%	0.81%	1.41%	1.63%	1.07%	0.69%	1.48%	1.40%	0.61%	1.59%	1.37%	1.32%	0.95%	1.10%	1.16%	1.56%	1.33%	0.98%	1.13%	1.40%	0.57%	1.47%	0.70%	0.66%	0.82%	0.94%	1.47%	2.28%	1.33%	2.33%					
21	. Путин Владимир Владимирович	44180	765	713	926	906	861	725	929	789	825	917	870	880	990	886	832	794	785	857	891	914	809	747	692	988	908	868	926	929	801	885	855	894	828	897	779	756	893	946	827	675	550	695	812	1036	989	562	949	792	786	978	1172	467	91	143	112	88					
		67.00%	64.89%	66.26%	68.80%	62.70%	68.55%	66.39%	64.56%	63.37%	64.86%	67.08%	66.56%	67.33%	64.33%	64.30%	68.42%	64.76%	66.36%	73.94%	66.29%	68.36%	67.47%	64.12%	63.49%	68.90%	66.18%	68.03%	68.19%	68.06%	66.31%	65.51%	65.12%	68.14%	67.87%	65.96%	67.92%	63.42%	64.57%	69.35%	65.79%	67.50%	70.60%	67.87%	71.79%	72.20%	69.75%	65.42%	67.11%	64.50%	69.01%	71.75%	69.06%	62.77%	66.91%	65.30%	74.67%	68.22%					
22	. Хакамада Ирина Муцуовна	3162	89	67	61	98	35	48	77	70	85	83	99	77	100	103	64	70	52	43	65	71	45	56	43	73	79	45	50	69	49	50	62	67	42	65	38	57	55	43	49	45	27	31	37	54	54	27	71	53	49	72	74	51	10	5	3	5					
		4.79%	7.55%	6.23%	4.53%	6.78%	2.79%	4.40%	5.35%	5.62%	6.68%	6.07%	7.57%	5.89%	6.50%	7.47%	5.26%	5.71%	4.40%	3.71%	4.84%	5.31%	3.75%	4.81%	3.94%	5.09%	5.76%	3.53%	3.68%	5.05%	4.06%	3.70%	4.72%	5.11%	3.44%	4.78%	3.31%	4.78%	3.98%	3.15%	3.90%	4.50%	3.47%	3.03%	3.27%	3.76%	3.81%	3.14%	5.02%	4.32%	4.30%	5.28%	4.36%	6.85%	7.35%	2.28%	2.00%	3.88%					
23	. Харитонов Николай Михайлович	9769	149	151	182	235	213	175	219	195	191	172	150	162	221	173	154	186	181	91	233	199	169	206	218	207	204	206	216	194	190	237	208	196	179	230	191	181	242	214	192	148	93	149	161	157	197	157	224	205	168	154	221	135	15	36	16	21					
		14.81%	12.64%	14.03%	13.52%	16.26%	16.96%	16.03%	15.22%	15.66%	15.02%	12.58%	11.48%	12.39%	14.36%	12.55%	12.66%	15.17%	15.30%	7.85%	17.34%	14.88%	14.10%	17.68%	20.00%	14.44%	14.87%	16.14%	15.91%	14.21%	15.73%	17.54%	15.84%	14.94%	14.67%	16.91%	16.65%	15.18%	17.50%	15.69%	15.27%	14.80%	11.94%	14.55%	14.24%	10.94%	13.89%	18.28%	15.84%	16.69%	14.75%	11.30%	13.02%	18.15%	11.03%	16.44%	10.67%	16.28%					
																																																															
24	Против всех	2536	47	40	65	70	30	41	57	43	48	72	59	63	65	88	58	52	50	61	40	45	43	47	25	48	46	46	48	54	37	53	54	56	47	50	39	43	50	40	52	39	21	32	31	53	43	19	45	37	36	64	86	37	6	7	6	2					
		3.85%	3.99%	3.72%	4.83%	4.84%	2.39%	3.75%	3.96%	3.45%	3.77%	5.27%	4.51%	4.82%	4.22%	6.39%	4.77%	4.24%	4.23%	5.26%	2.98%	3.37%	3.59%	4.03%	2.29%	3.35%	3.35%	3.61%	3.53%	3.96%	3.06%	3.92%	4.11%	4.27%	3.85%	3.68%	3.40%	3.61%	3.62%	2.93%	4.14%	3.90%	2.70%	3.12%	2.74%	3.69%	3.03%	2.21%	3.18%	3.01%	3.16%	4.70%	5.07%	4.97%	4.41%	3.20%	4.00%	1.55%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
