Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Аксайская - 149																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №155	УИК №156	УИК №157	УИК №158	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №175	УИК №176	УИК №177									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12551	801	617	211	401	1004	681	662	1030	2045	2003	2543	553									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10511	705	596	195	316	874	580	500	738	1691	1628	2221	467									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7936	260	387	171	296	822	407	374	683	1074	1374	1682	406									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	310	6	16	10	20	29	21	33	50	46	32	39	8									
6	Число погашенных избирательных бюллетеней	2265	439	193	14	0	23	152	93	5	571	222	500	53									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	310	6	16	10	20	29	21	33	50	46	32	39	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7936	260	387	171	296	822	407	374	683	1074	1374	1682	406									
9	Число недействительных избирательных бюллетеней	78	0	5	0	0	8	8	6	7	22	13	8	1									
10	Число действительных избирательных бюллетеней	8168	266	398	181	316	843	420	401	726	1098	1393	1713	413									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	175	15	10	10	5	10	10	10	10	20	25	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	64	5	7	1	1	5	1	0	8	10	12	11	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	1	2	1	1	0	3	4	0	48	5	7	3									
14	Число погашенных неиспользованных открепительных удостоверений	111	10	3	9	4	5	9	10	2	10	13	14	22									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	51	0	3	0	0	3	0	6	4	14	8	9	4									
		0.62%	0.00%	0.74%	0.00%	0.00%	0.35%	0.00%	1.47%	0.55%	1.25%	0.57%	0.52%	0.97%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	122	1	8	0	0	19	17	6	11	26	18	13	3									
		1.48%	0.38%	1.99%	0.00%	0.00%	2.23%	3.97%	1.47%	1.50%	2.32%	1.28%	0.76%	0.72%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	57	0	8	0	0	7	9	6	5	9	6	5	2									
		0.69%	0.00%	1.99%	0.00%	0.00%	0.82%	2.10%	1.47%	0.68%	0.80%	0.43%	0.29%	0.48%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5707	259	261	157	264	645	275	316	529	785	721	1186	309									
		69.21%	97.37%	64.76%	86.74%	83.54%	75.79%	64.25%	77.64%	72.17%	70.09%	51.28%	68.91%	74.64%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	0	1	0	0	2	2	3	4	5	1	3	1									
		0.27%	0.00%	0.25%	0.00%	0.00%	0.24%	0.47%	0.74%	0.55%	0.45%	0.07%	0.17%	0.24%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	1	0	0	0	0	1	0	2	0	0	0									
		0.05%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.18%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	736	2	47	6	14	88	60	42	71	131	107	137	31									
		8.93%	0.75%	11.66%	3.31%	4.43%	10.34%	14.02%	10.32%	9.69%	11.70%	7.61%	7.96%	7.49%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	0	1	0	0	3	0	0	3	5	0	1	2									
		0.18%	0.00%	0.25%	0.00%	0.00%	0.35%	0.00%	0.00%	0.41%	0.45%	0.00%	0.06%	0.48%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	13	0	0	0	0	0	2	1	1	4	0	4	1									
		0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.25%	0.14%	0.36%	0.00%	0.23%	0.24%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	0	0	0	0	0	0	0	0	1	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	36	0	0	0	0	2	2	0	11	5	9	6	1									
		0.44%	0.00%	0.00%	0.00%	0.00%	0.24%	0.47%	0.00%	1.50%	0.45%	0.64%	0.35%	0.24%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1114	3	58	8	21	58	50	17	79	85	502	201	32									
