Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Грязовецкая																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515					
1	"Число избирателей, внесенных в списки"	31877	1034	1107	907	1067	1095	1048	1122	1187	943	970	1005	925	969	958	1149	985	988	750	291	120	615	98	227	202	498	293	273	558	329	348	437	160	982	589	127	223	437	205	1007	158	72	45	301	120	520	102	459	126	199	223	558	415	796	300	194	179	197	685					
2	"Число бюллетеней, полученных участковыми комиссиями"	29930	910	970	810	930	950	910	970	970	830	850	870	820	900	900	1100	950	950	750	290	115	600	100	220	200	490	290	260	590	360	335	485	170	1000	550	125	220	440	200	1000	150	75	45	295	115	510	105	440	135	200	220	560	410	790	290	200	160	190	660					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15573	502	520	492	595	548	555	700	609	438	431	561	456	394	387	533	510	392	393	190	72	226	23	74	84	218	116	123	278	126	222	219	61	435	224	52	110	276	70	474	82	42	29	116	64	247	37	276	31	92	103	304	158	362	196	43	107	131	464					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2510	19	44	54	11	28	6	32	26	14	26	7	9	25	9	5	6	11	0	41	25	95	49	48	41	47	115	80	19	30	10	51	63	155	106	45	42	49	24	29	18	9	10	100	23	62	36	45	80	59	73	72	80	133	3	114	16	29	52					
6	Число погашенных бюллетеней	11847	389	406	264	324	374	349	238	335	378	393	302	355	481	504	562	434	547	357	59	18	279	28	98	75	225	59	57	293	204	103	215	46	410	220	28	68	115	106	497	50	24	6	79	28	201	32	119	24	49	44	184	172	295	91	43	37	30	144					
7	Число бюллетеней в переносных ящиках для голосования	2510	19	44	54	11	28	6	32	26	14	26	7	9	25	9	5	6	11	0	41	25	95	49	48	41	47	115	80	19	30	10	51	63	155	106	45	42	49	24	29	18	9	10	100	23	62	36	45	80	59	73	72	80	133	3	114	16	29	52					
8	Число бюллетеней в стационарных ящиках для голосования	15566	502	519	492	595	545	555	700	609	437	430	561	456	393	387	533	510	392	393	190	72	226	23	74	84	218	116	123	278	126	222	219	61	435	224	52	110	276	70	474	82	42	29	116	64	247	37	276	31	92	103	304	158	362	196	43	107	131	464					
9	Число недействительных бюллетеней	404	9	9	6	7	4	14	13	5	7	11	5	12	12	6	30	31	16	8	1	2	3	1	0	2	4	0	2	8	8	2	4	4	14	20	0	12	7	4	3	4	2	0	4	1	1	3	18	0	3	3	8	7	16	1	0	7	2	18					
10	Число действительных бюллетеней	17672	512	554	540	599	569	547	719	630	444	445	563	453	406	390	508	485	387	385	230	95	318	71	122	123	261	231	201	289	148	230	266	120	576	310	97	140	318	90	500	96	49	39	212	86	308	70	303	111	148	173	368	231	479	198	157	116	158	498					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	949	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	11	4	23	3	8	6	19	11	10	22	13	12	18	6	35	22	5	8	16	8	34	6	3	2	11	4	19	4	16	5	7	6	21	15	30	11	7	6	7	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	107	3	2	6	1	10	8	2	2	1	5	4	3	1	1	4	6	5	0	5	0	1	0	0	1	1	0	0	1	1	0	0	0	7	0	1	3	1	0	0	0	0	0	0	0	2	0	2	0	0	1	4	0	2	0	3	0	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	73	3	1	2	1	1	4	0	0	1	1	3	1	2	0	3	3	2	0	0	1	1	0	2	2	1	0	0	1	0	0	0	0	1	2	0	0	1	2	2	0	2	3	2	4	2	0	4	1	0	1	0	0	3	3	0	1	1	2					
14	Число погашенных открепительных удостоверений	842	22	23	19	24	15	17	23	23	24	20	21	22	24	24	21	19	20	25	6	4	22	3	8	5	18	11	10	21	12	12	18	6	28	22	4	5	15	8	34	6	3	2	11	4	17	4	14	5	7	5	17	15	28	11	4	6	7	18					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
