Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																							
Дата голосования: 18.09.2016																																																																																							
																																																																																							
"Наименование Избирательной комиссии:    Уфа, Кировская"																																																																																							
																																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																							
																																																																																							
		Сумма	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №3456	УИК №3457	УИК №3480	УИК №3481	УИК №3482	УИК №3483									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	115494	2150	1223	1861	1601	2267	1609	1136	955	1291	2606	1359	2360	2284	1168	1515	1554	1776	516	1997	1100	1332	1059	1094	670	1076	823	917	1270	1786	1961	1793	1557	1898	1595	1621	1820	1919	2204	2141	2841	2508	2163	1684	1598	2486	1272	270	1747	2534	1378	1876	2006	2185	1693	2019	1755	1868	1683	2479	2432	536	338	260	319	29	79	89	350	286	692	2503	1463	2323	1780	1725	1381									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	102260	1800	1400	1400	1200	1800	1300	1500	900	1100	2100	1100	2000	1900	1000	1400	1200	1500	500	1700	1100	1100	1500	1200	600	900	800	800	1700	1500	1600	1500	2100	1600	1400	1400	1500	1600	1800	1800	2400	2200	1800	2100	1300	2000	1100	250	1500	2200	1200	1600	1700	1800	1400	1800	1500	1600	1400	2000	1900	1000	350	280	330	50	100	100	350	450	600	2100	1300	2000	1500	1500	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	70336	1398	1222	1145	1191	858	991	1023	498	831	1107	854	1394	1374	512	912	943	719	236	1205	334	716	1044	610	561	607	504	577	1245	828	1181	977	1556	1156	538	870	993	1174	1220	1292	1724	1548	1294	1677	1046	1524	611	216	1016	1544	837	1219	1124	1334	1070	1393	1038	1128	1044	1501	1478	250	291	260	235	29	51	89	242	285	517	1577	945	1098	1053	810	842									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5012	30	1	3	7	40	6	106	68	10	256	16	46	19	198	30	5	51	85	13	392	105	15	479	2	55	0	3	25	274	24	17	1	3	18	113	122	21	124	14	9	18	34	7	8	25	425	0	50	5	11	7	104	9	17	8	103	12	0	11	6	286	47	0	84	0	28	0	70	1	2	3	3	549	12	259	2									
6	Число погашенных избирательных бюллетеней	26912	372	177	252	2	902	303	371	334	259	737	230	560	507	290	458	252	730	179	482	374	279	441	111	37	238	296	220	430	398	395	506	543	441	844	417	385	405	456	494	667	634	472	416	246	451	64	34	434	651	352	374	472	457	313	399	359	460	356	488	416	464	12	20	11	21	21	11	38	164	81	520	352	353	435	431	356									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5012	30	1	3	7	40	6	106	68	10	256	16	46	19	198	30	5	51	85	13	392	105	15	479	2	55	0	3	25	274	24	17	1	3	18	113	122	21	124	14	9	18	34	7	8	25	425	0	50	5	11	7	104	9	17	8	103	12	0	11	6	286	47	0	84	0	28	0	70	1	2	3	3	549	12	259	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	70029	1398	1222	1145	1191	858	991	1003	498	831	865	854	1394	1374	512	911	943	719	236	1205	334	707	1044	610	561	607	504	577	1245	828	1181	977	1552	1156	538	870	993	1174	1220	1292	1716	1548	1293	1677	1046	1524	611	216	1013	1541	828	1218	1123	1332	1070	1393	1038	1128	1044	1501	1478	249	291	260	235	29	51	89	242	285	517	1577	945	1098	1053	810	840									
9	Число недействительных избирательных бюллетеней	1016	15	39	16	26	9	0	0	2	6	203	0	15	6	7	19	16	48	6	0	8	8	3	7	0	1	10	12	3	8	0	31	0	10	27	0	4	43	15	31	9	29	15	5	11	7	2	0	8	14	6	6	4	16	22	9	25	1	0	3	54	59	0	0	6	1	1	0	4	8	5	8	0	13	3	2	6									
10	Число действительных избирательных бюллетеней	74025	1413	1184	1132	1172	889	997	1109	564	835	918	870	1425	1387	703	922	932	722	315	1218	718	804	1056	1082	563	661	494	568	1267	1094	1205	963	1553	1149	529	983	1111	1152	1329	1275	1716	1537	1312	1679	1043	1542	1034	216	1055	1532	833	1219	1223	1325	1065	1392	1116	1139	1044	1509	1430	476	338	260	313	28	78	89	308	278	514	1572	948	1634	1062	1067	836									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2133	45	20	35	15	45	30	40	20	35	40	20	40	40	20	30	45	30	45	30	30	20	30	20	10	20	10	10	30	30	30	30	50	30	35	40	50	30	30	30	75	40	30	40	20	40	10	5	40	40	20	30	40	50	30	40	40	50	30	40	30	0	0	0	0	0	0	0	0	0	10	40	20	33	30	40	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1871	45	14	24	11	38	22	40	15	25	25	20	40	40	19	22	45	26	30	30	30	15	30	20	5	5	4	8	30	30	24	21	39	27	27	40	47	26	30	30	72	37	24	37	19	35	6	0	39	40	18	28	30	45	23	35	40	50	16	39	30	0	0	0	0	0	0	0	0	0	6	39	16	31	27	40	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1870	17	24	12	170	219	29	20	8	17	9	8	13	2	12	13	15	15	1	3	8	16	9	4	11	2	6	0	7	31	2	14	3	13	8	9	6	6	2	40	3	7	6	9	13	7	8	0	9	3	8	6	3	7	10	11	2	4	0	15	4	39	134	43	9	11	75	89	199	256	14	1	4	16	2	20	19									
14	Число погашенных неиспользованных открепительных удостоверений	262	0	6	11	4	7	8	0	5	10	15	0	0	0	1	8	0	4	15	0	0	5	0	0	5	15	6	2	0	0	6	9	11	3	8	0	3	4	0	0	3	3	6	3	1	5	4	5	1	0	2	2	10	5	7	5	0	0	14	1	0	0	0	0	0	0	0	0	0	0	4	1	4	2	3	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	165	1	3	3	1	0	1	3	2	0	7	0	5	4	0	4	2	1	0	2	1	4	0	0	0	2	1	1	2	2	0	0	2	5	3	4	14	5	4	4	3	1	9	1	3	3	2	0	2	4	3	4	3	5	1	6	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	4	2	3	4	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	557	8	0	2	23	6	5	9	13	9	25	5	3	5	7	4	2	14	2	11	8	4	7	2	3	2	6	0	10	2	7	9	6	8	15	7	8	3	7	8	17	8	4	79	4	11	0	0	13	10	8	11	5	9	18	5	2	2	5	10	6	6	2	2	6	0	0	0	3	1	0	6	6	1	14	6	2									
		0.74%	0.56%	0.00%	0.17%	1.92%	0.67%	0.50%	0.81%	2.30%	1.07%	2.23%	0.57%	0.21%	0.36%	0.99%	0.43%	0.21%	1.82%	0.62%	0.90%	1.10%	0.49%	0.66%	0.18%	0.53%	0.30%	1.19%	0.00%	0.79%	0.18%	0.58%	0.91%	0.39%	0.69%	2.70%	0.71%	0.72%	0.25%	0.52%	0.61%	0.99%	0.51%	0.30%	4.69%	0.38%	0.71%	0.00%	0.00%	1.22%	0.65%	0.95%	0.90%	0.41%	0.67%	1.66%	0.36%	0.18%	0.18%	0.48%	0.66%	0.40%	1.12%	0.59%	0.77%	1.88%	0.00%	0.00%	0.00%	0.96%	0.35%	0.00%	0.38%	0.63%	0.06%	1.31%	0.56%	0.24%									
