Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Березовская городская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	55929	2449	1881	1916	2596	2346	1771	1509	1840	2132	1455	1557	2925	2661	1415	904	1042	668	1006	1694	1238	1450	1918	1367	1252	192	2071	194	173	100	1614	1527	550	1737	1214	1855	813	285	2612									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44900	2100	1600	1600	2200	2000	1400	1200	1600	1600	1000	1000	2400	2100	1100	700	800	500	900	1400	1000	1200	1600	1100	1000	150	1700	150	150	100	1300	1200	450	1200	900	1500	600	200	2200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23397	1033	879	961	1076	1182	764	590	729	851	510	685	1197	840	551	327	346	262	421	758	532	605	800	514	471	94	798	100	71	45	694	603	201	946	620	772	309	149	1111									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	740	8	14	5	21	34	16	9	16	34	5	14	19	100	12	8	11	16	8	17	2	5	20	29	16	6	42	5	3	7	64	44	28	10	44	5	32	7	4									
6	Число погашенных избирательных бюллетеней	20763	1059	707	634	1103	784	620	601	855	715	485	301	1184	1160	537	365	443	222	471	625	466	590	780	557	513	50	860	45	76	48	542	553	221	244	236	723	259	44	1085									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	740	8	14	5	21	34	16	9	16	34	5	14	19	100	12	8	11	16	8	17	2	5	20	29	16	6	42	5	3	7	64	44	28	10	44	5	32	7	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23388	1033	879	961	1075	1182	764	590	729	851	510	683	1197	840	551	327	346	262	420	758	532	605	800	514	471	94	798	100	71	45	694	603	201	943	620	772	309	149	1109									
9	Число недействительных избирательных бюллетеней	928	49	39	30	32	40	36	26	26	32	19	18	52	19	20	9	6	6	16	38	15	27	35	21	12	5	50	8	0	2	47	31	11	35	34	25	10	5	42									
10	Число действительных избирательных бюллетеней	23200	992	854	936	1064	1176	744	573	719	853	496	679	1164	921	543	326	351	272	412	737	519	583	785	522	475	95	790	97	74	50	711	616	218	918	630	752	331	151	1071									
