Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Майминская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22747	1211	914	1165	923	1049	798	527	938	909	587	660	348	434	1099	859	580	548	409	454	776	1838	1311	549	242	329	182	232	1110	1766									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21980	1180	900	1140	900	1000	775	515	915	880	570	660	320	415	1070	835	560	530	405	450	760	1620	1290	540	240	320	180	230	1080	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8744	443	377	455	392	536	395	255	455	382	256	245	138	149	365	320	216	198	128	184	227	540	424	212	85	131	98	108	389	641									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	649	36	9	8	10	8	26	4	18	4	20	14	9	18	22	31	33	5	16	3	10	209	24	16	23	12	2	7	26	26									
6	Число погашенных избирательных бюллетеней	12587	701	514	677	498	456	354	256	442	494	294	401	173	248	683	484	311	327	261	263	523	871	842	312	132	177	80	115	665	1033									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	649	36	9	8	10	8	26	4	18	4	20	14	9	18	22	31	33	5	16	3	10	209	24	16	23	12	2	7	26	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8744	443	377	455	392	536	395	255	455	382	256	245	138	149	365	320	216	198	128	184	227	540	424	212	85	131	98	108	389	641									
9	Число недействительных избирательных бюллетеней	179	12	11	12	6	4	7	7	4	9	2	4	7	3	9	6	2	3	4	6	2	19	6	3	2	2	1	0	9	17									
10	Число действительных избирательных бюллетеней	9214	467	375	451	396	540	414	252	469	377	274	255	140	164	378	345	247	200	140	181	235	730	442	225	106	141	99	115	406	650									
