Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Игарская городская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118					
1	"Число избирателей, внесенных в списки"	7179	115	869	170	1012	681	453	371	807	1103	824	774					
2	"Число бюллетеней, полученных участковыми комиссиями"	6564	114	950	147	930	600	350	320	668	950	771	764					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	18	0	0	0	0	0	0	0	18	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4396	97	583	89	596	429	218	207	407	714	563	493					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	246	0	33	23	11	19	48	4	21	23	28	36					
6	Число погашенных бюллетеней	1904	17	334	35	323	152	84	109	222	213	180	235					
7	Число бюллетеней в переносных ящиках для голосования	264	0	33	23	11	19	48	4	39	23	28	36					
8	Число бюллетеней в стационарных ящиках для голосования	4396	97	583	89	596	429	218	207	407	714	563	493					
9	Число недействительных бюллетеней	100	2	5	3	11	21	8	3	13	18	7	9					
10	Число действительных бюллетеней	4560	95	611	109	596	427	258	208	433	719	584	520					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	119	5	40	10	4	10	10	10	10	0	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	37	0	26	0	1	1	5	0	0	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	8	1	2	0	3	0	0	0	0	1	1	0					
14	Число погашенных открепительных удостоверений	82	5	14	10	3	9	5	10	10	0	9	7					
15	Число открепительных удостоверений выданных ТИК	30	0	0	0	4	10	4	3	2	0	4	3					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	78	5	3	4	7	9	10	5	8	14	8	5					
