Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Половинская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК №766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799					
1	"Число избирателей, внесенных в списки"	11147	460	616	292	295	419	187	73	192	305	137	282	141	976	1124	1089	563	109	121	182	262	86	786	155	230	68	432	90	515	268	96	88	376	70	62					
2	"Число бюллетеней, полученных участковыми комиссиями"	11387	462	625	313	300	420	198	83	193	315	140	283	147	1000	1120	1090	574	110	112	187	262	89	777	166	225	68	431	91	515	320	104	108	421	74	64					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7241	296	388	206	219	285	132	48	117	204	109	199	107	547	597	657	303	96	89	114	226	63	439	115	159	49	312	78	318	268	91	65	244	56	45					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	453	21	23	39	14	22	7	10	15	19	8	12	0	24	63	19	10	2	0	4	0	0	30	8	4	3	45	0	20	0	0	0	26	5	0					
6	Число погашенных бюллетеней	3693	145	214	68	67	113	59	25	61	92	23	72	40	429	460	414	261	12	23	69	36	26	308	43	62	16	74	13	177	52	13	43	151	13	19					
7	Число бюллетеней в переносных ящиках для голосования	453	21	23	39	14	22	7	10	15	19	8	12	0	24	63	19	10	2	0	4	0	0	30	8	4	3	45	0	20	0	0	0	26	5	0					
8	Число бюллетеней в стационарных ящиках для голосования	7237	296	388	206	219	285	132	48	117	204	109	199	107	545	595	657	303	96	89	114	226	63	439	115	159	49	312	78	318	268	91	65	244	56	45					
9	Число недействительных бюллетеней	95	5	2	9	1	7	5	0	2	3	3	0	0	2	6	9	1	1	5	3	0	1	10	1	1	0	2	0	5	6	0	0	3	2	0					
10	Число действительных бюллетеней	7595	312	409	236	232	300	134	58	130	220	114	211	107	567	652	667	312	97	84	115	226	62	459	122	162	52	355	78	333	262	91	65	267	59	45					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	218	6	12	12	6	8	6	3	6	6	3	5	5	15	16	10	10	3	3	5	6	3	12	3	5	3	9	3	10	6	3	3	6	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	59	1	0	10	3	2	2	0	0	1	0	2	0	2	8	5	3	0	0	0	0	0	4	0	1	0	8	0	1	1	0	0	2	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	2	1	3	1	0	0	0	3	0	0	0	0	1	10	0	3	2	1	0	0	0	0	0	3	0	1	0	1	0	1	0	1	0	1					
14	Число погашенных открепительных удостоверений	159	5	12	2	3	6	4	3	6	5	3	3	5	13	8	5	7	3	3	5	6	3	8	3	4	3	1	3	9	5	3	3	4	0	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	109	6	4	9	1	10	3	0	3	6	2	1	3	8	8	7	5	1	0	0	1	1	3	1	3	0	7	0	7	5	0	0	4	0	0					
