Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																								
																																																																								
Наименование Избирательной комиссии:    Меленковская																																																																								
																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																								
																																																																								
		Сумма	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948	УИК  949	УИК  950	УИК  951	УИК  952	УИК  953	УИК  954	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993					
1	"Число избирателей, внесенных в списки"	33936	2415	2400	2383	2198	2444	2403	571	334	423	315	418	247	163	336	175	163	1091	142	174	338	314	386	118	482	138	447	280	175	610	185	360	1093	288	284	125	239	81	826	228	118	219	532	707	775	372	215	386	92	713	120	291	116	296	187	229	81	256	694	427	155	142	343	205	115	358					
2	"Число бюллетеней, полученных участковыми комиссиями"	31551	2200	2200	2200	2000	2300	2200	500	310	380	300	400	230	165	303	173	165	1000	142	175	310	300	350	205	430	138	403	251	177	560	187	350	1000	270	260	126	220	80	741	210	121	200	500	650	710	350	210	360	91	650	122	270	181	266	186	210	83	230	602	390	155	144	310	202	117	330					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14814	812	1000	913	704	936	921	314	179	170	170	219	119	97	181	89	109	398	85	53	189	165	230	118	183	43	144	160	91	305	79	204	507	163	102	74	162	33	389	131	81	127	231	323	280	204	128	238	58	300	69	170	106	158	85	77	42	152	288	144	66	52	177	126	71	120					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1508	50	34	31	35	32	53	16	26	46	12	7	20	3	9	12	9	28	0	45	0	7	0	0	75	40	0	0	21	17	31	16	40	12	29	15	0	28	37	18	0	22	41	28	76	32	26	37	16	21	0	14	10	9	0	38	28	46	42	43	0	54	28	19	20	4					
6	Число погашенных бюллетеней	15229	1338	1166	1256	1261	1332	1226	170	105	164	118	174	91	65	113	72	47	574	57	77	121	128	120	87	172	55	259	91	65	238	77	130	453	95	129	37	58	19	315	61	40	51	228	299	354	114	56	85	17	329	53	86	65	99	101	95	13	32	272	203	89	38	105	57	26	206					
7	Число бюллетеней в переносных ящиках для голосования	1508	50	34	31	35	32	53	16	26	46	12	7	20	3	9	12	9	28	0	45	0	7	0	0	75	40	0	0	21	17	31	16	40	12	29	15	0	28	37	18	0	22	41	28	76	32	26	37	16	21	0	14	10	9	0	38	28	46	42	43	0	54	28	19	20	4					
8	Число бюллетеней в стационарных ящиках для голосования	14814	812	1000	913	704	936	921	314	179	170	170	219	119	97	181	89	109	398	85	53	189	165	230	118	183	43	144	160	91	305	79	204	507	163	102	74	162	33	389	131	81	127	231	323	280	204	128	238	58	300	69	170	106	158	85	77	42	152	288	144	66	52	177	126	71	120					
9	Число недействительных бюллетеней	410	12	10	15	11	15	12	12	10	5	7	6	8	1	3	4	5	11	1	2	11	8	2	1	6	0	8	9	3	11	11	35	11	3	5	7	1	0	12	1	2	6	11	10	2	1	1	3	1	7	2	1	2	10	2	0	0	0	21	4	10	0	3	10	1	5					
10	Число действительных бюллетеней	15912	850	1024	929	728	953	962	318	195	211	175	220	131	99	187	97	113	415	84	96	178	164	228	117	252	83	136	151	109	311	99	185	536	172	126	82	161	61	414	148	79	143	261	341	354	235	153	272	73	314	67	183	114	157	83	115	70	198	309	183	56	106	202	135	90	119					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	360	10	10	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	56	5	3	6	2	5	6	0	0	0	1	2	0	0	1	0	1	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	2	1	0	0	0	0	4	0	0	0	0	1	3	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	0	2	0	11	0	2	2	1	1	0	2	0	0	0	0	1	10	0	2	2	0	0	0	1	1	0	0	0	1	0	1	1	0	0	3	0	3	0	0	0	2	2	3	3	0	0	0	2	4	0	0	2	1	0	0	2	1	3	1	2	0	1	2	0	0					
14	Число погашенных открепительных удостоверений	304	5	7	4	8	5	4	5	5	5	4	3	5	5	4	5	4	4	5	5	4	5	5	5	3	5	4	5	5	5	5	5	3	4	5	5	5	5	6	5	5	5	5	4	2	3	5	5	5	3	5	5	5	5	5	5	3	5	5	5	5	5	5	3	5	5					
15	Число открепительных удостоверений выданных ТИК	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
