Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    Южно-Сухокумская городская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №1837	УИК №1838	УИК №1839	УИК №1840					
1	"Число избирателей, внесенных в списки избирателей"	4910	1693	1681	1323	213					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4930	1701	1686	1330	213					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3953	1358	1354	1059	182					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	977	343	332	271	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3953	1358	1354	1059	182					
9	Число недействительных избирательных бюллетеней	10	0	6	3	1					
10	Число действительных избирательных бюллетеней	3943	1358	1348	1056	181					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	98	30	30	28	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3	0	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	95	30	30	26	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	364	125	99	132	8					
		9.21%	9.20%	7.31%	12.46%	4.40%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	10	6	0	0	4					
		0.25%	0.44%	0.00%	0.00%	2.20%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3569	1227	1249	924	169					
		90.29%	90.35%	92.25%	87.25%	92.86%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
