Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Калачинская																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384					
1	"Число избирателей, внесенных в списки"	35532	1420	365	169	118	200	1160	176	97	631	135	106	513	105	69	417	226	1031	378	71	63	572	249	551	57	77	1012	145	371	212	1251	590	572	75	585	147	258	395	703	92	604	1085	1062	1221	1296	1193	707	1054	1090	1064	1262	1276	1297	1370	1008	1372	1323	699	185					
2	"Число бюллетеней, полученных участковыми комиссиями"	33475	1200	360	169	112	210	1100	182	104	600	193	105	500	125	71	420	230	1000	387	79	62	580	250	550	60	75	1000	150	363	218	1200	590	580	82	620	169	260	400	700	94	540	980	950	1100	1170	1100	650	960	1030	960	1140	1170	1170	1250	930	1230	1190	630	175					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20044	770	211	98	62	126	683	119	84	398	135	82	280	88	48	283	150	593	295	71	43	370	154	336	46	41	556	83	229	128	679	311	320	53	401	133	185	285	452	73	367	668	545	595	708	595	376	508	609	580	650	665	716	625	537	719	652	384	91					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1493	37	26	15	22	10	88	5	3	39	0	0	43	6	16	28	7	94	12	0	0	36	32	38	5	14	68	19	28	17	21	9	18	16	45	9	23	34	26	7	23	47	47	28	18	22	16	28	20	51	24	17	32	43	20	23	27	10	81					
6	Число погашенных бюллетеней	11938	393	123	56	28	74	329	58	17	163	58	23	177	31	7	109	73	313	80	8	19	174	64	176	9	20	376	48	106	73	500	270	242	13	174	27	52	81	222	14	150	265	358	477	444	483	258	424	401	329	466	488	422	582	373	488	511	236	3					
7	Число бюллетеней в переносных ящиках для голосования	1493	37	26	15	22	10	88	5	3	39	0	0	43	6	16	28	7	94	12	0	0	36	32	38	5	14	68	19	28	17	21	9	18	16	45	9	23	34	26	7	23	47	47	28	18	22	16	28	20	51	24	17	32	43	20	23	27	10	81					
8	Число бюллетеней в стационарных ящиках для голосования	20042	770	211	98	62	126	683	119	84	398	135	82	280	88	48	283	150	593	295	71	43	370	154	336	46	41	556	83	229	128	679	311	320	53	401	133	185	285	452	72	367	668	545	595	708	595	376	508	609	580	650	665	716	625	537	719	652	383	91					
9	Число недействительных бюллетеней	411	20	0	6	3	6	15	6	2	14	0	3	11	4	1	3	11	15	5	2	1	9	1	11	0	2	8	3	11	4	9	4	8	1	12	4	10	1	11	2	10	2	9	13	11	12	6	5	2	4	16	12	11	18	3	17	6	8	7					
10	Число действительных бюллетеней	21124	787	237	107	81	130	756	118	85	423	135	79	312	90	63	308	146	672	302	69	42	397	185	363	51	53	616	99	246	141	691	316	330	68	434	138	198	318	467	77	380	713	583	610	715	605	386	531	627	627	658	670	737	650	554	725	673	385	165					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	487	13	5	5	5	5	10	5	5	10	5	5	10	5	5	10	5	20	5	5	5	10	5	10	5	5	10	5	10	5	10	10	10	5	10	5	5	10	10	5	10	10	10	10	10	10	13	12	20	10	10	14	10	10	10	10	10	10	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	220	10	1	0	0	2	6	2	1	8	0	0	0	0	0	2	1	20	0	0	1	1	0	4	2	0	5	1	2	0	7	2	3	0	2	2	0	0	4	0	3	5	5	7	6	3	8	11	15	3	10	12	9	7	7	7	3	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	195	4	1	1	7	2	3	2	1	3	0	2	3	34	3	1	1	3	0	2	6	2	3	2	2	5	1	0	4	2	3	4	2	2	3	1	2	2	3	2	7	0	5	4	1	7	2	1	4	4	4	3	4	2	4	2	7	3	7					
14	Число погашенных открепительных удостоверений	267	3	4	5	5	3	4	3	4	2	5	5	10	5	5	8	4	0	5	5	4	9	5	6	3	5	5	4	8	5	3	8	7	5	8	3	5	10	6	5	7	5	5	3	4	7	5	1	5	7	0	2	1	3	3	3	7	0	0					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	"1. ""ЕДИНЕНИЕ"""	392	16	5	5	0	3	13	2	2	9	2	0	11	2	1	3	5	16	4	0	2	11	1	8	3	1	14	2	3	4	13	5	5	2	23	0	6	4	11	4	5	2	11	12	8	10	5	4	11	13	12	8	10	11	10	12	11	10	6					
