Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    Новоуральская городская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2614					
1	"Число избирателей, внесенных в списки избирателей"	80648	1523	1926	2080	2176	2113	1893	2439	1607	1635	2118	1816	882	1363	1657	1416	2322	2103	1727	2078	1813	1820	2080	2241	2303	1733	1494	2405	1789	1770	1788	1909	2901	1574	2661	2002	2836	1751	491	1291	249	1053	2050	1538	2232					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	76810	1510	1800	1900	2050	2000	1800	2300	1500	1500	2100	1750	820	1300	1600	1300	2200	2000	1600	2000	1750	1700	1900	2150	2200	1600	1300	2300	1700	1700	1700	1800	2800	1550	2500	1900	2800	1700	410	1200	220	1050	2300	1400	2150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	57872	1074	1394	1467	1605	1495	1373	1725	1206	1169	1401	1245	241	995	1215	1034	1638	1427	1129	1476	1321	1328	1587	1688	1710	1270	1049	1739	1346	1262	1277	1353	2008	1150	2146	1560	2130	1285	311	818	146	692	1772	1145	1470					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2533	31	24	20	29	28	29	56	60	60	108	90	579	76	61	38	76	63	55	39	20	48	52	68	35	34	48	50	51	39	35	47	100	66	36	14	24	21	75	37	17	13	28	8	45					
6	Число погашенных избирательных бюллетеней	16405	405	382	413	416	477	398	519	234	271	591	415	0	229	324	228	486	510	416	485	409	324	261	394	455	296	203	511	303	399	388	400	692	334	318	326	646	394	24	345	57	345	500	247	635					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2533	31	24	20	29	28	29	56	60	60	108	90	579	76	61	38	76	63	55	39	20	48	52	68	35	34	48	50	51	39	35	47	100	66	36	14	24	21	75	37	17	13	28	8	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57866	1074	1394	1467	1605	1495	1371	1725	1206	1168	1401	1245	241	995	1214	1034	1638	1427	1129	1476	1321	1328	1587	1688	1710	1270	1049	1739	1345	1262	1277	1353	2008	1149	2146	1560	2130	1285	311	818	146	692	1772	1145	1470					
9	Число недействительных избирательных бюллетеней	1049	18	26	25	32	36	14	25	23	24	30	24	12	20	21	17	30	6	21	35	19	29	16	30	50	19	24	24	19	25	17	24	33	17	37	40	43	27	8	10	1	13	33	23	29					
10	Число действительных избирательных бюллетеней	59350	1087	1392	1462	1602	1487	1386	1756	1243	1204	1479	1311	808	1051	1254	1055	1684	1484	1163	1480	1322	1347	1623	1726	1695	1285	1073	1765	1377	1276	1295	1376	2075	1198	2145	1534	2111	1279	378	845	162	692	1767	1130	1486					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1883	42	40	47	56	72	37	47	39	37	27	27	0	37	37	37	57	47	37	57	57	47	47	47	51	47	37	52	47	47	47	57	52	47	47	32	62	47	1	30	10	10	57	48	77					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1668	34	33	42	51	63	33	47	32	34	27	22	0	36	30	29	49	39	30	44	42	41	40	40	50	45	30	50	42	45	47	49	42	43	39	32	62	46	1	30	3	10	53	37	74					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	981	4	13	12	24	12	14	21	25	38	8	16	88	17	13	12	54	13	30	11	18	6	29	34	25	6	19	29	13	27	16	16	23	10	12	11	15	26	123	23	14	16	13	5	27					
14	Число погашенных неиспользованных открепительных удостоверений	215	8	7	5	5	9	4	0	7	3	0	5	0	1	7	8	8	8	7	13	15	6	7	7	1	2	7	2	5	2	0	8	10	4	8	0	0	1	0	0	7	0	4	11	3					
