Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Ядринская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073					
1	"Число избирателей, внесенных в список"	24464	1343	2708	2724	244	499	205	106	478	661	320	527	399	221	527	495	307	347	631	602	215	314	247	390	270	839	496	245	248	382	272	552	287	309	241	72	223	509	483	448	410	347	678	289	324	209	197	586	397	316	325					
2	Число полученных избирательных бюллетеней	23750	1300	2600	2600	250	500	230	120	450	650	300	500	360	200	500	500	300	340	600	600	200	300	230	360	250	850	500	250	250	350	250	500	290	300	240	80	230	500	480	450	400	350	690	280	320	200	200	550	400	300	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16317	735	1624	1564	159	402	135	58	307	443	242	344	291	143	381	303	215	231	464	401	135	201	172	271	180	575	389	201	196	277	175	405	199	241	163	60	169	356	386	322	280	242	438	212	249	173	122	391	248	213	234					
5	"Число избирательных бюллетеней, выданных вне помещения"	1282	18	32	23	20	28	10	17	50	69	27	35	35	18	51	44	28	46	36	54	24	21	21	20	19	32	9	11	8	30	31	9	11	23	31	4	11	37	12	33	30	30	44	6	15	0	12	21	46	18	22					
6	Число погашенных избирательных бюллетеней	6151	547	944	1013	71	70	85	45	93	138	31	121	34	39	68	153	57	63	100	145	41	78	37	69	51	243	102	38	46	43	44	86	80	36	46	16	50	107	82	95	90	78	208	62	56	27	66	138	106	69	44					
7	Число избирательных бюллетеней в переносных ящиках	1282	18	32	23	20	28	10	17	50	69	27	35	35	18	51	44	28	46	36	54	24	21	21	20	19	32	9	11	8	30	31	9	11	23	31	4	11	37	12	33	30	30	44	6	15	0	12	21	46	18	22					
8	Число бюллетеней в стационарных ящиках для голосования	16316	735	1624	1564	159	402	135	58	307	443	242	344	291	143	381	303	215	231	464	401	135	201	172	271	180	575	389	201	196	277	175	405	199	241	163	60	169	356	386	322	280	241	438	212	249	173	122	391	248	213	234					
9	Число недействительных избирательных бюллетеней	299	15	27	19	2	12	6	0	2	10	4	3	3	3	7	3	7	2	7	7	2	2	5	3	7	8	20	1	9	2	4	2	6	5	10	1	3	6	1	5	4	5	8	9	10	4	4	7	3	3	1					
10	Число действительных избирательных бюллетеней	17299	738	1629	1568	177	418	139	75	355	502	265	376	323	158	425	344	236	275	493	448	157	220	188	288	192	599	378	211	195	305	202	412	204	259	184	63	177	387	397	350	306	266	474	209	254	169	130	405	291	228	255					
11	Число полученных открепительных  удостоверений	798	40	40	40	10	20	10	10	20	20	10	20	10	10	20	20	10	10	20	20	10	10	10	10	10	30	20	10	10	10	10	20	10	10	10	8	10	20	30	30	20	10	20	10	10	10	10	20	20	10	10					
12	Число выданных открепительных удостоверений	375	7	40	33	3	15	0	3	9	9	10	13	0	0	11	9	1	4	20	4	8	10	3	5	1	15	20	10	1	1	3	0	2	2	5	1	8	7	12	6	5	3	14	0	10	9	1	5	8	3	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	177	8	11	19	1	4	3	3	5	3	6	3	5	0	5	3	2	5	8	3	5	3	2	4	0	6	1	1	1	2	2	3	1	7	1	0	1	1	3	0	0	2	4	4	3	2	3	4	2	4	8					
14	Число неиспользованных открепительных удостоверений	423	33	0	7	7	5	10	7	11	11	0	7	10	10	9	11	9	6	0	16	2	0	7	5	9	15	0	0	9	9	7	20	8	8	5	7	2	13	18	24	15	7	6	10	0	1	9	15	12	7	4					
