Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Медведевская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348					
1	"Число избирателей, внесенных в списки"	41195	2361	2226	1796	2196	1766	1746	475	1677	1747	1597	725	218	191	101	154	1093	352	2079	1665	688	894	860	237	119	369	371	587	221	994	1499	1359	943	2376	931	624	1455	319	974	1210					
2	"Число бюллетеней, полученных участковыми комиссиями"	40655	2310	2220	1720	2190	1760	1730	460	1660	1700	1600	700	210	188	103	166	1070	350	2080	1600	680	870	860	230	120	350	360	580	210	1000	1470	1350	940	2370	928	600	1420	300	970	1230					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	21649	1384	1238	918	1242	994	966	227	777	1020	994	374	128	99	69	100	697	172	969	870	278	530	435	122	69	149	211	328	97	449	693	704	266	1270	559	351	683	116	319	782					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1801	30	25	51	13	10	6	9	33	10	91	58	17	36	5	11	26	24	40	50	21	50	6	18	21	65	18	50	39	123	73	62	140	8	14	56	200	66	201	25					
6	Число погашенных бюллетеней	17205	896	957	751	935	756	758	224	850	670	515	268	65	53	29	55	347	154	1071	680	381	290	419	90	30	136	131	202	74	428	704	584	534	1092	355	193	537	118	450	423					
7	Число бюллетеней в переносных ящиках для голосования	1801	30	25	51	13	10	6	9	33	10	91	58	17	36	5	11	26	24	40	50	21	50	6	18	21	65	18	50	39	123	73	62	140	8	14	56	200	66	201	25					
8	Число бюллетеней в стационарных ящиках для голосования	21648	1384	1238	918	1242	994	965	227	777	1020	994	374	128	99	69	100	697	172	969	870	278	530	435	122	69	149	211	328	97	449	693	704	266	1270	559	351	683	116	319	782					
9	Число недействительных бюллетеней	439	10	12	11	14	11	26	6	19	19	9	0	5	2	1	0	12	5	25	17	6	19	13	9	4	12	7	9	8	16	22	12	4	30	10	5	16	6	16	11					
10	Число действительных бюллетеней	23010	1404	1251	958	1241	993	945	230	791	1011	1076	432	140	133	73	111	711	191	984	903	293	561	428	131	86	202	222	369	128	556	744	754	402	1248	563	402	867	176	504	796					
