Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Николаевская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403					
1	"Число избирателей, внесенных в списки избирателей"	22495	1215	1947	1780	554	133	1335	393	710	762	121	126	422	427	140	462	150	357	475	236	300	1783	741	1818	245	297	393	180	636	1119	239	217	86	351	1214	319	513	299					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22488	1200	1820	1770	560	130	1320	390	740	810	130	130	480	430	150	470	150	370	480	230	280	1730	750	1750	240	300	420	190	640	1080	240	220	78	350	1220	360	540	340					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16500	784	1221	1142	398	105	1065	295	530	606	100	110	318	308	86	354	100	260	340	185	244	1223	587	1623	215	229	286	139	447	696	168	170	63	290	882	219	452	260					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1983	104	133	98	30	8	39	60	74	57	15	14	45	33	36	34	29	63	71	23	16	240	84	29	10	16	55	15	69	165	24	23	8	19	129	40	47	28					
6	Число погашенных избирательных бюллетеней	4005	312	466	530	132	17	216	35	136	147	15	6	117	89	28	82	21	47	69	22	20	267	79	98	15	55	79	36	124	219	48	27	7	41	209	101	41	52					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1983	104	133	98	30	8	39	60	74	57	15	14	45	33	36	34	29	63	71	23	16	240	84	29	10	16	55	15	69	165	24	23	8	19	129	40	47	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16491	784	1221	1142	398	105	1065	295	528	606	100	110	318	308	86	354	100	260	340	185	244	1223	587	1623	215	229	286	139	447	696	168	170	63	290	875	219	452	260					
9	Число недействительных избирательных бюллетеней	72	2	13	8	0	3	6	1	0	4	0	0	3	0	0	2	0	1	0	2	0	2	1	2	5	0	0	1	6	6	0	0	1	0	2	1	0	0					
10	Число действительных избирательных бюллетеней	18402	886	1341	1232	428	110	1098	354	602	659	115	124	360	341	122	386	129	322	411	206	260	1461	670	1650	220	245	341	153	510	855	192	193	70	309	1002	258	499	288					
