Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Чучковская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6818	313	797	145	166	148	203	220	65	81	144	240	259	782	199	99	1016	1362	381	198									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6185	290	700	130	165	150	200	200	65	75	140	240	270	700	200	90	900	1100	370	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2700	144	317	46	104	62	82	107	43	32	64	99	96	351	100	35	359	462	140	57									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	347	10	62	20	1	9	10	27	8	11	13	14	40	9	19	10	27	28	2	27									
6	Число погашенных избирательных бюллетеней	3138	136	321	64	60	79	108	66	14	32	63	127	134	340	81	45	514	610	228	116									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	347	10	62	20	1	9	10	27	8	11	13	14	40	9	19	10	27	28	2	27									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2699	144	317	46	104	62	82	107	43	32	64	99	96	351	100	35	359	461	140	57									
9	Число недействительных избирательных бюллетеней	79	7	8	1	4	4	2	5	0	1	3	0	2	11	0	0	10	17	4	0									
10	Число действительных избирательных бюллетеней	2967	147	371	65	101	67	90	129	51	42	74	113	134	349	119	45	376	472	138	84									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	109	5	7	2	3	5	3	5	2	2	3	3	5	7	3	3	15	15	10	11									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	49	0	3	0	0	0	0	1	0	0	0	0	5	4	0	0	12	8	7	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	6	1	5	5	0	1	0	0	2	1	2	1	3	0	1	4	3	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	60	5	4	2	3	5	3	4	2	2	3	3	0	3	3	3	3	7	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	3	5	0	1	0	1	0	0	0	0	0	1	2	0	0	1	2	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	41	4	4	1	1	1	1	0	0	0	1	3	1	4	1	0	8	11	0	0									
		1.35%	2.60%	1.06%	1.52%	0.95%	1.41%	1.09%	0.00%	0.00%	0.00%	1.30%	2.65%	0.74%	1.11%	0.84%	0.00%	2.07%	2.25%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	122	6	14	3	2	4	4	3	6	1	5	5	6	16	1	0	11	24	6	5									
		4.01%	3.90%	3.69%	4.55%	1.90%	5.63%	4.35%	2.24%	11.76%	2.33%	6.49%	4.42%	4.41%	4.44%	0.84%	0.00%	2.85%	4.91%	4.23%	5.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	64	3	9	0	2	2	1	4	0	0	1	0	3	8	0	2	7	15	4	3									
		2.10%	1.95%	2.37%	0.00%	1.90%	2.82%	1.09%	2.99%	0.00%	0.00%	1.30%	0.00%	2.21%	2.22%	0.00%	4.44%	1.81%	3.07%	2.82%	3.57%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1639	86	227	25	61	41	46	94	33	28	44	54	68	172	91	24	200	213	80	52									
		53.81%	55.84%	59.89%	37.88%	58.10%	57.75%	50.00%	70.15%	64.71%	65.12%	57.14%	47.79%	50.00%	47.78%	76.47%	53.33%	51.81%	43.56%	56.34%	61.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	2	0									
		0.30%	0.00%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	1.02%	1.41%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0									
		0.16%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	2.22%	0.26%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	430	27	41	12	14	1	14	9	4	4	6	27	13	82	10	9	58	73	19	7									
		14.12%	17.53%	10.82%	18.18%	13.33%	1.41%	15.22%	6.72%	7.84%	9.30%	7.79%	23.89%	9.56%	22.78%	8.40%	20.00%	15.03%	14.93%	13.38%	8.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	0	3	0	3	1	2	0	0	0	0	0	0	2	0	1	2	1	1	0									
		0.53%	0.00%	0.79%	0.00%	2.86%	1.41%	2.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	2.22%	0.52%	0.20%	0.70%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	16	1	2	0	0	0	0	0	0	1	0	0	1	1	0	0	2	6	1	1									
		0.53%	0.65%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.33%	0.00%	0.00%	0.74%	0.28%	0.00%	0.00%	0.52%	1.23%	0.70%	1.19%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
