Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																															
Дата голосования: 18.09.2016																																																																																																																															
																																																																																																																															
Наименование Избирательной комиссии:    Стерлитамакская городская																																																																																																																															
																																																																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																															
																																																																																																																															
		Сумма	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №3460	УИК №3461	УИК №3495	УИК №3496									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	204346	2699	2003	2128	2492	2108	968	1884	1445	2323	1220	2058	2058	1185	1853	1149	2279	2040	2098	1803	570	1943	2087	1011	2121	2155	2260	1719	1783	1740	1952	2249	2165	1780	1629	1154	1843	1516	2652	2015	1092	1457	2078	1238	1835	1416	1425	1354	1471	1064	2050	1595	1998	1555	1740	1292	1998	1006	2413	2069	2158	2265	2400	2276	1522	1650	1743	1524	2061	1308	2528	1542	2363	1617	1496	1444	2991	1568	2455	1618	1906	2214	2609	2056	2610	1504	2699	1042	1101	1538	2011	2149	2445	1662	1243	1469	2490	2685	2614	2500	2245	2861	1087	2609	1081	2016	2726	1240	1889	9	555	15	110	1346	978	87	133									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	174616	2300	1700	1900	2100	1800	800	1600	1200	2000	1100	1700	1800	1000	1600	1000	2000	1800	1800	1500	550	1600	1800	1000	1800	1900	1900	1500	1500	1500	1700	1900	1900	1500	1400	1000	1600	1300	2300	1800	900	1300	1800	1100	1400	1200	1200	1200	1300	960	1800	1300	1700	1300	1500	1100	1700	900	2100	1800	1800	1900	2100	2000	1300	1400	1500	1300	1800	1100	2100	1300	2000	1400	1300	1200	2500	1300	2100	1400	1600	1900	2100	1800	2200	1300	2300	900	900	1300	1700	1800	2100	1400	1000	1200	2100	2200	2200	2100	1900	2400	900	2200	900	1800	2300	1100	1600	9	556	15	110	1200	800	87	129									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	144471	1996	1432	1794	1789	1593	742	1424	1020	1620	860	1425	1463	808	1310	824	1553	1343	1456	1273	412	1374	1545	707	1561	1554	1614	1246	1301	825	1392	1671	1626	1217	1139	821	1285	1085	2068	1689	755	835	1466	1046	1245	1038	1032	895	1075	665	1724	509	1428	1093	1470	912	1492	721	1821	1464	1528	1601	1311	1538	1073	1167	1246	1078	1458	920	1778	1090	1699	1144	1067	1099	2111	1233	1828	1145	1419	1646	1872	1480	1870	1215	984	825	865	1152	1557	1561	1732	1240	931	390	1774	1989	1882	1788	1640	2140	723	1819	695	661	1931	1027	1473	9	555	15	110	1003	701	51	89									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1485	3	0	12	18	9	3	8	5	7	12	44	19	33	6	5	65	106	14	7	42	7	10	3	10	9	11	9	13	17	8	16	12	8	22	22	23	7	7	4	20	0	9	6	76	10	1	113	14	4	20	2	10	11	9	5	7	4	18	26	8	7	9	7	8	5	3	4	6	14	17	5	2	4	10	1	6	7	8	1	5	19	6	22	10	3	110	0	5	6	8	14	4	4	1	10	3	2	5	3	0	5	6	3	9	4	4	2	2	0	0	0	0	5	0	36	36									
6	Число погашенных избирательных бюллетеней	28660	301	268	94	293	198	55	168	175	373	228	231	318	159	284	171	382	351	330	220	96	219	245	290	229	337	275	245	186	658	300	213	262	275	239	157	292	208	225	107	125	465	325	48	79	152	167	192	211	291	56	789	262	196	21	183	201	175	261	310	264	292	780	455	219	228	251	218	336	166	305	205	299	252	223	100	383	60	264	254	176	235	222	298	320	82	1206	75	30	142	135	225	364	156	68	800	323	209	313	309	260	255	171	378	196	1135	365	71	125	0	1	0	0	192	99	0	4									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1485	3	0	12	18	9	3	8	5	7	12	44	19	33	6	5	65	106	14	7	42	7	10	3	10	9	11	9	13	17	8	16	12	8	22	22	23	7	7	4	20	0	9	6	76	10	1	113	14	4	20	2	10	11	9	5	7	4	18	26	8	7	9	7	8	5	3	4	6	14	17	5	2	4	10	1	6	7	8	1	5	19	6	22	10	3	110	0	5	6	8	14	4	4	1	10	3	2	5	3	0	5	6	3	9	4	4	2	2	0	0	0	0	5	0	36	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	144438	1996	1431	1794	1789	1593	742	1424	1020	1620	860	1425	1463	791	1310	824	1553	1343	1456	1273	412	1374	1545	707	1561	1554	1614	1246	1301	825	1392	1671	1626	1217	1139	821	1285	1085	2068	1689	755	835	1466	1046	1245	1038	1032	895	1075	657	1724	509	1428	1093	1470	912	1492	721	1821	1464	1528	1601	1311	1538	1073	1167	1246	1078	1458	919	1778	1090	1699	1144	1067	1099	2111	1233	1828	1144	1419	1646	1872	1480	1870	1215	984	825	865	1152	1557	1561	1732	1240	931	390	1772	1989	1879	1788	1640	2140	723	1819	695	661	1931	1027	1473	9	555	15	110	1003	701	51	89									
9	Число недействительных избирательных бюллетеней	388	0	3	0	0	1	0	0	0	5	0	0	8	17	13	6	0	0	81	0	10	3	0	13	0	0	16	3	2	2	7	2	0	6	19	0	4	0	8	0	0	0	4	0	0	2	0	2	0	10	0	3	0	0	0	2	0	0	0	0	0	0	10	28	0	6	0	0	0	0	0	0	0	1	0	17	0	0	10	1	5	6	0	0	3	0	0	0	0	0	0	3	1	6	0	4	6	0	0	0	0	0	1	3	0	4	15	1	0	0	0	0	0	0	0	2	3									
10	Число действительных избирательных бюллетеней	145535	1999	1428	1806	1807	1601	745	1432	1025	1622	872	1469	1474	807	1303	823	1618	1449	1389	1280	444	1378	1555	697	1571	1563	1609	1252	1312	840	1393	1685	1638	1219	1142	843	1304	1092	2067	1693	775	835	1471	1052	1321	1046	1033	1006	1089	651	1744	508	1438	1104	1479	915	1499	725	1839	1490	1536	1608	1310	1517	1081	1166	1249	1082	1464	933	1795	1095	1701	1147	1077	1083	2117	1240	1826	1144	1419	1659	1878	1502	1877	1218	1094	825	870	1158	1565	1572	1735	1238	932	396	1769	1991	1884	1791	1640	2145	728	1819	704	661	1920	1028	1475	9	555	15	110	1008	701	85	122									
