Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Локтевская 																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084					
1	"Число избирателей, внесенных в списки"	25096	2339	2555	1259	1320	1138	1898	412	1420	959	875	560	733	1743	185	303	507	780	779	574	1050	744	824	611	468	1060					
2	"Число бюллетеней, полученных участковыми комиссиями"	24015	2200	2400	1100	1200	1100	1800	380	1400	900	800	500	700	1700	185	500	500	700	750	500	1000	700	800	600	600	1000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14719	1195	1234	639	643	531	881	255	717	629	575	408	539	963	140	288	368	545	514	377	628	504	593	439	440	674					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1016	98	110	38	59	44	58	46	43	51	41	20	0	70	5	15	16	37	50	29	66	23	3	21	28	45					
6	Число погашенных бюллетеней	8280	907	1056	423	498	525	861	79	640	220	184	72	161	667	40	197	116	118	186	94	306	173	204	140	132	281					
7	Число бюллетеней в переносных ящиках для голосования	1016	98	110	38	59	44	58	46	43	51	41	20	0	70	5	15	16	37	50	29	66	23	3	21	28	45					
8	Число бюллетеней в стационарных ящиках для голосования	14717	1195	1234	639	641	531	881	255	717	629	575	408	539	963	140	288	368	545	514	377	628	504	593	439	440	674					
9	Число недействительных бюллетеней	173	9	13	9	10	7	4	3	7	2	6	0	8	12	1	9	5	11	3	11	4	7	5	8	10	9					
10	Число действительных бюллетеней	15560	1284	1331	668	690	568	935	298	753	678	610	428	531	1021	144	294	379	571	561	395	690	520	591	452	458	710					
