Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Ишимская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409					
1	"Число избирателей, внесенных в списки"	25065	578	192	357	255	428	702	494	97	332	235	216	171	338	287	105	292	329	1261	650	626	138	602	217	956	161	610	827	176	495	134	1065	308	493	133	230	551	400	761	701	118	458	247	176	2961	320	232	443	873	167	183	180	506	138	215	592	353					
2	"Число бюллетеней, полученных участковыми комиссиями"	25754	616	220	360	254	432	717	495	105	345	330	230	177	366	303	109	309	338	1289	699	642	150	637	233	965	164	617	808	170	491	139	1069	322	493	145	228	549	407	759	732	119	475	250	188	3002	373	231	485	881	162	180	179	503	134	220	599	359					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18192	437	172	295	216	341	498	306	47	290	226	197	153	179	226	87	219	234	895	499	389	112	440	151	679	113	431	655	135	407	112	617	284	337	64	202	356	316	512	439	94	363	180	143	2308	215	193	301	601	120	150	137	357	109	191	335	127					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2086	30	20	16	9	42	96	73	47	0	6	12	10	107	20	7	13	19	84	25	42	26	52	41	67	15	115	21	10	47	22	202	0	0	55	4	8	7	44	71	20	22	25	14	62	10	3	25	64	7	13	20	44	9	0	119	144					
6	Число погашенных бюллетеней	5476	149	28	49	29	49	123	116	11	55	98	21	14	80	57	15	77	85	310	175	211	12	145	41	219	36	71	132	25	37	5	250	38	156	26	22	185	84	203	222	5	90	45	31	632	148	35	159	216	35	17	22	102	16	29	145	88					
7	Число бюллетеней в переносных ящиках для голосования	2086	30	20	16	9	42	96	73	47	0	6	12	10	107	20	7	13	19	84	25	42	26	52	41	67	15	115	21	10	47	22	202	0	0	55	4	8	7	44	71	20	22	25	14	62	10	3	25	64	7	13	20	44	9	0	119	144					
8	Число бюллетеней в стационарных ящиках для голосования	18187	437	172	295	216	341	498	306	47	290	226	197	153	179	226	87	218	234	895	499	389	112	440	150	679	113	431	654	135	407	112	617	284	337	64	202	356	316	512	439	94	363	180	143	2307	215	193	301	601	120	150	137	356	109	191	335	127					
9	Число недействительных бюллетеней	123	2	1	1	3	2	2	2	1	1	0	2	0	3	3	0	1	2	8	2	0	4	0	1	2	11	2	3	4	0	2	7	0	0	0	0	0	1	0	5	0	0	2	6	2	3	0	3	2	1	0	0	2	0	0	24	0					
10	Число действительных бюллетеней	20150	465	191	310	222	381	592	377	93	289	232	207	163	283	243	94	230	251	971	522	431	134	492	190	744	117	544	672	141	454	132	812	284	337	119	206	364	322	556	505	114	385	203	151	2367	222	196	323	663	126	163	157	398	118	191	430	271					
