Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Некоузская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13215	934	736	373	240	196	223	1060	739	885	515	128	1112	1039	794	270	232	182	275	127	212	287	140	193	304	241	1155	623									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10400	750	600	300	200	160	180	800	550	700	400	100	850	800	600	200	200	150	200	100	200	250	110	150	250	200	900	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4585	477	355	147	111	80	66	324	213	242	137	39	443	366	294	41	67	63	50	54	42	99	10	74	57	61	452	221									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1249	17	31	78	33	42	39	81	30	82	56	18	30	71	32	62	27	34	65	12	66	21	89	26	59	42	51	55									
6	Число погашенных избирательных бюллетеней	4566	256	214	75	56	38	75	395	307	376	207	43	377	363	274	97	106	53	85	34	92	130	11	50	134	97	397	224									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1249	17	31	78	33	42	39	81	30	82	56	18	30	71	32	62	27	34	65	12	66	21	89	26	59	42	51	55									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4584	476	355	147	111	80	66	324	213	242	137	39	443	366	294	41	67	63	50	54	42	99	10	74	57	61	452	221									
9	Число недействительных избирательных бюллетеней	118	14	5	2	4	1	1	9	2	5	2	0	11	9	5	0	0	2	2	4	3	2	2	1	2	2	15	13									
10	Число действительных избирательных бюллетеней	5715	479	381	223	140	121	104	396	241	319	191	57	462	428	321	103	94	95	113	62	105	118	97	99	114	101	488	263									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	226	25	20	10	5	5	7	15	10	10	5	3	14	10	10	5	5	3	3	3	5	5	3	5	5	5	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	61	8	5	0	1	5	0	0	1	3	3	0	9	7	1	0	0	0	0	1	0	1	0	0	2	0	1	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	5	1	1	4	2	1	8	4	0	3	4	0	2	0	0	3	0	1	1	1	2	0	1	1	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	165	17	15	10	4	0	7	15	9	7	2	3	5	3	9	5	5	3	3	2	5	4	3	5	3	5	14	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	2	0	0	0	0	4	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	75	11	11	3	0	0	2	5	2	7	3	0	6	5	6	0	0	0	0	2	2	2	2	1	0	2	3	0									
		1.29%	2.23%	2.85%	1.33%	0.00%	0.00%	1.90%	1.23%	0.82%	2.16%	1.55%	0.00%	1.27%	1.14%	1.84%	0.00%	0.00%	0.00%	0.00%	3.03%	1.85%	1.67%	2.02%	1.00%	0.00%	1.94%	0.60%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	144	18	10	6	3	0	3	12	3	5	3	1	6	14	8	1	1	3	3	3	2	3	1	2	6	2	22	3									
		2.47%	3.65%	2.59%	2.67%	2.08%	0.00%	2.86%	2.96%	1.23%	1.54%	1.55%	1.75%	1.27%	3.20%	2.45%	0.97%	1.06%	3.09%	2.61%	4.55%	1.85%	2.50%	1.01%	2.00%	5.17%	1.94%	4.37%	1.09%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	164	8	17	6	12	2	5	17	7	12	7	1	6	11	9	2	1	6	1	2	2	2	4	6	4	3	7	4									
		2.81%	1.62%	4.40%	2.67%	8.33%	1.64%	4.76%	4.20%	2.88%	3.70%	3.63%	1.75%	1.27%	2.52%	2.76%	1.94%	1.06%	6.19%	0.87%	3.03%	1.85%	1.67%	4.04%	6.00%	3.45%	2.91%	1.39%	1.45%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2512	184	125	104	77	69	49	176	118	137	84	36	183	170	99	52	45	47	87	31	58	73	70	50	55	62	152	119									
