Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:    Задонская																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611					
1	"Число избирателей, внесенных в списки"	29264	2088	2287	1012	2255	1184	322	159	194	524	249	1126	805	423	402	453	432	503	325	210	411	365	458	483	894	192	829	191	303	227	260	392	126	652	217	229	109	472	583	185	219	135	691	66	493	119	349	418	409	494	882	482	206	360	1168	242					
2	"Число бюллетеней, полученных участковыми комиссиями"	28900	2027	2241	978	2211	1102	427	153	197	514	239	1136	806	420	400	450	430	483	305	203	395	343	431	462	882	188	791	187	291	230	273	402	131	662	214	227	113	470	592	198	228	142	709	69	491	122	356	415	405	472	862	465	202	362	1160	236					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13174	961	930	466	1049	496	288	57	59	207	118	458	336	184	128	165	193	256	203	125	227	165	187	208	454	64	366	130	178	100	104	202	73	305	107	80	63	211	303	101	106	57	289	36	217	49	120	165	181	210	268	239	105	255	483	87					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1470	20	18	10	31	21	34	46	81	41	25	57	24	36	55	37	28	60	28	26	32	2	7	12	25	36	44	6	0	26	46	0	2	21	16	27	0	38	7	11	22	26	19	6	55	12	45	21	30	6	55	6	26	33	23	49					
6	Число погашенных бюллетеней	14256	1046	1293	502	1131	585	105	50	57	266	96	621	446	200	217	248	209	167	74	52	136	176	237	242	403	88	381	51	113	104	123	200	56	336	91	120	50	221	282	86	100	59	401	27	219	61	191	229	194	256	539	220	71	74	654	100					
7	Число бюллетеней в переносных ящиках для голосования	1470	20	18	10	31	21	34	46	81	41	25	57	24	36	55	37	28	60	28	26	32	2	7	12	25	36	44	6	0	26	46	0	2	21	16	27	0	38	7	11	22	26	19	6	55	12	45	21	30	6	55	6	26	33	23	49					
8	Число бюллетеней в стационарных ящиках для голосования	13168	960	930	466	1047	496	288	57	59	207	118	458	336	184	128	165	193	256	203	125	227	165	187	208	454	64	366	130	178	100	104	202	73	305	107	80	63	211	303	101	106	57	289	36	217	48	120	165	181	210	268	239	105	255	481	87					
9	Число недействительных бюллетеней	384	19	22	9	11	9	9	4	10	9	3	16	4	14	7	1	5	0	1	0	11	1	7	8	23	2	14	4	8	5	3	4	1	11	0	8	3	1	21	7	4	3	6	1	7	4	1	7	1	7	9	9	8	10	12	0					
10	Число действительных бюллетеней	14254	961	926	467	1067	508	313	99	130	239	140	499	356	206	176	201	216	316	230	151	248	166	187	212	456	98	396	132	170	121	147	198	74	315	123	99	60	248	289	105	124	80	302	41	265	56	164	179	210	209	314	236	123	278	492	136					
