Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва										
Дата голосования: 07.12.2003 0:00:00										
										
Наименование Избирательной комиссии:    Кузнечненская										
										
Сводная таблица итогов голосования  по федеральному округу										
										
		Сумма	УИК №805	УИК №806	УИК №807					
1	"Число избирателей, внесенных в списки"	4122	925	1632	1565					
2	"Число бюллетеней, полученных участковыми комиссиями"	4122	925	1627	1570					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2425	455	1030	940					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	43	13	18	12					
6	Число погашенных бюллетеней	1654	457	579	618					
7	Число бюллетеней в переносных ящиках для голосования	43	13	18	12					
8	Число бюллетеней в стационарных ящиках для голосования	2425	455	1030	940					
9	Число недействительных бюллетеней	34	8	16	10					
10	Число действительных бюллетеней	2434	460	1032	942					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	32	7	13	12					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	11	1	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	12	0	11	1					
14	Число погашенных открепительных удостоверений	21	6	8	7					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0					
										
18	"1. ""ЕДИНЕНИЕ"""	35	11	18	6					
		1.41%	2.35%	1.71%	0.63%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	38	10	16	12					
		1.53%	2.13%	1.52%	1.26%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	76	10	32	34					
		3.07%	2.13%	3.05%	3.57%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	28	9	9	10					
		1.13%	1.92%	0.85%	1.05%					
22	"5. ""За Русь Святую"""	17	6	5	6					
		0.68%	1.28%	0.47%	0.63%					
23	"6. ""Объединенная Российская партия ""Русь"""	5	2	3	0					
		0.20%	0.42%	0.28%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	18	4	7	7					
		0.72%	0.85%	0.66%	0.73%					
25	"8. ""Народно-республиканская партия России"""	4	1	1	2					
		0.16%	0.21%	0.09%	0.21%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	5	2	3					
		0.40%	1.06%	0.19%	0.31%					
27	"10. ""Аграрная партия России"""	47	17	16	14					
		1.90%	3.63%	1.52%	1.47%					
28	"11. ""Истинные патриоты России"""	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	13	6	4	3					
		0.52%	1.28%	0.38%	0.31%					
30	"13. ""Демократическая партия России"""	4	1	0	3					
		0.16%	0.21%	0.0%	0.31%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	1	3	3					
		0.28%	0.21%	0.28%	0.31%					
32	"15. ""Партия СЛОН"""	4	0	2	2					
		0.16%	0.0%	0.19%	0.21%					
33	"16. ""Родина"" (народно-патриотический союз)"""	170	33	64	73					
		6.88%	7.05%	6.10%	7.66%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	0	2	6					
		0.32%	0.0%	0.19%	0.63%					
35	"18. ""ЛДПР"""	385	65	161	159					
		15.59%	13.88%	15.36%	16.70%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	463	50	237	176					
		18.76%	10.68%	22.61%	18.48%					
37	"20. ""Политическая партия ""Единая Россия"""	743	180	308	255					
		30.10%	38.46%	29.38%	26.78%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	1	2	2					
		0.20%	0.21%	0.19%	0.21%					
39	"22. ""Развитие предпринимательства"""	16	3	5	8					
		0.64%	0.64%	0.47%	0.84%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	171	22	63	86					
		6.92%	4.70%	6.01%	9.03%					
										
41	Против всех	167	23	72	72					
		6.76%	4.91%	6.87%	7.56%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
