Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Гремячинская городская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК  801	УИК  802	УИК  803	УИК  804	УИК  805	УИК  806	УИК  807	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815					
1	"Число избирателей, внесенных в список"	13776	2081	493	2201	1833	1014	716	587	361	255	430	639	1719	1251	112	84					
2	Число полученных избирательных бюллетеней	14110	2100	550	2200	1900	1000	700	650	380	250	480	650	1750	1300	100	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8634	1302	289	1418	1109	629	420	461	208	165	259	453	1031	743	88	59					
5	"Число избирательных бюллетеней, выданных вне помещения"	651	62	21	87	58	76	70	35	34	17	19	55	64	29	0	24					
6	Число погашенных избирательных бюллетеней	4825	736	240	695	733	295	210	154	138	68	202	142	655	528	12	17					
7	Число избирательных бюллетеней в переносных ящиках	651	62	21	87	58	76	70	35	34	17	19	55	64	29	0	24					
8	Число бюллетеней в стационарных ящиках для голосования	8634	1302	289	1418	1109	629	420	461	208	165	259	453	1031	743	88	59					
9	Число недействительных избирательных бюллетеней	83	21	3	11	7	2	5	3	0	2	2	6	15	6	0	0					
10	Число действительных избирательных бюллетеней	9202	1343	307	1494	1160	703	485	493	242	180	276	502	1080	766	88	83					
11	Число полученных открепительных  удостоверений	460	70	20	90	60	30	20	30	10	10	20	25	40	30	5	0					
12	Число выданных открепительных удостоверений	298	42	13	63	53	20	12	22	7	3	6	22	20	15	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	145	14	1	7	5	6	2	0	3	3	2	11	6	6	3	76					
14	Число неиспользованных открепительных удостоверений	162	28	7	27	7	10	8	8	3	7	14	3	20	15	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	12	1	0	1	3	3	0	0	0	0	4	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	289	53	11	43	42	31	8	7	2	3	3	9	40	28	1	8					
		3.11%	3.89%	3.55%	2.86%	3.60%	4.40%	1.63%	1.41%	0.83%	1.65%	1.08%	1.77%	3.65%	3.63%	1.14%	9.64%					
19	. Малышкин Олег Александрович	260	31	4	40	30	19	12	9	5	4	12	33	36	22	0	3					
		2.80%	2.27%	1.29%	2.66%	2.57%	2.70%	2.45%	1.81%	2.07%	2.20%	4.32%	6.50%	3.29%	2.85%	0.00%	3.61%					
20	. Миронов Сергей Михайлович	64	11	1	8	11	2	7	3	3	0	0	4	10	3	1	0					
		0.69%	0.81%	0.32%	0.53%	0.94%	0.28%	1.43%	0.60%	1.24%	0.00%	0.00%	0.79%	0.91%	0.39%	1.14%	0.00%					
21	. Путин Владимир Владимирович	6898	1027	250	1115	859	541	393	357	181	139	227	396	745	544	73	51					
		74.29%	75.29%	80.65%	74.09%	73.61%	76.74%	80.20%	71.98%	74.79%	76.37%	81.65%	77.95%	68.04%	70.47%	82.95%	61.45%					
22	. Хакамада Ирина Муцуовна	209	38	8	37	29	16	8	14	5	4	1	8	28	12	0	1					
		2.25%	2.79%	2.58%	2.46%	2.49%	2.27%	1.63%	2.82%	2.07%	2.20%	0.36%	1.57%	2.56%	1.55%	0.00%	1.20%					
23	. Харитонов Николай Михайлович	1256	143	28	201	153	75	46	92	43	28	29	52	199	141	12	14					
		13.53%	10.48%	9.03%	13.36%	13.11%	10.64%	9.39%	18.55%	17.77%	15.38%	10.43%	10.24%	18.17%	18.26%	13.64%	16.87%					
																						
24	Против всех	226	40	5	50	36	19	11	11	3	2	4	0	22	16	1	6					
		2.43%	2.93%	1.61%	3.32%	3.08%	2.70%	2.24%	2.22%	1.24%	1.10%	1.44%	0.00%	2.01%	2.07%	1.14%	7.23%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
