Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Муйская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9481	971	1855	470	1235	1097	1384	241	564	1015	511	138									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8490	900	1550	400	1050	1050	1300	200	550	900	450	140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	217	0	217	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2581	271	613	115	310	271	269	69	98	331	182	52									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	52	1	3	3	6	3	2	0	2	2	20	10									
6	Число погашенных избирательных бюллетеней	5640	628	717	282	734	776	1029	131	450	567	248	78									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	269	1	220	3	6	3	2	0	2	2	20	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2581	271	613	115	310	271	269	69	98	331	182	52									
9	Число недействительных избирательных бюллетеней	56	5	22	4	5	2	4	1	3	5	3	2									
10	Число действительных избирательных бюллетеней	2794	267	811	114	311	272	267	68	97	328	199	60									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	244	14	35	20	20	20	35	20	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	20	1	5	0	3	2	0	0	1	7	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	3	9	0	1	0	3	5	3	21	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	224	13	30	20	17	18	35	20	19	13	19	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	1	0	1	2	0	0	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	26	3	6	0	3	5	0	0	2	7	0	0									
		0.91%	1.10%	0.72%	0.00%	0.95%	1.82%	0.00%	0.00%	2.00%	2.10%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	83	2	23	4	8	10	10	0	3	11	11	1									
		2.91%	0.74%	2.76%	3.39%	2.53%	3.65%	3.69%	0.00%	3.00%	3.30%	5.45%	1.61%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	70	3	18	4	7	6	7	3	4	13	4	1									
		2.46%	1.10%	2.16%	3.39%	2.22%	2.19%	2.58%	4.35%	4.00%	3.90%	1.98%	1.61%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1087	93	322	51	108	113	94	29	30	122	101	24									
		38.14%	34.19%	38.66%	43.22%	34.18%	41.24%	34.69%	42.03%	30.00%	36.64%	50.00%	38.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	1	10	0	0	1	2	0	0	1	0	0									
		0.53%	0.37%	1.20%	0.00%	0.00%	0.36%	0.74%	0.00%	0.00%	0.30%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	1	0	0	2	0	0	0	0	0	0									
		0.11%	0.00%	0.12%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	773	80	222	31	101	49	83	11	36	89	49	22									
		27.12%	29.41%	26.65%	26.27%	31.96%	17.88%	30.63%	15.94%	36.00%	26.73%	24.26%	35.48%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	0	8	0	1	0	0	0	1	2	0	0									
		0.42%	0.00%	0.96%	0.00%	0.32%	0.00%	0.00%	0.00%	1.00%	0.60%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	43	7	11	0	0	4	8	7	2	4	0	0									
		1.51%	2.57%	1.32%	0.00%	0.00%	1.46%	2.95%	10.14%	2.00%	1.20%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	1	1	1	3	0	0	0	0	0	0	0									
		0.21%	0.37%	0.12%	0.85%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	4	8	1	1	1	0	1	3	2	1	0									
		0.77%	1.47%	0.96%	0.85%	0.32%	0.36%	0.00%	1.45%	3.00%	0.60%	0.50%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	532	63	122	19	69	75	53	15	14	66	27	9									
		18.67%	23.16%	14.65%	16.10%	21.84%	27.37%	19.56%	21.74%	14.00%	19.82%	13.37%	14.52%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	2	5	0	1	1	1	0	1	1	0	0									
		0.42%	0.74%	0.60%	0.00%	0.32%	0.36%	0.37%	0.00%	1.00%	0.30%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	110	8	54	3	9	5	9	2	1	10	6	3									
		3.86%	2.94%	6.48%	2.54%	2.85%	1.82%	3.32%	2.90%	1.00%	3.00%	2.97%	4.84%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
