Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Кумылженская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15393	1495	1342	587	446	1595	1042	431	187	268	132	661	451	312	852	573	404	416	939	311	847	87	615	283	534	583									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15300	1500	1300	580	450	1600	1000	420	190	270	130	660	450	320	880	570	400	400	950	300	850	80	600	280	540	580									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5609	526	509	268	119	538	320	129	84	111	44	330	125	154	348	163	133	132	357	113	280	32	245	109	146	294									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2302	48	98	15	92	67	111	32	24	44	37	86	115	80	118	193	133	137	156	60	210	17	152	86	135	56									
6	Число погашенных избирательных бюллетеней	7389	926	693	297	239	995	569	259	82	115	49	244	210	86	414	214	134	131	437	127	360	31	203	85	259	230									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2302	48	98	15	92	67	111	32	24	44	37	86	115	80	118	193	133	137	156	60	210	17	152	86	135	56									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5609	526	509	268	119	538	320	129	84	111	44	330	125	154	348	163	133	132	357	113	280	32	245	109	146	294									
9	Число недействительных избирательных бюллетеней	119	20	24	5	5	8	4	0	1	3	0	2	2	0	6	8	0	1	9	3	1	3	12	1	0	1									
10	Число действительных избирательных бюллетеней	7792	554	583	278	206	597	427	161	107	152	81	414	238	234	460	348	266	268	504	170	489	46	385	194	281	349									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	224	15	18	8	5	18	18	10	5	5	5	10	5	5	10	9	8	8	11	5	8	5	8	5	12	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	89	6	7	2	0	8	3	1	5	1	0	2	0	5	0	3	3	5	11	5	2	0	3	4	12	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	36	2	0	3	1	0	2	0	1	1	1	0	0	0	2	2	4	1	4	0	2	1	3	1	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	135	9	11	6	5	10	15	9	0	4	5	8	5	0	10	6	5	3	0	0	6	5	5	1	0	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	2	1	1	0	4	3	3	0	0	0	0	0	2	0	0	1	1	3	0	1	0	1	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	85	13	4	4	1	17	6	5	1	4	2	1	0	1	2	4	1	1	2	1	4	1	5	3	1	1									
		1.07%	2.26%	0.66%	1.41%	0.47%	2.81%	1.39%	3.11%	0.93%	2.58%	2.47%	0.24%	0.00%	0.43%	0.43%	1.12%	0.38%	0.37%	0.39%	0.58%	0.82%	2.04%	1.26%	1.54%	0.36%	0.29%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	239	21	30	12	6	23	19	7	4	5	2	14	7	7	13	3	3	6	17	4	10	1	4	3	10	8									
		3.02%	3.66%	4.94%	4.24%	2.84%	3.80%	4.41%	4.35%	3.70%	3.23%	2.47%	3.37%	2.92%	2.99%	2.79%	0.84%	1.13%	2.23%	3.31%	2.31%	2.04%	2.04%	1.01%	1.54%	3.56%	2.29%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	140	5	6	8	6	16	12	3	1	0	2	5	5	3	19	6	7	1	13	1	4	0	3	3	6	5									
		1.77%	0.87%	0.99%	2.83%	2.84%	2.64%	2.78%	1.86%	0.93%	0.00%	2.47%	1.20%	2.08%	1.28%	4.08%	1.69%	2.63%	0.37%	2.53%	0.58%	0.82%	0.00%	0.76%	1.54%	2.14%	1.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4379	248	253	126	96	273	188	72	64	83	42	230	129	114	276	250	189	176	270	102	369	16	303	148	148	214									
		55.35%	43.21%	41.68%	44.52%	45.50%	45.12%	43.62%	44.72%	59.26%	53.55%	51.85%	55.29%	53.75%	48.72%	59.23%	70.22%	71.05%	65.43%	52.63%	58.96%	75.31%	32.65%	76.32%	75.90%	52.67%	61.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	39	4	6	1	0	0	6	2	1	1	0	4	0	1	2	1	0	3	2	0	1	0	0	1	1	2									
		0.49%	0.70%	0.99%	0.35%	0.00%	0.00%	1.39%	1.24%	0.93%	0.65%	0.00%	0.96%	0.00%	0.43%	0.43%	0.28%	0.00%	1.12%	0.39%	0.00%	0.20%	0.00%	0.00%	0.51%	0.36%	0.57%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	1	0	1	1	1	3	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1									
		0.14%	0.17%	0.00%	0.35%	0.47%	0.17%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.28%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1313	106	125	58	64	116	70	30	14	27	13	63	47	30	81	37	35	32	59	39	62	18	33	18	70	66									
		16.60%	18.47%	20.59%	20.49%	30.33%	19.17%	16.24%	18.63%	12.96%	17.42%	16.05%	15.14%	19.58%	12.82%	17.38%	10.39%	13.16%	11.90%	11.50%	22.54%	12.65%	36.73%	8.31%	9.23%	24.91%	18.86%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	2	1	0	0	3	1	1	0	0	0	0	1	1	1	0	0	0	3	0	0	0	0	0	0	0									
		0.18%	0.35%	0.16%	0.00%	0.00%	0.50%	0.23%	0.62%	0.00%	0.00%	0.00%	0.00%	0.42%	0.43%	0.21%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	26	4	3	2	0	3	4	0	1	0	0	0	2	0	0	1	1	1	2	2	0	0	0	0	0	0									
		0.33%	0.70%	0.49%	0.71%	0.00%	0.50%	0.93%	0.00%	0.93%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.28%	0.38%	0.37%	0.39%	1.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0									
		0.06%	0.17%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	31	5	2	2	2	2	1	1	0	0	0	0	1	0	2	0	3	1	4	0	0	1	0	0	2	2									
		0.39%	0.87%	0.33%	0.71%	0.95%	0.33%	0.23%	0.62%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.43%	0.00%	1.13%	0.37%	0.78%	0.00%	0.00%	2.04%	0.00%	0.00%	0.71%	0.57%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1220	124	123	48	26	120	95	24	19	31	18	78	32	69	47	35	20	38	111	16	34	6	30	10	35	31									
		15.42%	21.60%	20.26%	16.96%	12.32%	19.83%	22.04%	14.91%	17.59%	20.00%	22.22%	18.75%	13.33%	29.49%	10.09%	9.83%	7.52%	14.13%	21.64%	9.25%	6.94%	12.24%	7.56%	5.13%	12.46%	8.86%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	85	3	14	7	1	3	11	1	0	0	2	1	6	5	3	5	1	3	2	2	0	1	2	3	3	6									
		1.07%	0.52%	2.31%	2.47%	0.47%	0.50%	2.55%	0.62%	0.00%	0.00%	2.47%	0.24%	2.50%	2.14%	0.64%	1.40%	0.38%	1.12%	0.39%	1.16%	0.00%	2.04%	0.50%	1.54%	1.07%	1.71%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	205	17	16	9	3	18	11	15	2	1	0	18	8	2	13	5	6	6	18	3	5	2	4	5	5	13									
		2.59%	2.96%	2.64%	3.18%	1.42%	2.98%	2.55%	9.32%	1.85%	0.65%	0.00%	4.33%	3.33%	0.85%	2.79%	1.40%	2.26%	2.23%	3.51%	1.73%	1.02%	4.08%	1.01%	2.56%	1.78%	3.71%									
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
