Выборы Президента Российской Федерации																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Адмиралтейская №1																																																																																					
																																																																																					
Итоги голосования 																																																																																					
																																																																																					
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78					
1	"Число избирателей, внесенных в список"	140235	1982	1968	2171	1754	2281	2049	2002	2162	2479	1996	2075	2358	2438	2097	1569	1804	1453	2268	2339	2307	2321	1798	2084	1912	1831	2374	2303	2290	1905	2349	1888	2214	1829	2395	2131	1596	1814	2071	1675	1786	1305	2143	2195	2035	2047	2113	1634	2292	1904	1336	1774	1768	1762	1791	1900	1185	2748	1953	956	2833	1813	1720	2115	1757	2162	1644	1678	2342	1767	2005	200	144	106	249	197	113	225	206					
2	Число полученных избирательных бюллетеней	128950	1800	1800	2000	1600	2100	1900	1900	2000	2300	1900	1900	2200	2200	1900	1500	1500	1300	2000	2200	2100	2200	1600	1900	1800	1700	2200	2100	2100	1800	2100	1700	2000	1700	2200	1800	1400	1700	1900	1500	1600	1200	2000	2000	1800	1800	2000	1700	1800	1700	1300	1700	1600	1500	1700	1700	1100	2500	1800	800	2700	1700	1600	1900	1700	2000	1500	1600	2100	1600	1800	250	200	150	500	200	150	250	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	74558	1099	1108	1099	969	1153	1059	1085	1111	1230	1126	1030	1176	1255	1095	847	911	803	1232	1208	1174	1162	948	1027	1006	1007	1113	1268	1132	934	1753	936	1223	1001	1516	1437	906	914	1047	870	922	706	1120	1097	1147	1001	1083	1036	1359	989	709	984	850	939	912	971	584	1419	1047	478	1689	924	854	1010	911	1041	819	851	1012	795	895	200	144	106	249	191	113	225	206					
5	"Число избирательных бюллетеней, выданных вне помещения"	1859	31	46	40	16	27	26	31	35	35	26	17	35	28	37	11	22	28	23	23	24	35	19	41	31	28	46	30	34	33	15	30	25	20	18	11	22	17	23	28	22	30	29	34	22	69	38	18	34	17	10	53	32	19	25	40	16	35	32	17	25	7	9	23	14	23	11	9	18	32	29	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	52533	670	646	861	615	920	815	784	854	1035	748	853	989	917	768	642	567	469	745	969	902	1003	633	832	763	665	1041	802	934	833	332	734	752	679	666	352	472	769	830	602	656	464	851	869	631	730	879	646	407	694	581	663	718	542	763	689	500	1046	721	305	986	769	737	867	775	936	670	740	1070	773	876	50	56	44	251	9	37	25	44					
7	Число избирательных бюллетеней в переносных ящиках	1859	31	46	40	16	27	26	31	35	35	26	17	35	28	37	11	22	28	23	23	24	35	19	41	31	28	46	30	34	33	15	30	25	20	18	11	22	17	23	28	22	30	29	34	22	69	38	18	34	17	10	53	32	19	25	40	16	35	32	17	25	7	9	23	14	23	11	9	18	32	29	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	74374	1097	1105	1097	968	1151	1053	1085	1111	1226	1123	1030	1175	1255	1095	818	908	802	1225	1206	1174	1162	942	1023	1002	1002	1113	1262	1132	927	1753	936	1218	1001	1514	1437	903	911	1046	870	922	704	1117	1095	1145	1000	1080	1036	1350	986	708	982	848	938	887	971	584	1417	1044	478	1681	924	854	1010	911	1041	818	851	1012	795	894	200	144	106	248	191	113	225	206					
9	Число недействительных избирательных бюллетеней	362	8	9	5	5	8	9	0	8	11	2	3	7	7	4	0	5	5	11	4	6	10	2	4	3	7	9	11	9	3	13	9	12	3	10	7	3	2	2	7	5	3	5	3	7	3	4	6	6	7	2	7	2	2	1	2	5	6	4	0	5	1	3	5	5	0	2	3	0	4	3	1	0	3	2	2	0	0	0					
10	Число действительных избирательных бюллетеней	75871	1120	1142	1132	979	1170	1070	1116	1138	1250	1147	1044	1203	1276	1128	829	925	825	1237	1225	1192	1187	959	1060	1030	1023	1150	1281	1157	957	1755	957	1231	1018	1522	1441	922	926	1067	891	939	731	1141	1126	1160	1066	1114	1048	1378	996	716	1028	878	955	911	1009	595	1446	1072	495	1701	930	860	1028	920	1064	827	857	1030	823	920	199	144	103	246	189	113	225	206					
11	Число полученных открепительных  удостоверений	3700	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	250	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1330	15	26	16	7	30	21	19	13	19	16	14	15	20	16	12	9	7	20	16	13	4	13	18	12	18	23	23	24	9	11	15	13	21	43	19	17	20	15	16	25	20	13	19	11	24	19	16	15	15	13	14	8	19	20	11	15	18	10	12	177	33	13	17	19	21	9	15	23	16	12	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1929	17	22	26	61	48	14	15	19	26	8	14	19	17	9	16	51	27	78	23	85	20	19	14	22	18	17	30	24	9	70	75	25	38	37	34	31	18	22	12	17	8	26	16	31	44	11	35	50	22	18	26	25	12	16	84	6	27	27	23	25	22	15	20	7	12	16	25	11	8	42	15	20	4	3	10	6	9	5					
14	Число неиспользованных открепительных удостоверений	2370	35	24	34	43	20	29	31	37	31	34	36	35	30	34	38	41	43	30	34	37	46	37	32	38	32	27	27	26	41	39	35	37	29	7	31	33	30	35	34	25	30	37	31	39	26	31	34	35	35	37	36	42	31	30	39	35	32	40	38	73	17	37	33	31	29	41	35	27	34	38	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	139	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	117	1	0	0	0	1	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
