Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Ломоносовская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №961									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56952	1392	1322	1478	2108	956	318	295	2847	644	2541	2375	1706	2314	1933	1702	2316	1597	1619	1687	1939	820	1317	857	826	1323	1111	1061	544	562	974	724	1623	1171	1209	1127	1026	1480	1217	2028	2031	832									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50200	1000	1000	1100	2000	900	300	250	2500	600	2000	2000	1500	2000	1500	1500	2000	1200	1500	1500	1500	750	1000	800	800	1500	1200	1000	500	500	900	700	1500	1000	1000	1000	900	1100	1000	2000	2000	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24527	619	430	547	1386	345	157	108	1416	256	1223	1316	1019	1289	777	606	987	486	512	610	866	300	645	267	210	474	377	333	148	241	258	335	689	403	430	452	376	562	887	667	686	832									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1787	7	15	10	35	10	4	33	304	145	227	19	5	13	1	7	6	1	30	30	85	50	75	55	79	53	19	67	70	19	6	58	63	21	21	27	71	19	4	16	7	0									
6	Число погашенных избирательных бюллетеней	23886	374	555	543	579	545	139	109	780	199	550	665	476	698	722	887	1007	713	958	860	549	400	280	478	511	973	804	600	282	240	636	307	748	576	549	521	453	519	109	1317	1307	368									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1787	7	15	10	35	10	4	33	304	145	227	19	5	13	1	7	6	1	30	30	85	50	75	55	79	53	19	67	70	19	6	58	63	21	21	27	71	19	4	16	7	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24503	619	429	540	1386	341	157	108	1413	255	1223	1316	1019	1289	777	604	987	483	511	610	866	300	645	267	210	474	377	333	148	240	258	335	689	403	430	452	376	561	887	667	686	832									
9	Число недействительных избирательных бюллетеней	538	8	14	8	38	10	4	4	25	5	11	18	8	26	33	19	25	23	16	19	0	0	4	9	10	26	3	4	5	8	9	7	23	9	15	4	4	20	10	17	21	16									
10	Число действительных избирательных бюллетеней	25752	618	430	542	1383	341	157	137	1692	395	1439	1317	1016	1276	745	592	968	461	525	621	951	350	716	313	279	501	393	396	213	251	255	386	729	415	436	475	443	560	881	666	672	816									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	765	20	20	20	25	15	15	10	25	20	25	25	20	25	20	20	25	20	20	20	20	15	20	15	15	20	20	20	15	15	15	15	20	20	20	15	15	20	20	20	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	314	11	8	4	16	1	10	4	5	3	11	12	15	24	8	6	8	6	6	10	8	2	13	3	1	20	20	7	3	1	5	2	4	5	12	0	4	5	9	7	15	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	470	41	19	9	15	4	3	6	11	7	13	14	2	43	29	1	12	3	3	10	21	7	0	8	5	3	9	9	6	3	6	9	20	2	7	41	29	21	4	8	7	0									
14	Число погашенных неиспользованных открепительных удостоверений	451	9	12	16	9	14	5	6	20	17	14	13	5	1	12	14	17	14	14	10	12	13	7	12	14	0	0	13	12	14	10	13	16	15	8	15	11	15	11	13	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	1	0	0	10	0	0	0	0	1	2	0	29	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
