Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Лысковская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК  1227	УИК  1228	УИК  1229	УИК  1230	УИК  1231	УИК  1232	УИК  1233	УИК  1234	УИК  1235	УИК  1236	УИК  1237	УИК  1238	УИК  1239	УИК  1240	УИК  1241	УИК  1242	УИК  1243	УИК  1244	УИК  1245	УИК  1246	УИК  1247	УИК  1248	УИК  1249	УИК  1250	УИК  1251	УИК  1252	УИК  1253	УИК  1254	УИК  1255	УИК  1256	УИК  1257	УИК  1258	УИК  1259	УИК  1260	УИК  1261	УИК  1262	УИК  1263	УИК  1264	УИК  1265	УИК  1266	УИК  1267	УИК  1268	УИК  1269	УИК  1270	УИК  1271	УИК  1272	УИК  1273					
1	"Число избирателей, внесенных в список"	34137	931	750	891	1687	2022	1053	1919	2131	1988	1009	1288	903	1062	638	626	805	286	784	252	222	122	260	1153	329	478	405	148	602	879	394	565	205	359	547	830	277	310	628	196	1307	374	177	192	605	175	90	1283					
2	Число полученных избирательных бюллетеней	32055	850	700	850	1650	1900	1050	1800	2000	1750	850	1100	850	1000	600	500	750	250	750	250	220	110	230	1100	350	450	380	150	600	900	380	550	300	320	500	800	240	250	600	200	1300	350	160	180	550	150	85	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18695	546	378	509	948	1159	581	1008	1133	982	513	634	437	555	308	338	370	185	339	161	165	100	195	618	215	318	263	119	275	449	251	338	129	205	228	483	177	189	368	95	731	248	125	124	282	76	41	804					
5	"Число избирательных бюллетеней, выданных вне помещения"	2208	24	29	17	40	53	22	25	19	35	135	44	23	18	25	10	41	8	131	57	18	6	31	54	18	48	44	17	176	91	30	65	37	55	120	100	47	47	21	56	31	26	9	5	71	44	43	142					
6	Число погашенных избирательных бюллетеней	11152	280	293	324	662	688	447	767	848	733	202	422	390	427	267	152	339	57	280	32	37	4	4	428	117	84	73	14	149	360	99	147	134	60	152	217	16	14	211	49	538	76	26	51	197	30	1	254					
7	Число избирательных бюллетеней в переносных ящиках	2208	24	29	17	40	53	22	25	19	35	135	44	23	18	25	10	41	8	131	57	18	6	31	54	18	48	44	17	176	91	30	65	37	55	120	100	47	47	21	56	31	26	9	5	71	44	43	142					
8	Число бюллетеней в стационарных ящиках для голосования	18694	546	378	509	948	1159	581	1008	1133	982	513	633	437	555	308	338	370	185	339	161	165	100	195	618	215	318	263	119	275	449	251	338	129	205	228	483	177	189	368	95	731	248	125	124	282	76	41	804					
9	Число недействительных избирательных бюллетеней	161	3	1	4	6	5	5	4	7	11	7	3	5	5	6	6	3	4	1	0	1	3	2	11	1	4	0	1	5	5	5	4	1	2	1	4	0	1	4	0	3	0	0	6	0	0	0	11					
10	Число действительных избирательных бюллетеней	20741	567	406	522	982	1207	598	1029	1145	1006	641	674	455	568	327	342	408	189	469	218	182	103	224	661	232	362	307	135	446	535	276	399	165	258	347	579	224	235	385	151	759	274	134	123	353	120	84	935					
11	Число полученных открепительных  удостоверений	470	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	94	8	4	2	5	3	2	7	4	6	6	2	3	5	4	2	0	0	0	5	2	0	0	0	0	1	1	1	0	1	0	2	3	0	4	1	0	0	2	0	2	0	1	0	1	0	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	116	0	1	3	7	2	2	7	3	0	3	6	3	4	0	1	0	1	4	2	4	3	4	3	4	1	5	3	1	8	1	6	2	2	3	4	0	3	2	0	1	1	2	1	1	1	0	1					
14	Число неиспользованных открепительных удостоверений	376	2	6	8	5	7	8	3	6	4	4	8	7	5	6	8	10	10	10	5	8	10	10	10	10	9	9	9	10	9	10	8	7	10	6	9	10	10	8	10	8	10	9	10	9	10	10	6					
