Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Братская 																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44215	260	2218	917	357	66	497	146	1674	218	183	490	340	2428	238	372	878	1197	176	599	640	474	466	628	544	1028	324	379	1399	803	413	878	796	1381	1479	1331	1427	1458	977	818	1181	988	781	908	1025	1203	825	1477	986	645	283	373	213	363	375	1293	399									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43610	250	2200	900	350	70	500	150	1700	200	150	500	300	2400	240	350	850	1200	150	600	650	500	500	700	550	1000	300	400	1400	800	400	900	850	1400	1400	1300	1400	1400	900	800	1100	1000	750	900	1000	1200	800	1400	950	650	250	350	200	350	350	1300	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13562	128	845	284	112	44	197	70	578	52	65	154	112	644	74	143	281	172	32	333	98	275	176	150	225	302	96	172	451	220	130	335	252	378	321	388	331	334	255	250	417	241	280	273	331	269	259	514	189	174	97	129	76	195	108	410	141									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	881	15	36	42	35	8	20	8	38	6	9	9	23	27	8	4	22	6	4	17	6	18	9	17	26	31	13	24	22	15	31	12	39	51	6	12	8	8	8	4	4	5	2	3	8	3	6	6	9	30	7	13	3	13	13	38	21									
6	Число погашенных избирательных бюллетеней	29167	107	1319	574	203	18	283	72	1084	142	76	337	165	1729	158	203	547	1022	114	250	546	207	315	533	299	667	191	204	927	565	239	553	559	971	1073	900	1061	1058	637	546	679	754	468	624	661	928	535	880	752	446	146	208	121	142	229	852	288									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	881	15	36	42	35	8	20	8	38	6	9	9	23	27	8	4	22	6	4	17	6	18	9	17	26	31	13	24	22	15	31	12	39	51	6	12	8	8	8	4	4	5	2	3	8	3	6	6	9	30	7	13	3	13	13	38	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13552	128	845	284	112	44	197	70	577	52	65	154	112	644	74	143	281	172	32	333	98	275	167	150	225	302	96	172	451	220	130	335	252	378	321	388	331	334	255	250	417	241	280	273	331	269	259	514	189	174	97	129	76	195	108	410	141									
9	Число недействительных избирательных бюллетеней	363	7	32	6	3	0	2	0	11	1	1	6	3	18	4	2	9	5	2	9	5	7	3	5	0	6	1	3	9	9	4	11	2	5	8	8	12	9	9	5	9	8	6	4	11	8	10	21	4	9	1	0	3	6	3	16	2									
10	Число действительных избирательных бюллетеней	14070	136	849	320	144	52	215	78	604	57	73	157	132	653	78	145	294	173	34	341	99	286	173	162	251	327	108	193	464	226	157	336	289	424	319	392	327	333	254	249	412	238	276	272	328	264	255	499	194	195	103	142	76	202	118	432	160									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1190	10	50	25	15	5	50	20	20	5	10	10	10	20	10	10	20	40	10	20	20	30	50	65	40	15	20	20	40	30	10	20	55	35	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	25	50	10	10	10	35	70									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	870	0	7	10	15	5	50	20	15	5	10	9	10	20	10	10	11	40	10	20	0	30	50	65	28	9	6	20	40	30	10	20	55	35	2	1	1	3	0	2	3	2	1	1	1	1	2	2	2	20	15	11	0	10	10	35	70									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	84	0	1	3	1	0	2	2	10	1	1	0	2	1	2	1	1	0	0	0	0	1	0	2	0	0	0	0	4	3	0	3	5	2	0	0	1	1	0	1	0	0	3	1	1	1	4	0	1	3	1	5	3	0	5	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	320	10	43	15	0	0	0	0	5	0	0	1	0	0	0	0	9	0	0	0	20	0	0	0	12	6	14	0	0	0	0	0	0	0	8	9	9	7	10	8	7	8	9	9	9	9	8	8	8	0	10	39	10	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0									
