Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Сосновская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2245	УИК №2303	УИК №2399									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	53775	163	788	189	242	536	297	776	931	1124	2719	2356	2815	1024	461	2107	2369	127	116	2509	700	431	804	606	390	599	207	164	1698	379	2525	2391	558	805	1792	478	355	261	260	1080	1571	1059	377	1487	1375	698	429	1682	2330	666	613	263	362	170	998	1563									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36539	110	550	160	200	400	200	550	600	750	1800	1600	1800	700	300	1500	1500	100	100	1700	500	300	500	400	250	400	149	150	1200	250	1600	1600	400	550	1250	350	250	210	200	750	1050	710	250	1000	1000	500	300	1150	1550	450	450	200	250	150	650	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24232	27	358	84	139	318	139	390	356	444	1013	897	1169	282	177	982	1196	87	82	1143	283	216	348	328	235	194	104	73	679	146	1295	1268	236	231	762	256	188	135	97	546	900	620	133	575	497	283	246	1068	1518	391	126	79	142	106	268	377									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1873	2	36	0	9	30	24	34	36	22	39	27	120	89	5	79	103	10	10	61	12	28	63	50	12	33	6	22	114	24	16	13	16	12	44	8	7	19	11	37	44	43	63	40	147	57	6	70	22	31	24	13	2	5	2	21									
6	Число погашенных избирательных бюллетеней	10428	81	156	76	52	52	37	126	208	283	748	676	511	329	118	439	201	3	8	496	205	56	89	22	3	173	39	55	407	80	289	319	143	307	444	86	55	56	92	167	106	47	54	385	356	160	48	12	10	28	300	108	106	39	380	602									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1873	2	36	0	9	30	24	34	36	22	39	27	120	89	5	79	103	10	10	61	12	28	63	50	12	33	6	22	114	24	16	13	16	12	44	8	7	19	11	37	44	43	63	40	147	57	6	70	22	31	24	13	2	5	2	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24231	27	358	84	139	318	139	390	356	445	1013	897	1169	282	177	982	1193	87	82	1143	283	216	348	328	235	194	104	73	679	146	1291	1268	241	231	762	256	188	135	97	546	900	620	133	575	497	283	246	1068	1518	391	126	79	142	106	268	377									
9	Число недействительных избирательных бюллетеней	586	0	5	1	15	16	4	15	13	16	17	32	28	6	1	23	15	0	0	25	5	6	3	9	3	13	2	2	14	7	43	52	9	3	20	7	4	6	2	20	17	11	6	20	26	10	3	0	7	12	2	1	0	0	5	4									
10	Число действительных избирательных бюллетеней	25518	29	389	83	133	332	159	409	379	451	1035	892	1261	365	181	1038	1281	97	92	1179	290	238	408	369	244	214	108	93	779	163	1264	1229	248	240	786	257	191	148	106	563	927	652	190	595	618	330	249	1138	1533	410	148	91	144	111	265	394									
