Выборы Президента Российской Федерации																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Шебекинская																																																																																	
																																																																																	
Итоги голосования 																																																																																	
																																																																																	
		Сумма	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  1083	УИК  1084	УИК  1085	УИК  1086	УИК  1087	УИК  1088	УИК  1089	УИК  1090	УИК  1091	УИК  1092	УИК  1093	УИК  1094	УИК  1095	УИК  1096	УИК  1097	УИК  1098	УИК  1099	УИК  1100	УИК  1101	УИК  1102	УИК  1103	УИК  1104	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116	УИК  1117	УИК  1118	УИК  1119	УИК  1120	УИК  1121	УИК  1122	УИК  1123	УИК  1124	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149	УИК  1150					
1	"Число избирателей, внесенных в список"	70854	942	2740	1991	1362	1897	1988	1523	2518	1816	2215	2325	1746	2639	1183	906	1547	1340	686	735	1238	2011	269	256	273	379	151	1242	285	223	530	361	474	208	586	350	1650	578	552	1017	531	814	1035	574	522	159	658	397	588	1075	391	731	400	2081	2643	187	360	562	991	217	234	307	122	565	1855	1522	641	942	1145	628	782	562	789	527	585					
2	Число полученных избирательных бюллетеней	69005	900	2690	1900	1300	1900	1900	1400	2500	1800	2200	2200	1600	2600	1100	880	1500	1300	650	700	1200	1900	270	330	270	370	140	1200	280	200	530	380	460	230	560	340	1700	570	550	1000	550	800	1000	550	500	150	650	400	580	1000	400	720	380	2000	2600	200	380	550	990	200	230	300	125	560	1800	1500	600	900	1100	600	780	550	750	530	580					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44762	610	1877	1350	892	1274	1289	1080	1641	1207	1472	1603	1219	1778	676	603	977	777	455	450	665	1232	132	146	122	291	87	827	176	138	211	172	345	145	308	133	1165	408	308	565	336	489	683	412	306	98	326	225	281	694	205	427	303	1171	1679	127	228	393	553	166	163	220	71	384	1104	992	400	561	653	315	452	315	550	348	326					
5	"Число избирательных бюллетеней, выданных вне помещения"	7411	125	178	134	64	75	98	69	60	24	32	40	23	41	139	5	125	84	47	78	139	76	137	110	127	73	49	168	80	39	239	149	64	63	167	131	197	96	177	196	89	103	73	37	92	34	164	84	162	130	111	173	36	80	54	32	48	90	126	15	35	53	36	55	223	102	63	134	125	185	250	172	80	92	155					
6	Число погашенных избирательных бюллетеней	16832	165	635	416	344	551	513	251	799	569	696	557	358	781	285	272	398	439	148	172	396	592	1	74	21	6	4	205	24	23	80	59	51	22	85	76	338	66	65	239	125	208	244	101	102	18	160	91	137	176	84	120	41	749	867	41	104	67	311	19	32	27	18	121	473	406	137	205	322	100	78	63	120	90	99					
7	Число избирательных бюллетеней в переносных ящиках	7411	125	178	134	64	75	98	69	60	24	32	40	23	41	139	5	125	84	47	78	139	76	137	110	127	73	49	168	80	39	239	149	64	63	167	131	197	96	177	196	89	103	73	37	92	34	164	84	162	130	111	173	36	80	54	32	48	90	126	15	35	53	36	55	223	102	63	134	125	185	250	172	80	92	155					
8	Число бюллетеней в стационарных ящиках для голосования	44748	602	1876	1350	892	1274	1289	1080	1641	1207	1472	1603	1219	1778	676	603	977	777	455	450	665	1232	132	146	122	291	87	826	176	138	211	172	345	145	308	133	1165	408	308	565	336	489	683	412	306	98	326	225	281	694	205	427	303	1171	1679	126	228	393	551	166	163	220	71	384	1104	992	400	561	653	315	451	315	550	348	326					
9	Число недействительных избирательных бюллетеней	676	7	25	16	14	20	18	13	21	11	9	11	9	14	8	4	6	18	6	4	16	14	5	8	5	2	3	12	2	5	11	0	5	1	11	2	11	12	7	17	3	7	12	7	8	2	7	2	12	11	7	12	0	17	22	7	3	7	17	1	2	5	2	11	10	17	6	7	9	5	14	7	12	14	8					
10	Число действительных избирательных бюллетеней	51483	720	2029	1468	942	1329	1369	1136	1680	1220	1495	1632	1233	1805	807	604	1096	843	496	524	788	1294	264	248	244	362	133	982	254	172	439	321	404	207	464	262	1351	492	478	744	422	585	744	442	390	130	483	307	431	813	309	588	339	1234	1711	151	273	476	660	180	196	268	105	428	1317	1077	457	688	769	495	687	480	618	426	473					
11	Число полученных открепительных  удостоверений	1123	10	45	20	20	35	25	18	50	30	30	25	30	21	30	20	20	15	10	20	10	20	5	30	5	5	5	10	10	10	10	10	10	10	10	10	10	10	5	30	5	5	40	10	10	0	10	10	20	10	10	10	10	20	70	10	10	10	10	10	10	10	10	5	15	10	5	10	10	10	10	7	2	14	6					
12	Число выданных открепительных удостоверений	541	6	34	11	11	30	17	15	38	24	22	25	16	21	8	8	15	5	7	9	7	16	0	0	0	0	0	3	4	2	1	0	0	0	2	0	10	1	0	7	4	2	19	3	7	0	3	0	3	3	1	3	0	12	35	3	3	1	9	0	0	2	4	0	9	3	4	3	2	1	7	5	1	9	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	489	9	11	12	7	10	5	14	8	11	8	6	14	5	18	6	11	12	2	6	3	9	0	3	3	6	0	11	9	11	12	1	0	1	3	0	4	3	3	6	11	6	9	4	3	0	6	2	13	17	6	6	1	9	9	5	4	3	5	4	3	4	5	5	8	9	9	13	6	5	7	5	12	7	5					
14	Число неиспользованных открепительных удостоверений	582	4	11	9	9	5	8	3	12	6	8	0	14	0	22	12	5	10	3	11	3	4	5	30	5	5	5	7	6	8	9	10	10	10	8	10	0	9	5	23	1	3	21	7	3	0	7	10	17	7	9	7	10	8	35	7	7	9	1	10	10	8	6	5	6	7	1	7	8	9	3	2	1	5	1					
