Выборы Президента Российской Федерации																																																																																	
Дата голосования: 02.03.2008																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Шебекинская																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
	Число участковых избирательных комиссий	74																																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	74																																																																															
																																																																																	
		Сумма	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160					
1	"Число избирателей, включенных в списки избирателей"	71874	718	2503	2536	1810	2097	979	2148	2047	2113	2754	1673	1938	1888	1266	1811	1664	1364	654	708	1278	2058	215	344	133	264	255	1257	314	220	580	467	358	225	544	560	305	514	1779	530	1107	535	528	152	880	932	1093	1170	631	1086	566	656	392	353	708	408	556	2815	2219	187	402	942	220	176	1864	1539	655	604	695	555	576	579	808	295	119					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	71040	700	2400	2400	1700	2100	900	2000	2000	2200	2800	1600	1950	1900	1200	1700	1600	1300	650	700	1200	2000	220	340	120	300	250	1250	300	200	550	480	350	230	540	530	300	600	1750	520	1150	550	550	150	900	1000	1150	1100	630	1100	580	640	380	350	700	400	540	2800	2100	210	390	1000	230	220	1950	1500	720	590	750	560	560	600	750	290	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	42961	476	1614	1633	1077	1260	566	1316	1262	1371	1707	1057	1282	1144	693	1116	917	751	397	444	672	1113	97	278	73	150	131	804	177	120	189	269	178	130	346	300	119	299	1216	274	597	338	287	89	471	471	548	718	422	666	246	346	223	184	399	266	386	1727	1226	117	245	602	155	120	1025	1019	458	427	421	328	324	271	516	216	89					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	7625	51	115	170	86	149	34	113	71	34	40	16	35	19	130	52	140	108	31	89	108	143	117	43	47	101	86	177	75	50	261	92	123	50	74	183	143	156	308	156	173	65	96	14	86	163	158	65	44	144	198	135	106	82	140	37	94	63	81	42	48	158	33	33	294	197	99	72	201	154	81	143	82	47	21					
6	Число погашенных избирательных бюллетеней	20454	173	671	597	537	691	300	571	667	795	1053	527	633	737	377	532	543	441	222	167	420	744	6	19	0	49	33	269	48	30	100	119	49	50	120	47	38	145	226	90	380	147	167	47	343	366	444	317	164	290	136	159	51	84	161	97	60	1010	793	51	97	240	42	67	631	284	163	91	128	78	155	186	152	27	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7625	51	115	170	86	149	34	113	71	34	40	16	35	19	130	52	140	108	31	89	108	143	117	43	47	101	86	177	75	50	261	92	123	50	74	183	143	156	308	156	173	65	96	14	86	163	158	65	44	144	198	135	106	82	140	37	94	63	81	42	48	158	33	33	294	197	99	72	201	154	81	143	82	47	21					
8	Число бюллетеней в стационарных ящиках для голосования	42946	476	1610	1633	1077	1260	566	1316	1262	1371	1706	1057	1282	1144	693	1115	917	750	397	444	672	1113	97	278	73	150	131	803	177	120	189	269	178	130	346	300	119	299	1216	274	597	338	287	89	471	471	548	718	422	666	246	346	223	184	399	266	386	1727	1223	117	245	602	155	120	1022	1019	458	426	421	328	324	271	516	216	89					
9	Число недействительных избирательных бюллетеней	607	9	22	22	19	8	11	21	19	10	34	8	16	13	5	13	10	15	7	6	14	12	4	1	1	2	2	5	2	3	4	4	3	0	6	11	2	6	16	6	5	3	3	1	8	3	11	9	4	17	4	10	4	1	7	1	3	19	13	0	8	8	0	2	13	25	10	7	12	3	8	3	7	1	2					
