7	Число избирательных бюллетеней в переносных ящиках для голосования	7068	77	91	107	109	53	103	92	253	94	48	52	46	65	75	48	51	40	122	101	39	70	137	157	77	71	38	99	80	164	56	31	178	75	80	27	42	57	91	123	234	109	122	88	186	118	130	109	82	75	128	156	100	110	39	135	59	87	78	93	79	27	34	156	34	26	214	80	99	94	92	148	93	85	120	45	63	22									
8	Число бюллетеней в стационарных ящиках для голосования	41540	579	1061	1139	925	904	812	984	1004	964	1021	1134	991	1035	720	1178	1085	981	1067	1003	439	387	913	934	124	244	62	148	119	790	213	112	206	250	142	131	289	341	130	268	880	290	644	337	274	498	506	566	860	409	637	285	265	154	156	362	230	302	1023	892	1179	115	227	542	119	128	546	685	685	518	314	424	317	295	256	342	252	197									
9	Число недействительных избирательных бюллетеней	529	11	10	13	15	10	9	12	14	7	10	18	11	14	5	12	12	11	13	11	1	3	14	15	0	0	0	2	4	13	3	2	6	2	4	0	4	8	2	7	10	3	13	2	3	5	11	16	11	0	5	9	7	1	0	5	1	7	8	6	11	0	15	1	2	2	5	9	7	6	3	7	4	6	2	13	1	4									
10	Число действительных избирательных бюллетеней	48079	645	1142	1233	1019	947	906	1064	1243	1051	1059	1168	1026	1086	790	1214	1124	1010	1176	1093	477	454	1036	1076	201	315	100	245	195	941	266	141	378	323	218	158	327	390	219	384	1104	396	753	423	457	611	625	659	931	484	760	432	358	263	195	492	288	382	1093	979	1247	142	246	697	151	152	755	756	777	606	403	565	406	374	374	374	314	215									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																								
13	Бабурин Сергей Николаевич	316	8	8	11	9	1	7	6	7	10	5	9	5	4	4	9	10	3	8	10	4	4	6	13	4	3	1	2	1	7	1	1	1	3	0	2	2	2	2	1	4	7	5	1	4	3	2	2	4	1	6	3	1	1	3	1	3	4	12	8	8	1	2	3	0	0	2	3	3	3	3	3	5	1	2	2	5	1									
		0.65%	1.22%	0.69%	0.88%	0.87%	0.10%	0.77%	0.56%	0.56%	0.95%	0.47%	0.76%	0.48%	0.36%	0.50%	0.73%	0.88%	0.29%	0.67%	0.91%	0.84%	0.88%	0.57%	1.19%	1.99%	0.95%	1.00%	0.81%	0.50%	0.73%	0.37%	0.70%	0.26%	0.92%	0.00%	1.27%	0.60%	0.50%	0.90%	0.26%	0.36%	1.75%	0.65%	0.24%	0.87%	0.49%	0.31%	0.30%	0.42%	0.21%	0.78%	0.68%	0.27%	0.38%	1.54%	0.20%	1.04%	1.03%	1.09%	0.81%	0.64%	0.70%	0.77%	0.43%	0.00%	0.00%	0.26%	0.39%	0.38%	0.49%	0.74%	0.52%	1.22%	0.26%	0.53%	0.52%	1.59%	0.46%									
14	Грудинин Павел Николаевич	6208	70	158	179	148	115	130	140	156	142	136	182	146	151	98	171	148	134	141	145	63	56	155	134	17	52	15	38	24	114	26	15	38	37	23	21	31	52	17	40	173	80	86	58	36	64	82	99	99	58	116	60	34	20	31	42	41	36	157	125	194	14	26	43	9	14	84	83	93	71	31	79	53	90	54	50	27	38									
		12.77%	10.67%	13.72%	14.37%	14.31%	12.02%	14.21%	13.01%	12.41%	13.42%	12.72%	15.35%	14.08%	13.73%	12.33%	13.95%	13.03%	13.12%	11.86%	13.13%	13.18%	12.25%	14.76%	12.28%	8.46%	16.51%	15.00%	15.38%	12.06%	11.95%	9.67%	10.49%	9.90%	11.38%	10.36%	13.29%	9.37%	13.07%	7.69%	10.23%	15.53%	20.05%	11.23%	13.65%	7.83%	10.39%	12.89%	14.67%	10.51%	11.98%	15.16%	13.61%	9.32%	7.58%	15.90%	8.45%	14.19%	9.25%	14.26%	12.69%	15.42%	9.86%	9.96%	6.16%	5.88%	9.09%	11.05%	10.85%	11.86%	11.60%	7.64%	13.81%	12.93%	23.68%	14.36%	12.92%	8.57%	17.35%									
15	Жириновский Владимир Вольфович	3348	39	72	84	65	84	68	70	87	99	62	81	50	76	52	63	63	84	89	69	25	29	72	70	7	15	1	15	16	66	33	6	17	31	12	4	24	29	20	24	91	35	59	31	32	61	46	48	50	27	63	36	27	12	8	57	26	24	56	54	74	11	17	53	13	7	61	46	59	50	32	42	38	33	31	26	22	17									
		6.89%	5.95%	6.25%	6.74%	6.29%	8.78%	7.43%	6.51%	6.92%	9.36%	5.80%	6.83%	4.82%	6.91%	6.54%	5.14%	5.55%	8.23%	7.49%	6.25%	5.23%	6.35%	6.86%	6.42%	3.48%	4.76%	1.00%	6.07%	8.04%	6.92%	12.27%	4.20%	4.43%	9.54%	5.41%	2.53%	7.25%	7.29%	9.05%	6.14%	8.17%	8.77%	7.70%	7.29%	6.96%	9.90%	7.23%	7.11%	5.31%	5.58%	8.24%	8.16%	7.40%	4.55%	4.10%	11.47%	8.99%	6.17%	5.09%	5.48%	5.88%	7.75%	6.51%	7.59%	8.50%	4.55%	8.03%	6.01%	7.53%	8.17%	7.88%	7.34%	9.27%	8.68%	8.24%	6.72%	6.98%	7.76%									
16	Путин Владимир Владимирович	36852	504	865	910	753	707	678	814	961	761	826	862	773	811	611	934	865	759	907	836	374	350	771	831	171	240	81	187	153	741	201	117	305	248	179	127	266	296	177	309	813	267	575	325	377	468	474	493	756	386	562	324	286	227	152	382	208	314	839	766	932	112	192	587	128	131	589	598	606	465	327	433	298	238	275	279	254	153									
		75.81%	76.83%	75.09%	73.03%	72.82%	73.88%	74.10%	75.65%	76.45%	71.93%	77.27%	72.68%	74.54%	73.73%	76.86%	76.18%	76.14%	74.34%	76.28%	75.72%	78.24%	76.59%	73.43%	76.17%	85.07%	76.19%	81.00%	75.71%	76.88%	77.67%	74.72%	81.82%	79.43%	76.31%	80.63%	80.38%	80.36%	74.37%	80.09%	79.03%	72.98%	66.92%	75.07%	76.47%	81.96%	75.97%	74.53%	73.04%	80.25%	79.75%	73.46%	73.47%	78.36%	85.98%	77.95%	76.86%	71.97%	80.72%	76.20%	77.77%	74.09%	78.87%	73.56%	84.10%	83.66%	85.06%	77.50%	78.17%	77.30%	75.98%	80.54%	75.70%	72.68%	62.63%	73.14%	72.09%	80.63%	69.86%									
17	Собчак Ксения Анатольевна	450	4	12	10	18	22	6	15	15	12	8	10	21	14	7	11	16	7	12	11	3	4	11	5	2	1	2	1	1	3	1	0	5	1	1	3	2	9	1	8	10	3	6	5	3	4	4	3	8	4	1	1	0	1	0	4	5	0	15	11	10	0	1	1	0	0	8	7	4	6	5	4	3	2	3	7	1	5									
		0.93%	0.61%	1.04%	0.80%	1.74%	2.30%	0.66%	1.39%	1.19%	1.13%	0.75%	0.84%	2.03%	1.27%	0.88%	0.90%	1.41%	0.69%	1.01%	0.99%	0.63%	0.88%	1.05%	0.46%	0.99%	0.32%	2.00%	0.40%	0.50%	0.31%	0.37%	0.00%	1.30%	0.31%	0.45%	1.90%	0.60%	2.26%	0.45%	2.05%	0.90%	0.75%	0.78%	1.18%	0.65%	0.65%	0.63%	0.44%	0.85%	0.83%	0.13%	0.23%	0.00%	0.38%	0.00%	0.80%	1.73%	0.00%	1.36%	1.12%	0.79%	0.00%	0.38%	0.14%	0.00%	0.00%	1.05%	0.92%	0.51%	0.98%	1.23%	0.70%	0.73%	0.53%	0.80%	1.81%	0.32%	2.28%									
18	Сурайкин Максим Александрович	433	12	7	12	11	8	10	6	7	8	9	15	22	12	7	9	9	9	12	10	3	8	13	11	0	2	0	1	0	7	3	1	9	2	3	0	2	2	1	0	8	2	12	3	5	5	6	7	10	3	9	7	6	0	1	1	3	2	4	7	12	1	3	3	1	0	3	5	5	6	3	2	5	6	8	1	5	0									
		0.89%	1.83%	0.61%	0.96%	1.06%	0.84%	1.09%	0.56%	0.56%	0.76%	0.84%	1.26%	2.12%	1.09%	0.88%	0.73%	0.79%	0.88%	1.01%	0.91%	0.63%	1.75%	1.24%	1.01%	0.00%	0.63%	0.00%	0.40%	0.00%	0.73%	1.12%	0.70%	2.34%	0.62%	1.35%	0.00%	0.60%	0.50%	0.45%	0.00%	0.72%	0.50%	1.57%	0.71%	1.09%	0.81%	0.94%	1.04%	1.06%	0.62%	1.18%	1.59%	1.64%	0.00%	0.51%	0.20%	1.04%	0.51%	0.36%	0.71%	0.95%	0.70%	1.15%	0.43%	0.65%	0.00%	0.39%	0.65%	0.64%	0.98%	0.74%	0.35%	1.22%	1.58%	2.13%	0.26%	1.59%	0.00%									
19	Титов Борис Юрьевич	268	4	8	19	7	7	3	4	6	5	8	4	4	9	8	9	7	9	4	7	2	2	7	7	0	1	0	1	0	2	1	0	2	0	0	1	0	0	1	0	5	2	8	0	0	3	5	5	3	5	2	1	1	0	0	3	1	1	6	5	10	2	3	2	0	0	6	5	4	3	1	1	3	3	1	9	0	0									
		0.55%	0.61%	0.69%	1.52%	0.68%	0.73%	0.33%	0.37%	0.48%	0.47%	0.75%	0.34%	0.39%	0.82%	1.01%	0.73%	0.62%	0.88%	0.34%	0.63%	0.42%	0.44%	0.67%	0.64%	0.00%	0.32%	0.00%	0.40%	0.00%	0.21%	0.37%	0.00%	0.52%	0.00%	0.00%	0.63%	0.00%	0.00%	0.45%	0.00%	0.45%	0.50%	1.04%	0.00%	0.00%	0.49%	0.79%	0.74%	0.32%	1.03%	0.26%	0.23%	0.27%	0.00%	0.00%	0.60%	0.35%	0.26%	0.54%	0.51%	0.79%	1.41%	1.15%	0.29%	0.00%	0.00%	0.79%	0.65%	0.51%	0.49%	0.25%	0.17%	0.73%	0.79%	0.27%	2.33%	0.00%	0.00%									
20	Явлинский Григорий Алексеевич	204	4	12	8	8	3	4	9	4	14	5	5	5	9	3	8	6	5	3	5	3	1	1	5	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	2	0	0	2	0	0	3	6	2	1	0	1	0	3	2	0	2	1	1	4	3	7	1	2	5	0	0	2	9	3	2	1	1	1	1	0	0	0	1									
		0.42%	0.61%	1.04%	0.64%	0.77%	0.31%	0.44%	0.84%	0.32%	1.32%	0.47%	0.42%	0.48%	0.82%	0.38%	0.65%	0.53%	0.49%	0.25%	0.45%	0.63%	0.22%	0.10%	0.46%	0.00%	0.32%	0.00%	0.00%	0.00%	0.10%	0.00%	0.70%	0.26%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.26%	0.00%	0.00%	0.49%	0.94%	0.30%	0.11%	0.00%	0.13%	0.00%	0.82%	0.76%	0.00%	0.40%	0.35%	0.26%	0.36%	0.30%	0.56%	0.70%	0.77%	0.72%	0.00%	0.00%	0.26%	1.18%	0.38%	0.33%	0.25%	0.17%	0.24%	0.26%	0.00%	0.00%	0.00%	0.46%									
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
