Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Октябрьская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18429	326	75	343	70	73	779	62	57	71	126	68	841	244	151	961	213	295	56	62	346	235	138	199	375	214	190	338	159	393	1147	1243	1063	1061	1299	68	65	274	85	359	1342	194	189	216	87	289	225	66	617	368	203	509									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16700	300	70	320	70	70	730	65	60	70	110	70	750	230	140	890	200	270	55	60	330	230	130	180	340	200	190	320	160	360	1000	1100	900	900	1100	60	60	260	80	330	1200	180	180	200	80	270	200	60	570	340	190	470									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8851	134	34	151	48	36	308	41	20	36	67	40	455	143	89	443	123	183	31	36	207	139	81	116	152	122	79	160	81	195	476	575	417	458	599	34	37	135	40	137	510	100	113	101	46	160	98	45	343	239	123	315									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1530	16	18	43	12	3	48	3	11	15	10	3	55	31	7	180	30	33	6	13	24	28	9	36	25	25	34	43	12	25	66	44	29	63	36	9	5	19	10	49	50	31	31	33	10	25	11	5	80	29	53	44									
6	Число погашенных избирательных бюллетеней	6319	150	18	126	10	31	374	21	29	19	33	27	240	56	44	267	47	54	18	11	99	63	40	28	163	53	77	117	67	140	458	481	454	379	465	17	18	106	30	144	640	49	36	66	24	85	91	10	147	72	14	111									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1530	16	18	43	12	3	48	3	11	15	10	3	55	31	7	180	30	33	6	13	24	28	9	36	25	25	34	43	12	25	66	44	29	63	36	9	5	19	10	49	50	31	31	33	10	25	11	5	80	29	53	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8850	134	34	151	48	36	307	41	20	36	67	40	455	143	89	443	123	183	31	36	207	139	81	116	152	122	79	160	81	195	476	575	417	458	599	34	37	135	40	137	510	100	113	101	46	160	98	45	343	239	123	315									
9	Число недействительных избирательных бюллетеней	213	12	0	4	0	2	12	0	0	2	1	0	6	0	0	8	1	0	0	0	2	2	0	3	11	2	4	5	4	1	16	12	13	5	26	1	0	3	0	5	13	5	2	2	1	0	5	0	8	1	4	9									
10	Число действительных избирательных бюллетеней	10167	138	52	190	60	37	343	44	31	49	76	43	504	174	96	615	152	216	37	49	229	165	90	149	166	145	109	198	89	219	526	607	433	516	609	42	42	151	50	181	547	126	142	132	55	185	104	50	415	267	172	350									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	390	2	3	9	5	3	19	6	3	5	4	8	6	5	2	15	8	7	2	2	16	6	3	3	5	10	12	13	10	5	16	18	14	15	12	2	2	7	0	14	10	10	2	3	2	15	3	3	15	16	3	11									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	390	2	3	9	5	3	19	6	3	5	4	8	6	5	2	15	8	7	2	2	16	6	3	3	5	10	12	13	10	5	16	18	14	15	12	2	2	7	0	14	10	10	2	3	2	15	3	3	15	16	3	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	129	1	3	3	1	1	1	0	2	2	5	4	2	0	0	4	0	2	1	1	2	1	2	2	1	1	2	2	0	6	8	5	5	3	5	1	2	6	0	3	2	2	1	4	0	6	6	1	6	4	1	6									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	59	3	0	0	0	0	2	0	4	2	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	9	11	4	5	0	0	1	0	2	4	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	101	0	1	0	0	0	1	0	0	0	1	0	8	2	1	2	3	0	0	0	0	0	1	2	2	0	4	4	1	0	5	8	7	5	16	1	0	1	0	2	11	0	1	0	0	0	1	0	4	0	1	5									
		0.97%	0.00%	1.92%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	1.30%	0.00%	1.57%	1.15%	1.04%	0.32%	1.96%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	1.32%	1.13%	0.00%	3.54%	1.97%	1.08%	0.00%	0.92%	1.29%	1.57%	0.96%	2.52%	2.33%	0.00%	0.65%	0.00%	1.08%	1.96%	0.00%	0.69%	0.00%	0.00%	0.00%	0.92%	0.00%	0.95%	0.00%	0.57%	1.39%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	219	6	1	8	0	1	8	0	0	0	1	0	13	0	0	11	2	4	1	2	3	8	0	4	5	8	2	4	1	3	13	8	8	12	18	0	0	4	1	8	14	5	0	5	1	6	2	0	7	2	5	4									
		2.11%	4.00%	1.92%	4.12%	0.00%	2.56%	2.25%	0.00%	0.00%	0.00%	1.30%	0.00%	2.55%	0.00%	0.00%	1.77%	1.31%	1.85%	2.70%	4.08%	1.30%	4.79%	0.00%	2.63%	2.82%	5.44%	1.77%	1.97%	1.08%	1.36%	2.40%	1.29%	1.79%	2.30%	2.83%	0.00%	0.00%	2.60%	2.00%	4.30%	2.50%	3.82%	0.00%	3.73%	1.79%	3.24%	1.83%	0.00%	1.65%	0.75%	2.84%	1.11%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	171	2	0	3	1	0	13	0	2	1	0	1	12	1	0	11	0	2	0	0	1	2	1	3	3	2	2	5	0	2	9	21	8	15	0	1	0	0	1	5	12	1	2	5	0	2	1	0	10	3	0	5									
		1.65%	1.33%	0.00%	1.55%	1.67%	0.00%	3.66%	0.00%	6.45%	1.96%	0.00%	2.33%	2.35%	0.57%	0.00%	1.77%	0.00%	0.93%	0.00%	0.00%	0.43%	1.20%	1.11%	1.97%	1.69%	1.36%	1.77%	2.46%	0.00%	0.91%	1.66%	3.39%	1.79%	2.88%	0.00%	2.33%	0.00%	0.00%	2.00%	2.69%	2.14%	0.76%	1.39%	3.73%	0.00%	1.08%	0.92%	0.00%	2.36%	1.12%	0.00%	1.39%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5010	57	36	122	24	21	100	27	14	32	28	26	251	112	44	381	111	106	23	32	128	85	43	64	97	94	51	108	67	124	218	219	174	190	216	18	20	81	26	91	200	62	67	70	14	76	40	29	278	187	112	214									
		48.27%	38.00%	69.23%	62.89%	40.00%	53.85%	28.17%	61.36%	45.16%	62.75%	36.36%	60.47%	49.22%	64.37%	45.83%	61.16%	72.55%	49.07%	62.16%	65.31%	55.41%	50.90%	47.78%	42.11%	54.80%	63.95%	45.13%	53.20%	72.04%	56.36%	40.22%	35.38%	39.01%	36.47%	34.02%	41.86%	47.62%	52.60%	52.00%	48.92%	35.71%	47.33%	46.53%	52.24%	25.00%	41.08%	36.70%	58.00%	65.72%	69.78%	63.64%	59.61%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	39	0	0	2	0	0	2	0	0	1	1	0	0	0	1	2	0	0	0	0	2	0	1	0	2	1	0	0	0	3	1	2	2	3	3	0	0	1	0	1	2	0	0	2	0	0	0	1	1	0	1	1									
		0.38%	0.00%	0.00%	1.03%	0.00%	0.00%	0.56%	0.00%	0.00%	1.96%	1.30%	0.00%	0.00%	0.00%	1.04%	0.32%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	1.11%	0.00%	1.13%	0.68%	0.00%	0.00%	0.00%	1.36%	0.18%	0.32%	0.45%	0.58%	0.47%	0.00%	0.00%	0.65%	0.00%	0.54%	0.36%	0.00%	0.00%	1.49%	0.00%	0.00%	0.00%	2.00%	0.24%	0.00%	0.57%	0.28%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	2	0	0	0	2	0	2	1	0	1	0	0	0	0	1	0	0	0	0	3	1									
