Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Изобильненская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №1271									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	73664	1366	1466	1317	1178	1287	1504	1308	1274	1379	1359	1284	1288	1349	1226	1366	1317	2700	1586	1428	1379	1833	2408	2400	2327	2586	1936	1043	1547	1633	635	1956	1971	404	336	436	925	603	1015	2477	2029	1996	169	1515	2789	610	769	1309	1020	1965	156	187	2318									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	69700	1300	1400	1300	1100	1300	1400	1300	1200	1300	1300	1200	1200	1200	1200	1300	1300	2500	1500	1400	1300	1700	2200	2300	2200	2500	1800	1000	1500	1600	600	1500	1850	390	320	400	900	550	1000	2400	1950	1950	180	1400	2700	550	700	1200	1000	1850	140	170	2200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32205	497	566	534	464	505	766	528	476	474	576	564	569	618	435	443	497	1129	588	532	545	829	1108	1164	1099	1405	1025	496	703	661	293	954	633	127	100	176	455	328	352	858	720	1083	144	778	984	258	364	743	493	1038	89	111	1328									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3445	51	44	26	58	154	27	58	30	40	61	83	32	110	39	41	39	48	34	51	33	34	45	21	40	26	36	27	150	240	65	97	81	105	77	45	34	24	59	59	100	80	25	309	129	66	66	86	61	60	7	25	107									
6	Число погашенных избирательных бюллетеней	34050	752	790	740	578	641	607	714	694	786	663	553	599	472	726	816	764	1323	878	817	722	837	1047	1115	1061	1069	739	477	647	699	242	449	1136	158	143	179	411	198	589	1483	1130	787	11	313	1587	226	270	371	446	752	44	34	765									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3445	51	44	26	58	154	27	58	30	40	61	83	32	110	39	41	39	48	34	51	33	34	45	21	40	26	36	27	150	240	65	97	81	105	77	45	34	24	59	59	100	80	25	309	129	66	66	86	61	60	7	25	107									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32180	497	566	534	464	505	766	528	476	474	576	564	569	618	435	443	497	1129	588	532	544	829	1086	1164	1099	1405	1025	496	703	661	293	954	633	127	100	176	455	328	351	858	720	1083	144	778	984	258	364	743	492	1038	89	111	1328									
9	Число недействительных избирательных бюллетеней	945	11	15	18	28	14	25	20	9	13	14	7	15	16	21	14	2	43	14	15	14	59	56	27	60	22	33	25	12	10	13	27	14	10	1	9	7	16	4	18	75	20	2	23	13	15	5	4	11	24	1	1	0									
10	Число действительных избирательных бюллетеней	34680	537	595	542	494	645	768	566	497	501	623	640	586	712	453	470	534	1134	608	568	563	804	1075	1158	1079	1409	1028	498	841	891	345	1024	700	222	176	212	482	336	406	899	745	1143	167	1064	1100	309	425	825	542	1074	95	135	1435									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	454	15	13	10	10	10	10	10	10	15	10	10	10	10	10	10	10	15	15	10	10	10	10	20	10	23	11	6	7	6	2	10	8	4	2	3	5	3	5	10	6	8	2	8	10	3	3	7	5	8	2	2	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	325	12	13	10	6	4	6	8	10	9	5	3	5	5	6	7	9	15	13	9	3	5	8	19	8	23	10	6	7	3	1	5	8	0	0	3	3	2	1	10	5	0	2	8	4	0	1	7	0	4	1	1	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	181	7	1	1	3	3	2	1	8	1	4	2	2	3	2	3	3	7	0	6	4	0	0	4	1	9	9	8	3	4	6	4	10	2	4	1	2	2	14	2	5	4	4	4	1	0	1	2	4	1	0	2	5									
14	Число погашенных неиспользованных открепительных удостоверений	129	3	0	0	4	6	4	2	0	6	5	7	5	5	4	3	1	0	2	1	7	5	2	1	2	0	1	0	0	3	1	5	0	4	2	0	2	1	4	0	1	8	0	0	6	3	2	0	5	4	1	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	1	0	0	0	0	1	0	1	0	2	1	0	0	0	0	0	1	1	0	2	0	1	0	0	1	1	0	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	3	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	473	13	2	13	14	8	9	11	6	7	12	11	7	21	12	6	4	13	6	4	6	9	17	28	22	17	16	5	9	13	1	16	14	0	9	1	5	5	8	6	10	16	0	8	3	3	3	10	8	10	1	1	14									
		1.33%	2.37%	0.33%	2.32%	2.68%	1.21%	1.13%	1.88%	1.19%	1.36%	1.88%	1.70%	1.16%	2.88%	2.53%	1.24%	0.75%	1.10%	0.96%	0.69%	1.04%	1.04%	1.50%	2.36%	1.93%	1.19%	1.51%	0.96%	1.06%	1.44%	0.28%	1.52%	1.96%	0.00%	5.08%	0.45%	1.02%	1.42%	1.95%	0.65%	1.22%	1.38%	0.00%	0.74%	0.27%	0.93%	0.70%	1.21%	1.45%	0.91%	1.04%	0.74%	0.98%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	939	15	10	17	17	10	15	21	5	13	13	15	15	24	15	22	5	24	16	12	19	21	20	29	25	41	23	6	39	28	7	16	31	9	16	4	18	11	21	41	24	27	3	15	21	19	9	18	23	31	3	3	34									
