Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Усть-Кубинская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816					
1	"Число избирателей, внесенных в списки"	7535	1648	1397	242	216	360	99	163	504	226	82	432	94	283	707	84	420	191	301	86					
2	"Число бюллетеней, полученных участковыми комиссиями"	7526	1627	1381	245	218	362	99	172	495	224	83	437	97	288	706	89	424	196	299	84					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4331	983	893	172	130	193	75	72	323	81	44	221	52	153	366	49	231	76	182	35					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	764	84	37	13	20	56	8	53	40	88	12	61	11	49	69	10	31	49	44	29					
6	Число погашенных бюллетеней	2431	560	451	60	68	113	16	47	132	55	27	155	34	86	271	30	162	71	73	20					
7	Число бюллетеней в переносных ящиках для голосования	763	84	37	13	20	56	8	53	39	88	12	61	11	49	69	10	31	49	44	29					
8	Число бюллетеней в стационарных ящиках для голосования	4329	982	893	172	130	193	75	72	323	81	44	221	52	153	366	49	231	76	181	35					
9	Число недействительных бюллетеней	153	13	31	8	3	4	5	4	5	8	6	15	1	2	16	3	12	7	7	3					
10	Число действительных бюллетеней	4939	1053	899	177	147	245	78	121	357	161	50	267	62	200	419	56	250	118	218	61					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	170	20	20	5	7	10	5	13	7	8	3	10	3	10	15	5	7	5	12	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	46	2	11	0	0	0	0	8	1	4	0	0	0	5	2	1	5	1	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	4	11	1	0	5	1	0	3	2	2	1	0	0	1	0	2	1	3	4					
14	Число погашенных открепительных удостоверений	124	18	9	5	7	10	5	5	6	4	3	10	3	5	13	4	2	4	6	5					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	55	7	15	3	0	3	1	1	5	0	4	4	1	2	2	0	2	3	2	0					
		1.08%	0.65%	1.61%	1.62%	0.0%	1.20%	1.20%	0.8%	1.38%	0.0%	7.14%	1.41%	1.58%	0.99%	0.45%	0.0%	0.76%	2.4%	0.88%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	90	25	25	2	0	2	0	0	3	5	1	8	0	2	4	0	8	2	3	0					
		1.76%	2.34%	2.68%	1.08%	0.0%	0.80%	0.0%	0.0%	0.82%	2.95%	1.78%	2.83%	0.0%	0.99%	0.91%	0.0%	3.05%	1.6%	1.33%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	171	27	28	1	0	10	0	4	12	5	2	12	2	13	12	1	16	4	17	5					
		3.35%	2.53%	3.01%	0.54%	0.0%	4.01%	0.0%	3.2%	3.31%	2.95%	3.57%	4.25%	3.17%	6.43%	2.75%	1.69%	6.10%	3.2%	7.55%	7.81%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	77	23	15	2	7	2	1	2	2	4	2	1	1	3	1	1	4	1	4	1					
		1.51%	2.15%	1.61%	1.08%	4.66%	0.80%	1.20%	1.6%	0.55%	2.36%	3.57%	0.35%	1.58%	1.48%	0.22%	1.69%	1.52%	0.8%	1.77%	1.56%					
22	"5. ""За Русь Святую"""	40	5	2	2	1	2	0	3	2	0	0	2	0	5	4	0	1	7	3	1					
		0.78%	0.46%	0.21%	1.08%	0.66%	0.80%	0.0%	2.4%	0.55%	0.0%	0.0%	0.70%	0.0%	2.47%	0.91%	0.0%	0.38%	5.6%	1.33%	1.56%					
23	"6. ""Объединенная Российская партия ""Русь"""	12	2	2	0	0	0	0	1	2	0	0	2	0	1	1	0	0	0	1	0					
		0.23%	0.18%	0.21%	0.0%	0.0%	0.0%	0.0%	0.8%	0.55%	0.0%	0.0%	0.70%	0.0%	0.49%	0.22%	0.0%	0.0%	0.0%	0.44%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	15	3	3	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	2	0					
		0.29%	0.28%	0.32%	0.0%	0.0%	0.40%	0.0%	0.0%	0.27%	0.0%	0.0%	0.35%	1.58%	0.49%	0.22%	0.0%	0.38%	0.0%	0.88%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		0.07%	0.18%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	1	2	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	1	0					
		0.17%	0.09%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.59%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.8%	0.44%	0.0%					
27	"10. ""Аграрная партия России"""	998	190	147	9	31	48	23	22	63	52	12	82	20	40	163	12	15	26	37	6					
		19.59%	17.82%	15.80%	4.86%	20.66%	19.27%	27.71%	17.6%	17.40%	30.76%	21.42%	29.07%	31.74%	19.80%	37.47%	20.33%	5.72%	20.8%	16.44%	9.37%					
28	"11. ""Истинные патриоты России"""	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.8%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	50	15	22	4	2	1	0	0	0	1	0	1	0	2	1	0	1	0	0	0					
		0.98%	1.40%	2.36%	2.16%	1.33%	0.40%	0.0%	0.0%	0.0%	0.59%	0.0%	0.35%	0.0%	0.99%	0.22%	0.0%	0.38%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	12	0	2	0	0	2	0	1	0	0	0	0	0	1	2	2	2	0	0	0					
		0.23%	0.0%	0.21%	0.0%	0.0%	0.80%	0.0%	0.8%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.45%	3.38%	0.76%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	12	3	0	0	0	1	0	1	1	3	0	0	0	0	2	1	0	0	0	0					
		0.23%	0.28%	0.0%	0.0%	0.0%	0.40%	0.0%	0.8%	0.27%	1.77%	0.0%	0.0%	0.0%	0.0%	0.45%	1.69%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.18%	0.10%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	219	57	50	8	6	4	3	1	13	5	4	15	2	5	16	0	13	4	10	3					
		4.30%	5.34%	5.37%	4.32%	4.0%	1.60%	3.61%	0.8%	3.59%	2.95%	7.14%	5.31%	3.17%	2.47%	3.67%	0.0%	4.96%	3.2%	4.44%	4.68%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	4	1	0	1	1	0	0	0	1	0	4	1	0	1	0	0	0	0	0					
		0.27%	0.37%	0.10%	0.0%	0.66%	0.40%	0.0%	0.0%	0.0%	0.59%	0.0%	1.41%	1.58%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	610	146	138	33	15	22	8	18	48	13	5	20	2	26	29	6	37	7	32	5					
		11.97%	13.69%	14.83%	17.83%	10.0%	8.83%	9.63%	14.4%	13.25%	7.69%	8.92%	7.09%	3.17%	12.87%	6.66%	10.16%	14.12%	5.6%	14.22%	7.81%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	88	20	8	3	2	3	0	8	7	3	0	7	2	5	8	1	5	2	3	1					
		1.72%	1.87%	0.86%	1.62%	1.33%	1.20%	0.0%	6.4%	1.93%	1.77%	0.0%	2.48%	3.17%	2.47%	1.83%	1.69%	1.90%	1.6%	1.33%	1.56%					
37	"20. ""Политическая партия ""Единая Россия"""	1893	380	327	75	76	114	32	47	156	54	16	76	24	75	128	30	113	54	87	29					
		37.17%	35.64%	35.16%	40.54%	50.66%	45.78%	38.55%	37.6%	43.09%	31.95%	28.57%	26.95%	38.09%	37.12%	29.42%	50.84%	43.12%	43.2%	38.66%	45.31%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	1	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1					
