Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Петушинская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52578	1884	1741	827	422	496	1695	1661	873	798	772	804	911	562	189	269	418	765	720	323	559	797	770	802	345	255	75	221	219	284	154	1259	1251	1326	1372	1502	1633	2445	1641	1587	1616	1642	1353	343	2279	2510	741	338	439	407	294	114	342	355	662	2189	2327									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50000	1800	1650	800	400	480	1600	1600	850	750	750	750	850	520	180	250	400	770	630	300	400	800	750	780	320	250	70	200	210	260	140	1250	1200	1300	1340	1400	1550	2100	1600	1600	1550	1600	1300	320	2150	2450	730	310	410	400	270	110	330	340	650	2050	2180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15542	417	607	254	126	142	642	561	285	197	223	250	224	120	60	98	125	189	266	84	195	237	208	365	133	101	46	51	47	47	53	316	379	373	489	536	379	661	430	402	579	437	353	98	749	806	239	74	108	94	67	46	66	43	205	636	624									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1440	31	14	11	4	13	19	20	6	32	5	8	20	70	5	12	2	42	32	40	28	87	13	43	26	63	6	36	22	36	28	48	19	37	29	41	30	20	11	24	16	8	6	5	16	18	25	39	23	30	19	16	37	43	62	24	20									
6	Число погашенных избирательных бюллетеней	33018	1352	1029	535	270	325	939	1019	559	521	522	492	606	330	115	140	273	539	332	176	177	476	529	372	161	86	18	113	141	177	59	886	802	890	822	823	1141	1419	1159	1174	955	1155	941	217	1385	1626	466	197	279	276	184	48	227	254	383	1390	1536									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1440	31	14	11	4	13	19	20	6	32	5	8	20	70	5	12	2	42	32	40	28	87	13	43	26	63	6	36	22	36	28	48	19	37	29	41	30	20	11	24	16	8	6	5	16	18	25	39	23	30	19	16	37	43	62	24	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15539	417	607	254	126	142	641	561	285	197	223	250	224	120	60	98	124	189	266	84	195	237	208	365	133	101	46	51	47	47	53	316	379	373	489	536	379	660	430	402	579	437	353	98	749	806	239	74	108	94	67	46	66	43	205	636	624									
9	Число недействительных избирательных бюллетеней	420	18	18	7	4	1	19	14	9	7	7	5	5	4	0	5	3	4	11	0	5	3	1	4	1	1	0	2	0	1	0	5	8	12	22	12	15	30	12	12	23	9	8	0	13	19	6	1	7	0	2	1	1	1	13	10	19									
10	Число действительных избирательных бюллетеней	16559	430	603	258	126	154	641	567	282	222	221	253	239	186	65	105	123	227	287	124	218	321	220	404	158	163	52	85	69	82	81	359	390	398	496	565	394	650	429	414	572	436	351	103	752	805	258	112	124	124	84	61	102	85	254	650	625									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	930	30	30	20	15	10	30	30	20	20	20	20	20	20	5	5	10	15	15	5	10	20	20	20	5	5	0	5	5	5	5	20	20	20	20	35	15	40	20	20	20	25	15	5	40	40	10	5	5	5	5	5	5	5	10	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	319	9	11	6	4	1	8	19	5	1	2	3	6	3	0	1	0	5	0	0	4	3	3	4	0	0	0	1	3	0	0	17	5	3	13	31	4	13	9	15	10	16	9	4	10	15	6	0	2	0	0	0	0	4	4	13	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	388	4	27	4	1	2	7	6	3	6	3	3	3	6	3	8	1	5	15	4	4	0	1	4	5	1	2	7	1	2	6	10	9	4	11	3	8	9	11	9	22	11	30	7	14	8	3	10	4	1	0	6	3	2	12	24	13									
14	Число погашенных неиспользованных открепительных удостоверений	611	21	19	14	11	9	22	11	15	19	18	17	14	17	5	4	10	10	15	5	6	17	17	16	5	5	0	4	2	5	5	3	15	17	7	4	11	27	11	5	10	9	6	1	30	25	4	5	3	5	5	5	5	1	6	27	26									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	54	3	1	1	1	0	2	4	4	2	0	1	2	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	2	0	4	1	2	0	1	0	2	4	0	0	2	0	0	1	0	0	0	0	0	1	2	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	398	17	14	4	1	1	14	5	8	2	2	2	1	7	1	1	0	4	8	3	0	4	7	4	6	1	1	0	1	0	4	11	6	9	12	12	15	24	4	20	16	13	9	1	28	22	5	5	10	2	7	1	1	2	3	11	26									
