Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Нурлатская городская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  2352	УИК  2353	УИК  2354	УИК  2355	УИК  2356	УИК  2357	УИК  2358	УИК  2359	УИК  2360	УИК  2361	УИК  2362	УИК  2363	УИК  2364	УИК  2365	УИК  2366					
1	"Число избирателей, внесенных в списки"	23460	1903	2107	1929	1833	708	2766	2371	2834	2002	2218	1231	180	521	541	316					
2	"Число бюллетеней, полученных участковыми комиссиями"	22908	1850	2107	1931	1783	708	2712	2258	2840	1850	2107	1203	180	522	541	316					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19669	1672	1469	1769	1735	600	2250	2099	1867	1804	1870	995	180	516	527	316					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	484	14	30	84	48	2	10	33	62	25	149	13	0	5	9	0					
6	Число погашенных бюллетеней	2755	164	608	78	0	106	452	126	911	21	88	195	0	1	5	0					
7	Число бюллетеней в переносных ящиках для голосования	484	14	30	84	48	2	10	33	62	25	149	13	0	5	9	0					
8	Число бюллетеней в стационарных ящиках для голосования	19668	1672	1469	1769	1735	600	2250	2099	1867	1804	1870	994	180	516	527	316					
9	Число недействительных бюллетеней	936	7	44	73	0	3	3	485	4	162	141	2	4	0	8	0					
10	Число действительных бюллетеней	19216	1679	1455	1780	1783	599	2257	1647	1925	1667	1878	1005	176	521	528	316					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	350	15	30	30	30	10	45	30	40	30	40	25	0	10	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	127	8	8	6	2	3	27	18	17	12	14	12	0	0	0	0					
