Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																									
Дата голосования: 02.12.2007																																																																									
																																																																									
Наименование Избирательной комиссии:    Табасаранская																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335					
1	"Число избирателей, внесенных в списки избирателей"	29753	303	292	360	124	337	173	269	316	343	155	423	499	272	572	414	874	687	449	345	807	989	1340	415	352	244	455	171	279	153	381	522	332	197	383	331	173	104	1204	886	698	1110	739	268	246	154	158	223	498	827	165	602	757	1213	207	303	1109	464	397	396	170	191	375	633	254	343	328					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	29753	303	292	360	124	337	173	269	316	343	155	423	499	272	572	414	874	687	449	345	807	989	1340	415	352	244	455	171	279	153	381	522	332	197	383	331	173	104	1204	886	698	1110	739	268	246	154	158	223	498	827	165	602	757	1213	207	303	1109	464	397	396	170	191	375	633	254	343	328					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27553	291	279	312	112	329	150	245	297	263	135	388	459	268	530	380	840	657	421	332	731	965	1280	395	319	231	432	150	271	141	369	363	307	184	367	274	161	91	1146	851	623	1065	663	242	231	134	146	212	442	798	153	366	742	1160	189	289	1070	427	361	363	166	178	358	602	249	310	298					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	2200	12	13	48	12	8	23	24	19	80	20	35	40	4	42	34	34	30	28	13	76	24	60	20	33	13	23	21	8	12	12	159	25	13	16	57	12	13	58	35	75	45	76	26	15	20	12	11	56	29	12	236	15	53	18	14	39	37	36	33	4	13	17	31	5	33	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27553	291	279	312	112	329	150	245	297	263	135	388	459	268	530	380	840	657	421	332	731	965	1280	395	319	231	432	150	271	141	369	363	307	184	367	274	161	91	1146	851	623	1065	663	242	231	134	146	212	442	798	153	366	742	1160	189	289	1070	427	361	363	166	178	358	602	249	310	298					
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	27553	291	279	312	112	329	150	245	297	263	135	388	459	268	530	380	840	657	421	332	731	965	1280	395	319	231	432	150	271	141	369	363	307	184	367	274	161	91	1146	851	623	1065	663	242	231	134	146	212	442	798	153	366	742	1160	189	289	1070	427	361	363	166	178	358	602	249	310	298					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	580	8	8	8	8	8	8	8	8	8	8	8	8	8	9	8	9	9	8	8	9	9	16	8	8	8	8	8	8	8	8	9	8	8	8	8	8	8	16	9	9	16	9	8	8	8	8	8	8	9	8	9	9	15	8	8	16	8	8	8	8	8	8	9	8	8	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	576	8	8	8	8	8	8	8	8	8	8	8	8	8	9	8	9	9	8	8	9	9	16	8	8	8	8	8	8	8	7	9	8	8	8	7	8	8	16	9	9	16	9	8	8	8	8	8	8	9	8	9	9	15	8	8	15	7	8	8	8	8	8	9	8	8	8					
