Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Жарковская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250					
1	"Число избирателей, внесенных в списки"	6008	1219	1082	371	416	348	230	365	225	211	133	279	199	122	146	139	157	91	275					
2	"Число бюллетеней, полученных участковыми комиссиями"	5625	1100	1000	350	380	320	220	350	210	210	120	270	190	120	145	130	150	90	270					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3540	723	678	200	261	172	144	214	119	137	120	176	125	80	100	62	56	57	116					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	666	29	49	29	21	48	6	33	71	58	0	57	21	22	29	45	63	23	62					
6	Число погашенных бюллетеней	1419	348	273	121	98	100	70	103	20	15	0	37	44	18	16	23	31	10	92					
7	Число бюллетеней в переносных ящиках для голосования	666	29	49	29	21	48	6	33	71	58	0	57	21	22	29	45	63	23	62					
8	Число бюллетеней в стационарных ящиках для голосования	3539	723	677	200	261	172	144	214	119	137	120	176	125	80	100	62	56	57	116					
9	Число недействительных бюллетеней	82	16	8	3	4	10	9	1	6	2	0	6	9	2	2	2	0	0	2					
10	Число действительных бюллетеней	4123	736	718	226	278	210	141	246	184	193	120	227	137	100	127	105	119	80	176					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	105	10	15	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	18	1	11	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0					
