Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Хабарская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760					
1	"Число избирателей, внесенных в списки избирателей"	14822	1686	1468	861	832	979	1372	216	260	519	312	894	756	241	790	345	144	695	198	466	150	1638					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13652	1520	1343	778	763	883	1259	211	264	464	308	818	685	239	726	346	143	638	198	434	153	1479					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8859	1023	817	474	569	591	776	154	151	322	195	587	468	135	514	225	87	409	154	274	103	831					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	881	86	60	35	21	82	45	14	30	33	27	56	49	26	61	29	10	68	0	40	7	102					
6	Число погашенных избирательных бюллетеней	3912	411	466	269	173	210	438	43	83	109	86	175	168	78	151	92	46	161	44	120	43	546					
7	Число избирательных бюллетеней в переносных ящиках для голосования	881	86	60	35	21	82	45	14	30	33	27	56	49	26	61	29	10	68	0	40	7	102					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8859	1023	817	474	569	591	776	154	151	322	195	587	468	135	514	225	87	409	154	274	103	831					
9	Число недействительных избирательных бюллетеней	95	10	5	4	3	4	4	2	3	4	7	6	13	3	0	3	3	4	2	3	1	11					
10	Число действительных избирательных бюллетеней	9645	1099	872	505	587	669	817	166	178	351	215	637	504	158	575	251	94	473	152	311	109	922					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	128	11	11	8	5	5	7	1	5	5	3	18	5	5	8	5	3	5	3	5	3	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	85	11	11	7	5	5	7	0	2	1	0	10	2	2	8	3	0	1	0	5	2	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	79	11	5	6	6	2	8	2	4	2	3	1	2	2	3	1	2	1	2	3	2	11					
14	Число погашенных неиспользованных открепительных удостоверений	43	0	0	1	0	0	0	1	3	4	3	8	3	3	0	2	3	4	3	0	1	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
