Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Каргатская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382					
1	"Число избирателей, внесенных в списки"	17146	2079	1486	1754	1065	1441	1605	528	290	120	150	115	95	171	303	74	140	372	449	65	299	148	451	79	46	88	540	150	524	126	110	361	177	350	234	170	721	126	146					
2	"Число бюллетеней, полученных участковыми комиссиями"	17436	2000	1400	1600	1000	1400	1600	1000	300	150	180	120	100	200	300	85	150	400	450	70	330	150	500	100	50	100	530	150	500	150	111	380	200	350	250	200	600	130	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9534	1065	673	822	410	581	675	512	152	82	104	63	75	131	184	55	96	215	323	52	200	107	258	55	36	74	378	105	292	89	101	229	117	294	133	121	449	108	119					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	645	34	63	40	78	89	47	16	0	0	0	12	0	6	28	0	0	52	0	0	16	3	32	10	0	0	0	3	35	8	3	16	2	0	5	9	40	0	0					
6	Число погашенных бюллетеней	7257	901	664	738	512	730	878	472	148	68	76	45	25	63	88	30	54	133	127	18	114	40	210	35	14	26	152	42	173	53	7	135	81	56	112	70	111	22	31					
7	Число бюллетеней в переносных ящиках для голосования	645	34	63	40	78	89	47	16	0	0	0	12	0	6	28	0	0	52	0	0	16	3	32	10	0	0	0	3	35	8	3	16	2	0	5	9	40	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	9534	1065	673	822	410	581	675	512	152	82	104	63	75	131	184	55	96	215	323	52	200	107	258	55	36	74	378	105	292	89	101	229	117	294	133	120	449	108	119					
9	Число недействительных бюллетеней	256	26	15	12	10	11	32	14	0	6	1	5	4	8	5	0	0	24	2	1	15	4	4	0	0	0	8	4	16	0	7	7	3	0	6	0	1	0	5					
10	Число действительных бюллетеней	9923	1073	721	850	478	659	690	514	152	76	103	70	71	129	207	55	96	243	321	51	201	106	286	65	36	74	370	104	311	97	97	238	116	294	132	129	488	108	114					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	10	10	10	10	10	10	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	29	7	0	2	2	4	2	3	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	3	1	1	1	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1					
14	Число погашенных открепительных удостоверений	121	3	10	8	8	6	8	0	3	3	3	1	3	3	3	3	0	3	2	3	1	3	3	3	3	3	3	3	1	3	3	3	3	2	3	3	1	1	0					
