Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Давлекановская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490	УИК №3491	УИК №3492									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31474	1234	1357	1165	1196	419	1200	433	1221	1266	1271	1348	423	1361	1364	420	264	455	444	337	565	395	325	320	278	660	444	373	596	196	418	140	585	443	997	438	293	501	237	670	462	433	366	504	93	349	440	315	429	1185	435	411									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31473	1200	1300	1100	1200	409	1195	430	1204	1260	1265	1350	424	1374	1352	419	266	461	461	343	575	399	332	320	279	660	461	371	600	192	433	142	602	443	1022	445	291	501	238	673	464	442	375	513	100	347	440	322	446	1179	433	420									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22703	867	962	821	341	304	846	350	477	990	1071	1025	332	581	930	311	209	375	365	258	479	319	269	265	233	460	401	247	520	174	357	121	499	364	834	356	259	416	202	560	394	384	315	406	74	188	260	223	265	812	391	241									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1679	15	55	40	34	12	21	16	17	17	9	38	14	47	27	86	37	49	47	60	41	48	30	40	31	70	31	45	29	9	34	8	58	44	64	53	14	50	18	25	31	13	25	27	13	12	17	2	80	38	13	25									
6	Число погашенных избирательных бюллетеней	7091	318	283	239	825	93	328	64	710	253	185	287	78	746	395	22	20	37	49	25	55	32	33	15	15	130	29	79	51	9	42	13	45	35	124	36	18	35	18	88	39	45	35	80	13	147	163	97	101	329	29	154									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1679	15	55	40	34	12	21	16	17	17	9	38	14	47	27	86	37	49	47	60	41	48	30	40	31	70	31	45	29	9	34	8	58	44	64	53	14	50	18	25	31	13	25	27	13	12	17	2	80	38	13	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22668	867	962	821	341	304	843	350	477	990	1071	1025	332	581	930	311	209	375	365	258	479	319	269	265	233	460	370	247	520	174	357	121	499	364	834	356	259	416	202	559	394	384	315	406	74	188	260	223	265	812	391	241									
9	Число недействительных избирательных бюллетеней	186	0	0	0	17	0	12	0	0	5	0	13	6	26	0	0	1	0	0	3	3	0	0	0	1	5	2	1	20	0	3	0	0	3	13	0	0	2	4	9	0	4	1	9	0	3	4	2	2	11	1	0									
10	Число действительных избирательных бюллетеней	24161	882	1017	861	358	316	852	366	494	1002	1080	1050	340	602	957	397	245	424	412	315	517	367	299	305	263	525	399	291	529	183	388	129	557	405	885	409	273	464	216	575	425	393	339	424	87	197	273	223	343	839	403	266									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	324	13	10	10	10	5	15	5	10	10	10	5	3	10	10	5	7	5	5	5	10	5	5	5	5	5	5	5	5	2	5	1	10	5	10	5	3	5	5	7	10	5	5	5	0	3	5	5	5	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	186	3	6	3	5	3	12	3	9	8	8	5	3	7	10	2	3	5	1	5	5	1	0	0	0	4	5	2	4	0	2	0	10	5	10	5	1	1	0	7	0	1	5	1	0	2	0	4	1	6	1	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	78	3	1	4	1	0	3	1	2	1	1	3	0	3	10	0	0	0	0	0	0	0	2	0	1	1	0	2	3	6	0	0	0	0	1	0	3	0	0	0	0	2	2	0	16	2	0	0	0	2	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	138	10	4	7	5	2	3	2	1	2	2	0	0	3	0	3	4	0	4	0	5	4	5	5	5	1	0	3	1	2	3	1	0	0	0	0	2	4	5	0	10	4	0	4	0	1	5	1	4	4	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	1	0	0	1	0	0	0	2	1	1	2	2	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
