Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Озинская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15995	539	481	525	550	738	514	570	505	573	595	530	606	532	563	542	1026	663	171	648	673	148	612	605	834	352	409	538	463	490									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16227	622	565	513	540	682	505	570	500	566	683	520	570	515	647	540	1034	660	164	645	670	140	610	607	838	437	405	535	457	487									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10788	387	358	351	362	550	343	392	339	390	512	406	447	299	388	374	496	534	121	576	278	120	334	396	465	327	295	362	325	261									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1039	27	30	29	39	24	34	9	36	17	28	24	50	81	22	37	33	19	2	33	100	6	27	29	78	25	30	49	37	84									
6	Число погашенных избирательных бюллетеней	4400	208	177	133	139	108	128	169	125	159	143	90	73	135	237	129	505	107	41	36	292	14	249	182	295	85	80	124	95	142									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1039	27	30	29	39	24	34	9	36	17	28	24	50	81	22	37	33	19	2	33	100	6	27	29	78	25	30	49	37	84									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10786	387	358	351	362	550	343	392	339	390	512	406	447	299	386	374	496	534	121	576	278	120	334	396	465	327	295	362	325	261									
9	Число недействительных избирательных бюллетеней	104	4	2	2	1	21	28	0	0	2	3	0	1	4	2	0	8	0	1	7	4	2	8	0	0	0	0	0	0	4									
10	Число действительных избирательных бюллетеней	11721	410	386	378	400	553	349	401	375	405	537	430	496	376	406	411	521	553	122	602	374	124	353	425	543	352	325	411	362	341									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	211	10	7	5	5	5	10	10	5	5	7	7	7	5	7	7	25	8	3	5	7	4	10	7	5	15	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	115	4	0	0	0	3	4	6	3	2	5	1	4	2	1	4	25	1	3	1	6	0	10	3	5	15	0	2	0	5									
