Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Рыбновская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28717	564	177	1724	220	930	393	342	268	888	304	251	356	329	256	450	320	334	307	467	395	374	112	287	379	514	583	745	525	52	1383	1557	1293	854	1762	1215	2181	2704	2922									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28370	570	180	1760	220	900	400	340	270	900	300	260	390	330	240	440	330	340	310	480	380	370	110	320	380	520	580	750	520	50	1350	1500	1250	850	1700	1200	2180	2600	2800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12078	134	51	988	101	445	196	119	102	473	119	52	159	113	137	192	127	183	147	164	182	157	94	135	218	137	283	327	172	39	529	439	368	404	766	670	732	1284	1140									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2975	212	63	222	73	96	36	52	63	97	110	126	99	92	24	62	84	60	47	110	52	55	16	108	10	124	49	70	79	8	88	130	18	33	212	15	76	67	37									
6	Число погашенных избирательных бюллетеней	13317	224	66	550	46	359	168	169	105	330	71	82	132	125	79	186	119	97	116	206	146	158	0	77	152	259	248	353	269	3	733	931	864	413	722	515	1372	1249	1623									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2975	212	63	222	73	96	36	52	63	97	110	126	99	92	24	62	84	60	47	110	52	55	16	108	10	124	49	70	79	8	88	130	18	33	212	15	76	67	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12078	134	51	988	101	445	196	119	102	473	119	52	159	113	137	192	127	183	147	164	182	157	94	135	218	137	283	327	172	39	529	439	368	404	766	670	732	1284	1140									
9	Число недействительных избирательных бюллетеней	196	6	0	8	0	4	1	3	0	22	2	2	7	6	3	3	2	4	0	1	0	2	0	3	3	4	3	6	0	0	8	2	7	7	17	8	9	26	17									
10	Число действительных избирательных бюллетеней	14857	340	114	1202	174	537	231	168	165	548	227	176	251	199	158	251	209	239	194	273	234	210	110	240	225	257	329	391	251	47	609	567	379	430	961	677	799	1325	1160									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	565	4	4	40	10	20	10	3	5	45	10	10	40	5	5	5	15	20	10	20	5	5	2	35	10	20	10	15	10	3	20	10	20	15	20	10	18	26	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	546	4	4	40	10	20	10	3	5	45	10	10	40	5	5	2	15	20	10	20	5	5	2	35	10	20	10	15	10	3	15	7	12	15	20	10	18	26	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	221	3	1	7	4	7	0	1	2	2	1	0	4	0	16	6	4	13	0	2	5	10	5	8	0	5	9	1	7	5	14	23	3	4	11	5	12	7	14									
14	Число погашенных неиспользованных открепительных удостоверений	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	8	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	1	0	2	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	3	4	8									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	167	8	1	6	1	7	0	4	5	3	0	4	0	1	3	4	2	1	2	0	6	5	0	1	1	5	2	3	1	1	16	5	5	1	16	4	10	17	16									
		1.11%	2.31%	0.88%	0.50%	0.57%	1.29%	0.00%	2.34%	3.03%	0.53%	0.00%	2.25%	0.00%	0.49%	1.86%	1.57%	0.95%	0.41%	1.03%	0.00%	2.56%	2.36%	0.00%	0.41%	0.44%	1.92%	0.60%	0.76%	0.40%	2.13%	2.59%	0.88%	1.30%	0.23%	1.64%	0.58%	1.24%	1.26%	1.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	297	11	0	21	5	8	1	6	4	9	4	2	7	4	5	3	2	9	4	2	6	5	3	9	2	4	3	6	15	1	8	14	8	10	20	9	22	28	17									
		1.97%	3.18%	0.00%	1.74%	2.87%	1.48%	0.43%	3.51%	2.42%	1.58%	1.75%	1.12%	2.71%	1.95%	3.11%	1.18%	0.95%	3.70%	2.06%	0.73%	2.56%	2.36%	2.73%	3.70%	0.88%	1.53%	0.90%	1.51%	5.98%	2.13%	1.30%	2.46%	2.07%	2.29%	2.04%	1.31%	2.72%	2.07%	1.44%									
