Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Арзамасская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34377	1241	149	372	565	666	639	150	418	125	130	264	317	1810	343	212	1408	1425	314	1050	419	1120	1154	143	191	762	495	828	1588	1275	983	1342	451	1846	653	1234	302	253	321	559	1072	493	784	378	470	465	504	650	435	1609									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32500	1000	150	350	550	650	600	150	400	120	130	250	350	1800	350	200	1300	1300	300	1000	400	1000	1100	150	200	750	450	800	1500	1200	950	1300	450	1800	600	1000	300	250	300	550	1000	600	750	350	400	450	500	600	350	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18564	524	142	178	235	410	324	74	206	91	92	96	102	941	177	158	802	685	167	320	236	701	554	82	92	372	322	536	1426	736	593	674	307	890	411	498	223	104	142	258	409	342	313	173	184	345	210	409	223	1075									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3527	144	0	18	196	32	171	41	135	21	23	17	16	37	63	28	35	16	33	206	46	109	148	22	39	137	11	72	5	84	19	168	52	53	60	153	60	41	115	61	54	39	43	26	108	78	86	62	69	275									
6	Число погашенных избирательных бюллетеней	10409	332	8	154	119	208	105	35	59	8	15	137	232	822	110	14	463	599	100	474	118	190	398	46	69	241	117	192	69	380	338	458	91	857	129	349	17	105	43	231	537	219	394	151	108	27	204	129	58	150									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3527	144	0	18	196	32	171	41	135	21	23	17	16	37	63	28	35	16	33	206	46	109	148	22	39	137	11	72	5	84	19	168	52	53	60	153	60	41	115	61	54	39	43	26	108	78	86	62	69	275									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18563	524	142	178	235	410	324	74	206	91	92	96	102	941	177	158	802	685	167	320	236	701	554	82	92	372	322	536	1426	736	593	674	307	890	410	498	223	104	142	258	409	342	313	173	184	345	210	409	223	1075									
9	Число недействительных избирательных бюллетеней	359	78	0	7	4	8	7	0	3	1	0	4	2	14	2	1	14	14	7	11	4	1	7	0	0	3	16	7	6	10	8	18	5	20	4	25	0	2	7	2	7	2	11	8	1	0	4	1	0	3									
10	Число действительных избирательных бюллетеней	21731	590	142	189	427	434	488	115	338	111	115	109	116	964	238	185	823	687	193	515	278	809	695	104	131	506	317	601	1425	810	604	824	354	923	466	626	283	143	250	317	456	379	345	191	291	423	292	470	292	1347									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	585	15	2	2	5	10	10	2	5	2	2	5	5	25	5	5	25	25	5	20	20	15	20	5	5	15	10	15	25	25	20	20	5	30	10	30	5	5	5	10	15	10	15	5	5	5	10	10	10	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	187	8	0	0	0	7	5	0	1	1	0	0	4	6	1	1	8	13	1	5	0	2	4	0	0	12	3	5	17	7	8	5	3	20	1	6	0	2	1	2	0	7	8	1	1	0	0	4	0	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	184	3	0	3	1	1	3	2	3	1	0	2	2	5	3	1	6	6	5	7	3	5	2	5	4	6	10	3	4	5	3	2	0	11	5	7	0	1	1	5	10	4	5	5	6	4	2	1	5	6									
14	Число погашенных неиспользованных открепительных удостоверений	398	7	2	2	5	3	5	2	4	1	2	5	1	19	4	4	17	12	4	15	20	13	16	5	5	3	7	10	8	18	12	15	2	10	9	24	5	3	4	8	15	3	7	4	4	5	10	6	10	23									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	189	3	1	2	1	3	3	1	0	0	0	0	1	11	0	2	7	12	0	8	3	5	4	0	3	4	2	13	9	2	4	3	2	30	6	4	3	0	1	1	7	6	4	2	5	0	2	3	2	4									
		0.86%	0.45%	0.70%	1.02%	0.23%	0.68%	0.61%	0.87%	0.00%	0.00%	0.00%	0.00%	0.85%	1.12%	0.00%	1.08%	0.84%	1.71%	0.00%	1.52%	1.06%	0.62%	0.57%	0.00%	2.29%	0.79%	0.60%	2.14%	0.63%	0.24%	0.65%	0.36%	0.56%	3.18%	1.28%	0.61%	1.06%	0.00%	0.39%	0.31%	1.51%	1.57%	1.12%	1.01%	1.71%	0.00%	0.68%	0.64%	0.68%	0.30%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	479	15	1	5	12	13	12	1	4	6	3	5	6	18	8	3	32	13	7	5	8	10	23	1	4	4	12	17	29	21	10	9	3	16	6	16	4	0	5	13	18	9	8	4	11	0	5	9	11	24									
		2.17%	2.25%	0.70%	2.55%	2.78%	2.94%	2.42%	0.87%	1.17%	5.36%	2.61%	4.42%	5.08%	1.84%	3.33%	1.61%	3.82%	1.85%	3.50%	0.95%	2.84%	1.23%	3.28%	0.96%	3.05%	0.79%	3.60%	2.80%	2.03%	2.56%	1.63%	1.07%	0.84%	1.70%	1.28%	2.46%	1.41%	0.00%	1.95%	4.08%	3.89%	2.36%	2.25%	2.01%	3.77%	0.00%	1.69%	1.91%	3.77%	1.78%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	263	12	1	3	0	7	5	3	6	0	2	5	3	9	2	0	15	17	6	9	5	4	4	1	2	8	10	7	22	10	7	5	1	10	2	8	2	3	6	2	4	6	4	1	4	0	4	1	0	15									
		1.19%	1.80%	0.70%	1.53%	0.00%	1.58%	1.01%	2.61%	1.76%	0.00%	1.74%	4.42%	2.54%	0.92%	0.83%	0.00%	1.79%	2.43%	3.00%	1.71%	1.77%	0.49%	0.57%	0.96%	1.53%	1.57%	3.00%	1.15%	1.54%	1.22%	1.14%	0.59%	0.28%	1.06%	0.43%	1.23%	0.71%	2.07%	2.33%	0.63%	0.86%	1.57%	1.12%	0.50%	1.37%	0.00%	1.35%	0.21%	0.00%	1.11%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15341	384	130	103	346	298	371	84	276	92	100	59	72	602	169	148	423	383	118	372	209	571	445	79	87	359	229	421	1119	538	454	669	298	555	361	395	234	110	190	211	262	234	171	126	184	373	210	384	225	1108									
		69.45%	57.49%	91.55%	52.55%	80.28%	67.42%	74.95%	73.04%	80.94%	82.14%	86.96%	52.21%	61.02%	61.55%	70.42%	79.57%	50.54%	54.64%	59.00%	70.72%	74.11%	70.49%	63.39%	75.96%	66.41%	70.53%	68.77%	69.24%	78.20%	65.61%	74.18%	79.45%	83.01%	58.85%	76.81%	60.68%	82.69%	75.86%	73.93%	66.14%	56.59%	61.42%	48.03%	63.32%	63.01%	88.18%	70.95%	81.53%	77.05%	82.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	56	3	0	0	2	1	0	2	0	1	0	0	0	0	0	2	0	6	0	0	0	0	1	1	0	0	0	4	1	3	2	7	0	3	1	4	0	2	1	1	0	0	5	0	0	0	0	1	1	1									
		0.25%	0.45%	0.00%	0.00%	0.46%	0.23%	0.00%	1.74%	0.00%	0.89%	0.00%	0.00%	0.00%	0.00%	0.00%	1.08%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	0.14%	0.96%	0.00%	0.00%	0.00%	0.66%	0.07%	0.37%	0.33%	0.83%	0.00%	0.32%	0.21%	0.61%	0.00%	1.38%	0.39%	0.31%	0.00%	0.00%	1.40%	0.00%	0.00%	0.00%	0.00%	0.21%	0.34%	0.07%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	2	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	0									
		0.09%	0.00%	0.00%	0.00%	0.00%	0.23%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.24%	0.14%	0.50%	0.19%	0.00%	0.12%	0.14%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.31%	0.22%	0.00%	0.28%	0.00%	0.00%	0.00%	0.34%	0.00%	0.34%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2215	73	8	37	31	46	51	11	30	9	5	14	18	143	28	15	139	96	30	71	20	58	102	9	16	35	26	56	95	81	49	40	14	136	56	87	19	18	16	35	52	35	80	29	41	5	30	29	19	72									
		10.03%	10.93%	5.63%	18.88%	7.19%	10.41%	10.30%	9.57%	8.80%	8.04%	4.35%	12.39%	15.25%	14.62%	11.67%	8.06%	16.61%	13.69%	15.00%	13.50%	7.09%	7.16%	14.53%	8.65%	12.21%	6.88%	7.81%	9.21%	6.64%	9.88%	8.01%	4.75%	3.90%	14.42%	11.91%	13.36%	6.71%	12.41%	6.23%	10.97%	11.23%	9.19%	22.47%	14.57%	14.04%	1.18%	10.14%	6.16%	6.51%	5.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	48	2	0	1	0	0	0	0	0	0	0	1	1	5	0	0	1	4	0	0	2	0	1	0	1	2	1	2	5	4	2	0	0	2	0	1	0	0	1	0	1	2	1	0	1	0	0	0	0	4									
