Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
"Наименование Избирательной комиссии:    Тамбов, Октябрьская"																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №946									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	132485	2465	2348	2412	280	504	1073	1466	2528	2645	2125	1240	2755	1920	2697	2576	2760	2217	3048	1987	2787	2517	1400	1807	2261	2845	2180	2556	2129	1780	1777	1752	1889	2561	2685	1838	1833	1825	1996	2707	2480	2478	1903	2118	2409	1196	1407	2899	1537	2601	1824	2763	2731	2844	2692	2523	3017	2730	2884	2641	2453	184									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	116193	2300	2200	2000	300	510	1000	1200	2000	2400	1900	1000	2500	1500	2200	2200	2500	2000	2200	1600	2500	2200	1500	1400	2100	2500	2000	2300	2000	1600	1500	1500	1600	2500	2400	1600	1700	1700	1900	2500	2200	2200	1800	1900	2200	1000	1300	2500	1400	2400	1600	2600	2500	2600	2400	2300	2600	1900	2400	1900	1800	183									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	57040	1052	1047	1042	88	242	413	602	1085	1107	906	428	1138	1150	1166	1102	1203	1046	961	858	1674	799	453	673	927	1000	817	1793	1593	942	927	1252	1475	1560	1564	486	644	764	1040	1231	919	816	652	783	887	448	534	1075	695	990	549	1171	1116	1002	1019	963	1256	1002	1076	703	975	159									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1714	15	20	14	174	246	3	11	19	14	11	20	40	24	26	30	19	10	33	22	8	13	6	10	39	147	25	27	27	24	37	45	27	9	16	15	26	40	19	26	23	22	39	18	10	14	21	17	27	8	53	14	18	16	13	7	9	11	1	9	5	22									
6	Число погашенных избирательных бюллетеней	57439	1233	1133	944	38	22	584	587	896	1279	983	552	1322	326	1008	1068	1278	944	1206	720	818	1388	1041	717	1134	1353	1158	480	380	634	536	203	98	931	820	1099	1030	896	841	1243	1258	1362	1109	1099	1303	538	745	1408	678	1402	998	1415	1366	1582	1368	1330	1335	887	1323	1188	820	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1714	15	20	14	174	246	3	11	19	14	11	20	40	24	26	30	19	10	33	22	8	13	6	10	39	147	25	27	27	24	37	45	27	9	16	15	26	40	19	26	23	22	39	18	10	14	21	17	27	8	53	14	18	16	13	7	9	11	1	9	5	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	56798	1052	1046	1040	88	242	413	602	1085	1107	878	428	1110	1141	1166	1071	1180	1046	961	855	1674	799	453	673	926	1000	817	1791	1593	942	927	1231	1469	1556	1564	486	644	764	1040	1231	919	815	652	765	886	448	534	1075	695	968	549	1171	1116	999	1019	962	1252	972	1073	703	975	159									
9	Число недействительных избирательных бюллетеней	1610	34	13	20	6	13	16	14	21	39	13	5	40	26	46	73	20	174	20	10	10	40	5	24	15	49	13	30	16	75	8	8	4	15	24	11	20	18	7	26	25	29	18	27	30	15	28	16	109	4	26	40	35	22	20	21	52	8	23	23	15	3									
10	Число действительных избирательных бюллетеней	56902	1033	1053	1034	256	475	400	599	1083	1082	876	443	1110	1139	1146	1028	1179	882	974	867	1672	772	454	659	950	1098	829	1788	1604	891	956	1268	1492	1550	1556	490	650	786	1052	1231	917	808	673	756	866	447	527	1076	613	972	576	1145	1099	993	1012	948	1209	975	1051	689	965	178									
