Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Гурьевская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32758	1145	1220	487	501	712	696	297	1214	1279	1228	1238	1276	1215	1017	288	1327	1264	652	1236	428	94	502	325	914	893	1223	1121	176	1367	877	540	121	111	305	373	95	114	650	334	175	108	179	646	161	201	821	1041	267	73	231									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33300	1150	1200	500	500	730	700	300	1250	1300	1260	1270	1300	1250	980	300	1360	1300	670	1270	430	100	500	330	930	910	1230	1130	190	1400	890	540	130	120	300	370	100	130	650	340	180	110	180	650	170	210	830	1060	280	80	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28595	1080	1109	343	457	624	499	270	1146	1175	1175	1143	1105	1115	896	259	1223	1193	604	1181	382	87	433	277	771	826	1046	983	128	1167	563	254	102	89	208	313	74	99	559	289	143	93	143	546	136	170	680	942	247	51	197									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2126	27	50	28	21	63	30	13	27	32	34	59	103	69	73	17	74	28	15	15	27	5	51	22	120	64	97	72	40	148	67	74	14	20	76	36	12	9	50	22	11	14	23	65	17	19	55	60	17	20	21									
6	Число погашенных избирательных бюллетеней	2579	43	41	129	22	43	171	17	77	93	51	68	92	66	11	24	63	79	51	74	21	8	16	31	39	20	87	75	22	85	260	212	14	11	16	21	14	22	41	29	26	3	14	39	17	21	95	58	16	9	22									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2126	27	50	28	21	63	30	13	27	32	34	59	103	69	73	17	74	28	15	15	27	5	51	22	120	64	97	72	40	148	67	74	14	20	76	36	12	9	50	22	11	14	23	65	17	19	55	60	17	20	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28595	1080	1109	343	457	624	499	270	1146	1175	1175	1143	1105	1115	896	259	1223	1193	604	1181	382	87	433	277	771	826	1046	983	128	1167	563	254	102	89	208	313	74	99	559	289	143	93	143	546	136	170	680	942	247	51	197									
9	Число недействительных избирательных бюллетеней	168	2	33	2	2	3	2	2	6	4	0	0	1	8	1	0	4	8	1	12	4	0	1	2	2	3	1	2	0	12	2	10	0	2	3	1	0	0	7	4	0	0	0	2	1	11	3	3	1	0	0									
10	Число действительных избирательных бюллетеней	30553	1105	1126	369	476	684	527	281	1167	1203	1209	1202	1207	1176	968	276	1293	1213	618	1184	405	92	483	297	889	887	1142	1053	168	1303	628	318	116	107	281	348	86	108	602	307	154	107	166	609	152	178	732	999	263	71	218									
