Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Плесецкая																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768					
1	"Число избирателей, внесенных в списки"	41053	536	1601	1928	828	318	327	158	1078	460	1920	1747	1574	1989	158	163	2187	2214	1342	1294	1320	528	235	230	1728	2153	387	2384	2500	548	431	170	154	560	2295	284	407	438	316	498	605	426	634					
2	"Число бюллетеней, полученных участковыми комиссиями"	40160	580	1640	1800	600	300	330	170	1000	450	1900	1700	1500	1800	175	160	2100	2000	1300	1200	1200	500	255	256	1560	2200	395	2350	2450	514	420	170	145	560	2550	285	610	430	320	510	615	530	630					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	34	0	0	37	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20907	246	777	976	537	144	210	96	576	261	916	1078	679	972	95	104	1204	987	625	721	565	300	138	117	715	1014	169	1201	1242	285	204	106	97	240	1123	165	303	215	178	287	389	270	380					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1936	70	34	56	0	39	0	0	59	20	19	16	54	72	2	18	20	29	12	132	35	2	14	30	202	70	38	36	50	55	15	9	4	139	186	26	104	35	34	12	19	156	13					
6	Число погашенных бюллетеней	17242	264	829	768	63	117	120	74	365	169	965	606	767	756	78	38	876	984	663	347	600	198	103	109	643	1112	188	1113	1158	174	201	55	44	181	1207	94	203	143	108	211	207	104	237					
7	Число бюллетеней в переносных ящиках для голосования	2011	70	34	56	0	39	0	0	59	20	19	16	54	72	2	18	20	29	12	132	35	2	14	30	202	74	38	36	50	55	15	9	4	139	220	26	104	72	34	12	19	156	13					
8	Число бюллетеней в стационарных ящиках для голосования	20857	246	777	976	535	144	210	96	576	261	916	1077	670	972	95	104	1204	987	625	721	565	300	138	117	715	1014	169	1165	1242	285	204	106	97	240	1123	165	303	215	178	287	389	268	380					
9	Число недействительных бюллетеней	250	2	9	9	2	0	3	2	5	9	9	9	7	7	2	0	18	10	7	4	12	3	1	0	14	13	2	11	18	6	6	1	1	8	13	2	2	5	3	4	3	1	7					
10	Число действительных бюллетеней	22618	314	802	1023	533	183	207	94	630	272	926	1084	717	1037	95	122	1206	1006	630	849	588	299	151	147	903	1075	205	1190	1274	334	213	114	100	371	1330	189	405	282	209	295	405	423	386					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	716	20	15	41	40	20	5	5	10	10	20	20	20	20	20	20	20	20	20	20	20	20	10	10	20	20	20	35	15	20	10	10	10	20	20	20	20	5	5	5	10	15	10					
