Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Вешкаймская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15253	1393	1461	1680	1025	113	119	1069	308	537	280	814	1092	237	835	409	760	204	291	389	474	620	234	129	89	350	341									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15569	1300	1400	1700	1000	115	120	1100	350	600	280	870	1100	260	900	420	780	200	315	400	480	640	235	135	89	410	370									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8824	820	777	898	490	62	70	615	228	376	198	438	569	136	566	214	497	140	148	288	267	354	114	56	40	242	221									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1100	57	39	68	48	9	7	98	16	60	6	96	71	22	76	46	73	15	44	26	32	35	27	15	13	56	45									
6	Число погашенных избирательных бюллетеней	5645	423	584	734	462	44	43	387	106	164	76	336	460	102	258	160	210	45	123	86	181	251	94	64	36	112	104									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1100	57	39	68	48	9	7	98	16	60	6	96	71	22	76	46	73	15	44	26	32	35	27	15	13	56	45									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8822	819	776	898	490	62	70	615	228	376	198	438	569	136	566	214	497	140	148	288	267	354	114	56	40	242	221									
9	Число недействительных избирательных бюллетеней	172	16	7	24	11	1	1	19	7	13	0	5	12	4	4	3	3	1	2	8	6	7	5	1	1	6	5									
10	Число действительных избирательных бюллетеней	9750	860	808	942	527	70	76	694	237	423	204	529	628	154	638	257	567	154	190	306	293	382	136	70	52	292	261									
