Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Старополтавская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3827	УИК №3828	УИК №3829	УИК №3830									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16058	350	829	487	909	956	170	1155	206	215	405	445	554	507	472	916	266	500	401	735	1229	1197	613	663	422	64	176	1000	216									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16253	354	835	500	937	987	174	1173	206	219	406	447	557	517	485	930	268	502	408	741	1251	1162	617	678	430	67	174	1009	219									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6364	114	334	175	316	307	84	384	106	68	186	182	218	209	276	311	105	277	122	236	542	470	323	242	258	7	64	350	98									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1482	22	29	49	63	118	23	197	37	41	12	58	77	31	45	81	6	47	99	108	21	47	11	103	58	42	33	11	13									
6	Число погашенных избирательных бюллетеней	8407	218	472	276	558	562	67	592	63	110	208	207	262	277	164	538	157	178	187	397	688	645	283	333	114	18	77	648	108									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1482	22	29	49	63	118	23	197	37	41	12	58	77	31	45	81	6	47	99	108	21	47	11	103	58	42	33	11	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6363	114	334	175	316	307	84	384	106	68	186	182	218	209	276	311	105	277	122	236	542	469	323	242	258	7	64	350	98									
9	Число недействительных избирательных бюллетеней	170	4	8	9	8	22	1	9	0	1	1	6	10	4	13	9	0	3	12	8	16	9	0	6	3	0	2	4	2									
10	Число действительных избирательных бюллетеней	7675	132	355	215	371	403	106	572	143	108	197	234	285	236	308	383	111	321	209	336	547	507	334	339	313	49	95	357	109									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	218	3	5	5	15	23	2	5	2	5	5	8	5	5	5	10	3	5	5	5	20	20	20	8	4	1	2	20	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	138	0	0	5	15	23	0	5	0	0	4	8	1	3	3	10	0	5	3	0	13	5	19	8	3	1	0	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	20	0	1	1	0	1	0	0	0	1	1	1	2	2	0	1	0	0	0	0	1	5	0	0	0	0	0	2	1									
