Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																									
Дата голосования: 04.12.2011																																																																																																																																																									
																																																																																																																																																									
Наименование Избирательной комиссии:    Находкинская																																																																																																																																																									
																																																																																																																																																									
Сводная таблица результатов выборов																																																																																																																																																									
																																																																																																																																																									
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1351	УИК №1352	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491					
1	"Число избирателей, внесенных в список избирателей"	124691	460	1126	2646	28	2573	1067	205	464	1908	2203	1986	1836	1486	845	853	408	1978	1857	1997	1547	1186	2451	2413	27	2553	2009	1339	1979	1576	1896	1505	1207	1542	1591	1351	1698	1701	1396	1805	1761	1856	2175	234	2065	1480	1309	1586	1254	1746	2015	1615	1189	1933	1614	1565	2244	1004	2086	2108	1844	1223	1584	1655	1394	1864	1942	2205	1979	2358	2833	29	1678	2209	1358	1324	1748	1531	29	29	29	29	28	20	23	22	20	24	115	17	18	115	29	74	87	84	88	78	80	53	64	24	58	55	17	28	26	27	26	18	18	22	19	16	18	22	20	24	18	21	22	15	15	20	20	41	36	16	16	15	30	6	8	81	27	24	64	55	24	21	10	9	9	8	60	81	31					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	120689	450	1100	2600	28	2600	1100	200	450	1900	2000	2000	1800	1400	800	800	400	2000	1800	2000	1500	1100	2000	2000	27	2500	2000	1300	2000	1500	1900	1500	1200	1500	1600	1300	1600	1600	1300	1800	1700	1900	2000	200	2000	1500	1300	1600	1200	1600	2000	1600	1200	1900	1500	1500	2000	1000	2000	2000	1800	1200	1600	1600	1400	1800	2000	2000	2000	2000	2800	29	1700	2000	1400	1300	1800	1500	29	29	29	29	28	20	23	22	21	24	115	18	18	115	29	74	87	84	90	78	80	53	64	24	58	55	17	28	26	27	26	18	18	22	19	16	18	22	20	24	18	21	23	15	17	20	20	41	36	16	16	15	30	6	8	81	27	24	64	55	24	21	10	9	9	8	60	81	33					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	59582	336	463	1817	28	1803	652	147	225	858	993	942	840	788	393	324	198	883	844	833	541	424	952	1112	27	1323	813	699	674	555	816	736	567	732	768	695	733	806	594	842	770	847	970	108	862	585	741	593	614	729	740	990	560	655	817	797	1064	455	852	929	763	532	652	847	800	882	1000	1101	982	1024	1104	29	894	1100	659	723	895	759	29	29	29	29	28	20	23	22	20	24	115	17	18	110	29	72	86	84	88	78	76	53	64	24	57	55	17	28	26	27	26	18	18	22	19	16	18	22	20	24	18	21	22	15	15	20	20	41	36	16	16	15	30	6	8	81	27	24	64	55	24	21	10	9	9	8	59	81	31					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1944	15	106	54	0	25	83	0	38	5	17	17	15	13	3	1	72	7	11	33	64	4	85	99	0	4	20	6	28	23	16	94	13	18	10	10	5	22	15	7	11	12	47	8	12	15	18	10	32	147	14	13	7	33	42	21	15	10	27	21	20	4	27	14	18	23	17	9	53	20	53	0	20	33	16	24	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	59163	99	531	729	0	772	365	53	187	1037	990	1041	945	599	404	475	130	1110	945	1134	895	672	963	789	0	1173	1167	595	1298	922	1068	670	620	750	822	595	862	772	691	951	919	1041	983	84	1126	900	541	997	554	724	1246	597	633	1212	641	682	921	535	1121	1050	1017	664	921	739	582	895	983	890	965	956	1643	0	786	867	725	553	896	730	0	0	0	0	0	0	0	0	1	0	0	1	0	5	0	2	1	0	2	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1944	15	106	54	0	25	83	0	38	5	17	17	15	13	3	1	72	7	11	33	64	4	85	99	0	4	20	6	28	23	16	94	13	18	10	10	5	22	15	7	11	12	47	8	12	15	18	10	32	147	14	13	7	33	42	21	15	10	27	21	20	4	27	14	18	23	17	9	53	20	53	0	20	33	16	24	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59453	336	461	1817	28	1803	652	147	225	858	993	925	840	788	393	324	198	883	844	833	541	424	952	1112	27	1323	813	695	670	555	816	736	567	732	768	693	733	806	594	842	770	847	970	108	862	585	741	588	612	729	738	951	560	654	817	794	1064	445	852	929	763	532	651	843	799	879	983	1092	982	1024	1104	29	894	1100	659	723	894	757	29	29	29	29	28	20	23	22	20	24	115	17	18	110	29	72	86	84	88	78	76	53	64	24	57	55	17	28	26	27	26	18	18	22	19	16	18	22	20	24	18	21	22	15	15	20	20	41	36	16	16	15	30	6	8	81	27	24	64	55	24	21	10	9	9	8	59	81	31					
9	Число недействительных избирательных бюллетеней	1375	10	14	5	0	51	28	2	3	18	24	19	21	7	14	11	13	25	32	17	13	10	32	16	0	26	18	15	13	14	20	30	11	17	25	20	27	11	21	15	18	21	7	0	35	5	7	19	13	14	27	20	12	19	26	12	20	18	29	17	22	16	22	20	13	13	18	31	21	20	24	0	21	23	12	7	26	23	0	0	0	0	0	0	1	0	1	0	6	1	0	9	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	60022	341	553	1866	28	1777	707	145	260	845	986	923	834	794	382	314	257	865	823	849	592	418	1005	1195	27	1301	815	686	685	564	812	800	569	733	753	683	711	817	588	834	763	838	1010	116	839	595	752	579	631	862	725	944	555	668	833	803	1059	437	850	933	761	520	656	837	804	889	982	1070	1014	1024	1133	29	893	1110	663	740	877	745	29	29	29	29	28	20	22	22	19	24	109	16	18	101	29	72	86	84	88	78	74	53	64	24	56	55	17	28	26	27	25	18	18	22	19	16	18	20	20	24	18	21	18	15	15	20	20	41	36	16	16	15	27	6	8	76	27	24	64	55	24	21	10	9	9	8	59	81	31					
