Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Хвалынская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546					
1	"Число избирателей, внесенных в списки"	20707	1395	1103	2032	1379	1655	1736	1337	157	543	379	656	523	418	240	560	388	740	237	351	384	368	1837	1949	340					
2	"Число бюллетеней, полученных участковыми комиссиями"	19516	1250	1000	1800	1230	1600	1600	1200	136	550	370	660	530	430	240	570	390	800	220	350	380	370	1700	1800	340					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13726	857	644	1122	759	899	908	691	117	480	353	623	432	364	204	465	355	646	200	267	286	315	1193	1254	292					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1502	62	64	83	216	58	91	88	16	25	9	8	70	43	23	53	19	94	20	59	60	25	178	108	30					
6	Число погашенных бюллетеней	4288	331	292	595	255	643	601	421	3	45	8	29	28	23	13	52	16	60	0	24	34	30	329	438	18					
7	Число бюллетеней в переносных ящиках для голосования	1502	62	64	83	216	58	91	88	16	25	9	8	70	43	23	53	19	94	20	59	60	25	178	108	30					
8	Число бюллетеней в стационарных ящиках для голосования	13722	857	644	1122	759	899	908	691	117	480	353	623	432	364	204	463	355	644	200	267	286	315	1193	1254	292					
9	Число недействительных бюллетеней	330	15	28	74	12	16	82	12	2	0	1	0	0	0	12	1	15	3	1	2	0	3	1	30	20					
10	Число действительных бюллетеней	14894	904	680	1131	963	941	917	767	131	505	361	631	502	407	215	515	359	735	219	324	346	337	1370	1332	302					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	8	10	13	13	10	2	3	0	10	0	5	5	14	0	20	14	5	5	0	1	7	36	18	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	199	8	10	13	12	10	2	3	0	10	0	5	5	14	0	20	14	5	5	0	1	7	36	18	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	87	3	3	0	7	2	2	0	9	1	1	0	0	4	0	4	4	5	1	1	4	3	27	4	2					
14	Число погашенных открепительных удостоверений	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	"1. ""ЕДИНЕНИЕ"""	122	7	7	13	5	10	6	8	0	3	2	4	7	7	1	4	12	8	2	0	5	2	4	5	0					
