Выборы Президента Российской Федерации																																																																					
																																																																					
Наименование Избирательной комиссии:    Калининская №17																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484					
1	"Число избирателей, внесенных в список"	146882	2596	2676	2397	2669	2519	2469	2623	2294	3001	2725	1934	2429	2201	2091	2169	2163	2448	2621	2503	1996	2813	2489	1914	2502	2317	2659	1240	2589	2550	2463	2541	2763	2552	2396	2559	2505	2772	2625	2291	2245	2457	2682	2697	2466	2349	2468	2358	2585	1198	2075	2894	2207	2565	2481	2585	2530	1788	2223	2196	3104	853	812					
2	Число полученных избирательных бюллетеней	143500	2500	2500	2000	2500	2500	2500	2500	2000	3000	2500	2000	2500	2000	2000	2000	2000	2500	2500	2500	2000	2500	2000	1500	2500	2500	2500	2000	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2500	2000	2500	2500	2500	2500	2500	2500	2000	2500	1000	2000	2500	2000	2500	2500	2500	2500	2500	2000	2000	3500	1500	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	84088	1377	1503	1368	1547	1466	1443	1501	1374	1686	1571	1184	1289	1201	1160	1127	1155	1352	1460	1489	1078	1569	1208	1060	1610	1018	1291	769	1383	1356	1353	1407	1589	1421	1394	1429	1350	1613	1520	1299	1260	1356	1518	1596	1449	1326	1440	1292	1432	670	1166	1837	1136	1381	1389	1327	1464	1070	1157	1141	3046	853	812					
5	"Число избирательных бюллетеней, выданных вне помещения"	2037	12	49	55	44	21	49	41	27	34	34	32	34	40	17	29	45	29	35	25	47	52	48	23	12	39	43	11	21	35	39	21	29	42	34	34	26	38	28	29	35	34	46	34	31	26	22	94	50	23	33	55	21	40	43	32	33	18	36	28	0	0	0					
6	Число погашенных избирательных бюллетеней	57375	1111	948	577	909	1013	1008	958	599	1280	895	784	1177	759	823	844	800	1119	1005	986	875	879	744	417	878	1443	1166	1220	1096	1109	1108	1072	882	1037	1072	1037	1124	849	952	1172	705	1110	936	870	1020	1148	1038	614	1018	307	801	608	843	1079	1068	1141	1003	1412	807	831	454	647	188					
7	Число избирательных бюллетеней в переносных ящиках	2037	12	49	55	44	21	49	41	27	34	34	32	34	40	17	29	45	29	35	25	47	52	48	23	12	39	43	11	21	35	39	21	29	42	34	34	26	38	28	29	35	34	46	34	31	26	22	94	50	23	33	55	21	40	43	32	33	18	36	28	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	84006	1374	1500	1368	1547	1460	1443	1501	1374	1686	1567	1183	1287	1201	1160	1127	1153	1352	1460	1482	1078	1561	1208	1060	1610	1018	1291	768	1382	1356	1353	1406	1577	1420	1394	1427	1350	1613	1520	1296	1260	1356	1518	1596	1449	1325	1440	1292	1429	670	1166	1833	1136	1380	1379	1324	1461	1070	1157	1141	3046	853	812					
9	Число недействительных избирательных бюллетеней	411	8	5	7	5	6	6	5	7	5	6	5	8	1	8	13	8	13	6	8	6	15	5	3	10	4	10	2	3	3	2	3	8	3	9	3	4	3	6	6	7	1	3	8	11	5	4	13	5	2	6	5	4	6	1	5	2	7	5	8	52	7	6					
10	Число действительных избирательных бюллетеней	85632	1378	1544	1416	1586	1475	1486	1537	1394	1715	1595	1210	1313	1240	1169	1143	1190	1368	1489	1499	1119	1598	1251	1080	1612	1053	1324	777	1400	1388	1390	1424	1598	1459	1419	1458	1372	1648	1542	1319	1288	1389	1561	1622	1469	1346	1458	1373	1474	691	1193	1883	1153	1414	1421	1351	1492	1081	1188	1161	2994	846	806					
