Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Урмарская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18891	2276	2662	1032	392	455	231	325	94	271	344	252	192	274	633	126	194	895	232	190	188	186	200	834	1061	421	236	97	779	245	138	157	502	151	561	521	128	309	678	319	110									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19610	2300	2700	1050	400	450	250	330	110	300	350	260	210	280	660	150	200	900	230	190	200	200	210	860	1050	450	250	100	830	250	150	160	550	150	600	560	130	310	800	370	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11374	1173	1389	613	237	316	130	263	58	182	259	132	112	119	329	76	122	526	139	115	144	131	144	471	664	265	160	68	446	212	92	107	369	130	385	322	72	203	481	150	68									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1476	36	26	93	21	34	53	23	23	37	16	38	24	79	100	23	24	63	26	25	14	11	14	70	72	46	25	9	79	10	18	5	33	3	66	43	12	31	58	82	11									
6	Число погашенных избирательных бюллетеней	6760	1091	1285	344	142	100	67	44	29	81	75	90	74	82	231	51	54	311	65	50	42	58	52	319	314	139	65	23	305	28	40	48	148	17	149	195	46	76	261	138	31									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1476	36	26	93	21	34	53	23	23	37	16	38	24	79	100	23	24	63	26	25	14	11	14	70	72	46	25	9	79	10	18	5	33	3	66	43	12	31	58	82	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11374	1173	1389	613	237	316	130	263	58	182	259	132	112	119	329	76	122	526	139	115	144	131	144	471	664	265	160	68	446	212	92	107	369	130	385	322	72	203	481	150	68									
9	Число недействительных избирательных бюллетеней	374	42	54	23	8	2	2	31	1	9	11	8	3	8	13	1	10	12	5	6	5	4	6	14	22	6	0	1	8	0	3	1	16	3	0	5	4	1	16	7	3									
10	Число действительных избирательных бюллетеней	12476	1167	1361	683	250	348	181	255	80	210	264	162	133	190	416	98	136	577	160	134	153	138	152	527	714	305	185	76	517	222	107	111	386	130	451	360	80	233	523	225	76									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	499	60	44	17	8	11	11	10	5	11	10	7	6	7	10	3	5	20	7	6	8	8	7	10	12	22	11	3	14	9	8	4	13	7	19	13	7	5	35	18	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	491	52	44	17	8	11	11	10	5	11	10	7	6	7	10	3	5	20	7	6	8	8	7	10	12	22	11	3	14	9	8	4	13	7	19	13	7	5	35	18	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	103	16	19	6	0	1	0	4	1	0	3	2	1	3	0	0	1	2	2	1	0	2	2	2	3	6	1	0	1	3	1	1	5	2	4	0	0	1	3	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	301	33	49	26	6	3	0	1	0	3	5	3	1	3	8	7	10	6	1	0	5	9	3	21	28	6	2	1	11	0	1	1	31	0	9	2	0	4	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	81	5	5	8	4	3	0	4	0	2	3	3	0	0	5	1	3	4	0	1	1	4	0	1	5	1	0	0	3	1	1	0	4	1	2	3	1	0	0	2	0									
		0.63%	0.41%	0.35%	1.13%	1.55%	0.86%	0.00%	1.40%	0.00%	0.91%	1.09%	1.76%	0.00%	0.00%	1.17%	1.01%	2.05%	0.68%	0.00%	0.71%	0.63%	2.82%	0.00%	0.18%	0.68%	0.32%	0.00%	0.00%	0.57%	0.45%	0.91%	0.00%	0.99%	0.75%	0.44%	0.82%	1.19%	0.00%	0.00%	0.86%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	250	23	24	14	5	4	4	3	1	6	10	0	2	2	17	0	5	9	5	8	6	4	7	16	21	6	6	2	8	1	2	2	6	4	3	0	1	1	8	1	3									
		1.95%	1.90%	1.70%	1.98%	1.94%	1.14%	2.19%	1.05%	1.23%	2.74%	3.64%	0.00%	1.47%	1.01%	3.96%	0.00%	3.42%	1.53%	3.03%	5.71%	3.80%	2.82%	4.43%	2.96%	2.85%	1.93%	3.24%	2.60%	1.52%	0.45%	1.82%	1.79%	1.49%	3.01%	0.67%	0.00%	1.19%	0.43%	1.48%	0.43%	3.80%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	242	40	34	16	6	3	3	1	2	0	4	3	2	4	8	5	4	11	1	4	0	1	3	8	16	4	3	4	5	2	2	1	7	1	11	10	2	5	4	1	1									
