Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Каменская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №1923									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41415	1126	1563	827	1640	1448	1488	1505	1491	1444	1686	1429	1484	939	1669	1449	1353	1640	1555	1678	1660	593	786	697	299	759	77	395	71	721	275	70	72	684	224	88	608	64	66	808	111	304	1128	682	168	265	87	1016	538	122	437	126									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29710	810	1120	600	1150	1020	1050	1080	1050	1060	1200	1020	1050	570	1180	1050	950	1180	1120	1200	1170	430	550	500	220	550	60	280	60	530	200	60	60	500	160	70	450	50	50	580	80	210	810	500	130	200	60	720	400	90	320	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15446	359	438	205	476	494	592	617	653	480	576	477	531	502	724	572	462	525	670	620	567	221	340	234	117	296	49	183	42	265	99	30	30	276	101	47	265	35	27	342	53	118	409	230	86	137	45	330	218	38	177	66									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	928	15	15	22	13	13	45	35	33	32	30	18	17	3	28	29	24	15	23	25	19	17	11	6	6	27	2	19	4	14	22	7	7	27	25	4	19	1	0	57	8	10	18	24	3	9	2	26	20	10	22	47									
6	Число погашенных избирательных бюллетеней	13336	436	667	373	661	513	413	428	364	548	594	525	502	65	428	449	464	640	427	555	584	192	199	260	97	227	9	78	14	251	79	23	23	197	34	19	166	14	23	181	19	82	383	246	41	54	13	364	162	42	121	87									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	928	15	15	22	13	13	45	35	33	32	30	18	17	3	28	29	24	15	23	25	19	17	11	6	6	27	2	19	4	14	22	7	7	27	25	4	19	1	0	57	8	10	18	24	3	9	2	26	20	10	22	47									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15444	359	438	205	475	494	592	617	653	480	576	477	531	502	724	572	462	525	670	620	567	221	340	234	117	296	49	183	42	265	99	30	30	276	101	47	265	35	27	342	53	118	408	230	86	137	45	330	218	38	177	66									
9	Число недействительных избирательных бюллетеней	364	7	15	3	5	8	20	10	18	0	19	8	17	9	13	24	8	8	16	16	11	8	7	8	4	7	2	3	1	7	2	3	0	7	5	0	7	1	1	7	5	6	8	5	1	1	0	11	4	3	3	2									
10	Число действительных избирательных бюллетеней	16008	367	438	224	483	499	617	642	668	512	587	487	531	496	739	577	478	532	677	629	575	230	344	232	119	316	49	199	45	272	119	34	37	296	121	51	277	35	26	392	56	122	418	249	88	145	47	345	234	45	196	111									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	284	6	3	11	3	9	15	19	20	14	9	3	7	14	8	12	9	22	6	8	8	3	2	1	2	7	1	2	1	4	2	1	1	3	1	1	13	1	1	4	1	2	3	3	1	1	1	5	5	1	4	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	226	3	3	10	3	9	12	19	16	14	9	3	6	9	7	10	9	21	5	6	8	2	1	0	2	6	0	0	0	3	0	0	0	2	0	0	13	0	0	3	0	0	0	2	0	0	0	2	4	0	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	122	2	5	2	2	2	4	3	5	1	2	3	3	4	2	1	6	2	4	1	2	3	2	0	0	2	2	0	0	2	2	0	0	4	3	3	2	1	2	4	3	4	6	6	1	4	3	3	0	0	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	58	3	0	1	0	0	3	0	4	0	0	0	1	5	1	2	0	1	1	2	0	1	1	1	0	1	1	2	1	1	2	1	1	1	1	1	0	1	1	1	1	2	3	1	1	1	1	3	1	1	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	2	0	1	0	0	3	0	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	156	9	4	3	14	4	6	5	7	1	5	1	4	11	4	4	6	5	11	7	5	0	6	3	0	5	0	1	0	2	0	0	1	5	2	0	0	0	0	1	1	0	4	2	0	0	0	4	2	0	1	0									
		0.95%	2.41%	0.88%	1.32%	2.87%	0.79%	0.94%	0.77%	1.02%	0.20%	0.83%	0.20%	0.73%	2.18%	0.53%	0.67%	1.23%	0.93%	1.59%	1.09%	0.85%	0.00%	1.71%	1.25%	0.00%	1.55%	0.00%	0.50%	0.00%	0.72%	0.00%	0.00%	2.70%	1.65%	1.59%	0.00%	0.00%	0.00%	0.00%	0.25%	1.64%	0.00%	0.94%	0.79%	0.00%	0.00%	0.00%	1.12%	0.84%	0.00%	0.50%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	460	13	14	5	8	10	16	12	11	10	9	15	13	13	31	19	14	8	15	20	16	6	16	9	3	6	0	7	2	9	1	0	1	20	8	1	11	1	0	11	3	4	20	13	1	3	0	9	6	2	8	7									
		2.81%	3.48%	3.09%	2.20%	1.64%	1.97%	2.51%	1.84%	1.60%	1.95%	1.49%	3.03%	2.37%	2.57%	4.12%	3.16%	2.88%	1.48%	2.16%	3.10%	2.73%	2.52%	4.56%	3.75%	2.44%	1.86%	0.00%	3.47%	4.35%	3.23%	0.83%	0.00%	2.70%	6.60%	6.35%	1.96%	3.87%	2.78%	0.00%	2.76%	4.92%	3.13%	4.69%	5.12%	1.12%	2.05%	0.00%	2.53%	2.52%	4.17%	4.02%	6.19%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	249	1	15	4	3	13	3	13	12	7	8	10	3	6	10	0	0	6	12	7	12	4	7	3	2	7	3	5	0	11	1	0	0	8	3	1	4	0	2	8	0	1	10	6	0	4	0	3	1	1	1	8									
		1.52%	0.27%	3.31%	1.76%	0.61%	2.56%	0.47%	1.99%	1.75%	1.37%	1.32%	2.02%	0.55%	1.19%	1.33%	0.00%	0.00%	1.11%	1.73%	1.09%	2.05%	1.68%	1.99%	1.25%	1.63%	2.17%	5.88%	2.48%	0.00%	3.94%	0.83%	0.00%	0.00%	2.64%	2.38%	1.96%	1.41%	0.00%	7.41%	2.01%	0.00%	0.78%	2.35%	2.36%	0.00%	2.74%	0.00%	0.84%	0.42%	2.08%	0.50%	7.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5038	105	121	61	129	144	154	178	218	150	165	135	153	199	208	191	136	120	186	177	144	92	68	53	43	145	24	72	21	99	57	7	14	84	53	33	105	12	12	155	26	47	157	84	57	32	22	116	110	16	106	42									
		30.77%	28.07%	26.71%	26.87%	26.43%	28.40%	24.18%	27.30%	31.78%	29.30%	27.23%	27.27%	27.92%	39.41%	27.66%	31.78%	27.98%	22.22%	26.84%	27.44%	24.57%	38.66%	19.37%	22.08%	34.96%	44.89%	47.06%	35.64%	45.65%	35.48%	47.11%	18.92%	37.84%	27.72%	42.06%	64.71%	36.97%	33.33%	44.44%	38.85%	42.62%	36.72%	36.85%	33.07%	64.04%	21.92%	46.81%	32.58%	46.22%	33.33%	53.27%	37.17%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	66	2	3	0	4	1	3	7	1	2	4	2	1	4	3	1	4	2	2	5	2	0	1	1	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0									
